Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
188207,0.08,-1.02,0.05,-13.76,0.79,-1.44,30.51
188217,0.07,-1.01,0.07,-13.56,3.95,-1.36,30.60
188227,0.08,-1.01,0.06,-11.94,7.82,-2.00,30.60
188237,0.06,-1.02,0.07,-10.43,10.43,-3.24,30.51
188247,0.03,-0.99,0.07,-9.68,10.66,-5.36,30.69
188257,0.00,-0.97,0.06,-9.39,10.90,-6.24,30.51
188267,-0.01,-0.95,0.06,-9.50,10.87,-5.73,30.60
188277,-0.03,-0.92,0.04,-9.65,10.98,-3.83,30.69
188287,-0.04,-0.89,0.04,-10.52,11.21,-1.40,30.65
188297,-0.03,-0.87,0.04,-10.46,10.73,0.69,30.46
188307,-0.02,-0.85,0.03,-11.02,11.74,2.14,30.65
188317,-0.01,-0.83,0.04,-11.11,11.77,2.99,30.55
188327,-0.00,-0.83,0.03,-11.39,10.90,1.59,30.55
188337,-0.01,-0.83,0.04,-13.25,11.16,-1.11,30.65
188347,-0.02,-0.82,0.03,-15.16,9.47,-4.73,30.65
188357,-0.02,-0.81,0.03,-16.85,7.65,-7.65,30.65
188367,-0.03,-0.80,0.03,-18.69,7.08,-9.15,30.51
188377,-0.04,-0.78,0.02,-20.43,7.80,-8.47,30.51
188387,-0.05,-0.78,0.01,-21.42,8.05,-6.79,30.60
188397,-0.03,-0.77,0.01,-21.68,8.79,-4.64,30.60
188407,-0.03,-0.77,-0.00,-22.81,9.08,-2.49,30.51
188417,-0.01,-0.77,-0.01,-22.58,10.47,-1.10,30.55
188427,-0.00,-0.78,-0.02,-22.18,12.40,-1.22,30.60
188437,0.01,-0.78,-0.04,-22.49,15.18,-1.60,30.51
188447,0.01,-0.78,-0.03,-25.05,12.52,-3.25,30.55
188457,0.00,-0.78,-0.05,-29.71,10.43,-4.95,30.65
188467,-0.01,-0.78,-0.05,-37.37,6.69,-7.22,30.55
188477,-0.01,-0.79,-0.05,-43.25,4.17,-9.48,30.46
188487,-0.03,-0.82,-0.05,-48.12,5.79,-10.52,30.65
188497,-0.04,-0.82,-0.02,-49.80,2.09,-10.20,30.65
188507,-0.04,-0.83,-0.02,-47.28,0.84,-8.34,30.65
188517,-0.04,-0.85,-0.04,-42.72,-0.90,-4.35,30.60
188527,-0.04,-0.86,-0.06,-39.33,-1.68,0.46,30.60
188537,-0.03,-0.88,-0.08,-38.63,-3.54,4.76,30.60
188547,-0.01,-0.91,-0.05,-38.09,-2.15,7.45,30.51
188557,0.03,-0.92,-0.10,-36.03,1.91,9.66,30.60
188567,0.04,-0.93,-0.08,-36.87,1.59,8.26,30.60
188577,0.04,-0.91,-0.11,-35.98,0.92,7.25,30.60
188587,0.05,-0.91,-0.12,-34.61,1.80,5.65,30.55
188597,0.04,-0.92,-0.14,-33.66,2.26,3.37,30.65
188607,0.03,-0.93,-0.15,-33.13,3.62,2.40,30.55
188617,0.02,-0.94,-0.16,-33.53,3.94,1.80,30.65
188627,0.01,-0.93,-0.16,-33.50,3.85,1.24,30.55
188637,0.00,-0.93,-0.18,-33.57,4.09,1.18,30.55
188647,0.01,-0.94,-0.18,-33.44,2.87,2.34,30.55
188657,0.01,-0.92,-0.16,-32.23,0.52,3.53,30.65
188667,0.03,-0.92,-0.17,-31.27,0.46,4.78,30.60
188677,0.02,-0.91,-0.20,-29.98,-0.58,5.39,30.60
