Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
75877,-0.31,-0.99,0.14,-7.08,-31.48,-37.44,30.55
75887,-0.34,-0.97,0.13,-8.47,-38.95,-37.56,30.46
75897,-0.38,-0.94,0.13,-7.33,-45.65,-30.53,30.46
75907,-0.38,-0.94,0.10,-3.89,-48.63,-17.39,30.46
75917,-0.37,-0.94,0.10,-0.18,-49.57,-1.42,30.46
75927,-0.36,-0.93,0.07,4.02,-52.05,15.05,30.51
75937,-0.31,-0.93,0.03,5.95,-53.05,27.51,30.51
75947,-0.26,-0.96,0.03,6.32,-55.79,36.93,30.51
75957,-0.17,-1.01,0.02,4.50,-55.73,38.53,30.51
75967,-0.11,-1.09,0.04,0.35,-55.08,29.27,30.51
75977,-0.08,-1.14,0.06,-5.34,-55.31,16.35,30.55
75987,-0.05,-1.15,0.07,-11.05,-55.30,3.18,30.55
75997,-0.01,-1.14,0.05,-15.97,-55.50,-6.40,30.55
76007,-0.01,-1.18,0.05,-19.79,-52.18,-14.27,30.46
76017,-0.03,-1.16,0.08,-24.72,-54.34,-21.40,30.55
76027,-0.02,-1.15,0.10,-24.50,-51.83,-26.84,30.55
76037,-0.04,-1.14,0.10,-17.60,-48.09,-30.52,30.51
76047,-0.06,-1.14,0.07,-7.08,-45.31,-30.87,30.51
76057,-0.06,-1.10,0.05,-0.79,-41.95,-29.97,30.51
76067,-0.10,-1.06,0.05,2.52,-41.53,-28.00,30.51
76077,-0.13,-1.04,0.03,2.60,-40.69,-25.27,30.41
76087,-0.13,-1.03,0.04,2.32,-41.11,-22.98,30.51
76097,-0.15,-1.06,0.06,3.50,-43.36,-22.15,30.46
76107,-0.16,-1.04,0.07,5.34,-44.87,-20.46,30.37
76117,-0.17,-1.03,0.04,7.25,-45.30,-16.34,30.46
76127,-0.16,-1.04,0.04,7.19,-44.60,-10.61,30.46
76137,-0.16,-1.04,0.04,5.44,-44.95,-6.56,30.55
76147,-0.16,-1.03,0.06,1.82,-44.21,-2.93,30.41
76157,-0.14,-1.04,0.06,-0.02,-44.93,0.76,30.51
76167,-0.13,-1.07,0.07,0.00,-45.08,2.37,30.51
76177,-0.13,-1.10,0.09,1.25,-46.93,0.87,30.51
76187,-0.12,-1.12,0.10,2.70,-49.48,-2.67,30.41
76197,-0.10,-1.10,0.10,2.98,-51.51,-8.27,30.46
76207,-0.14,-1.10,0.10,3.16,-58.55,-14.00,30.55
76217,-0.13,-1.10,0.08,4.34,-57.85,-14.96,30.46
76227,-0.14,-1.09,0.06,6.43,-57.36,-11.71,30.37
76237,-0.11,-1.10,0.03,6.26,-56.26,-9.80,30.55
76247,-0.11,-1.10,0.08,4.47,-54.66,-13.80,30.55
76257,-0.11,-1.08,0.07,2.66,-58.03,-19.13,30.46
76267,-0.14,-1.07,0.05,1.77,-62.06,-20.78,30.51
76277,-0.14,-1.07,0.05,1.60,-65.47,-19.50,30.41
76287,-0.13,-1.06,0.04,-0.50,-64.15,-17.85,30.51
76297,-0.13,-1.06,0.06,-2.53,-63.65,-17.21,30.51
76307,-0.13,-1.04,0.05,-2.40,-64.58,-16.18,30.51
76317,-0.13,-1.04,0.05,-0.02,-65.19,-13.54,30.60
76327,-0.15,-1.05,0.04,3.47,-65.82,-9.10,30.55
76337,-0.14,-1.03,0.03,5.47,-65.63,-4.58,30.46
76347,-0.11,-1.02,0.00,4.24,-64.50,-3.13,30.46
76357,-0.13,-1.00,0.02,1.42,-66.49,-2.49,30.46
76367,-0.14,-0.98,-0.01,-0.67,-68.29,-0.46,30.55
76377,-0.11,-1.00,-0.03,-2.67,-68.73,1.07,30.60
76387,-0.07,-1.02,-0.05,-5.77,-68.44,-2.12,30.51
76397,0.00,-1.02,-0.05,-10.00,-70.27,-14.03,30.60
76407,0.01,-0.98,-0.05,-15.11,-76.50,-29.85,30.41
76417,0.00,-0.94,-0.11,-15.82,-82.35,-36.67,30.46
76427,-0.01,-0.94,-0.14,-16.52,-81.97,-29.56,30.51
76437,-0.02,-0.95,-0.13,-15.86,-76.24,-12.40,30.46
76447,-0.01,-1.01,-0.06,-17.34,-69.37,3.01,30.46
76457,0.02,-1.04,0.01,-18.32,-67.86,10.84,30.55
76467,0.10,-1.04,-0.00,-18.06,-68.02,10.06,30.55
76477,0.13,-1.04,0.00,-17.04,-69.33,3.30,30.37
76487,0.19,-1.05,-0.07,-13.65,-71.37,-0.90,30.46
76497,0.13,-1.05,-0.07,-15.68,-72.92,-0.18,30.41
76507,0.11,-1.06,-0.06,-15.53,-71.98,7.05,30.51
76517,0.12,-1.09,-0.02,-15.65,-64.37,15.97,30.69
76527,0.15,-1.13,0.00,-10.52,-56.40,18.56,30.41
76537,0.14,-1.15,0.03,-4.35,-52.27,14.44,30.51
76547,0.16,-1.12,0.02,1.04,-54.08,7.98,30.46
76557,0.16,-1.10,0.01,2.79,-56.18,-1.73,30.46
76567,0.14,-1.08,0.00,2.52,-58.24,-9.34,30.46
76577,0.08,-1.04,-0.02,1.34,-59.66,-10.43,30.46
76587,0.08,-1.04,-0.05,1.36,-54.24,-8.56,30.55
76597,0.04,-1.06,-0.03,-0.23,-51.45,-8.08,30.46
76607,0.01,-1.04,0.00,-0.66,-52.27,-9.56,30.51
76617,-0.00,-1.01,0.00,-1.40,-54.92,-11.13,30.51
76627,0.01,-0.99,-0.00,-2.43,-57.57,-12.98,30.41
76637,0.02,-0.96,-0.02,-6.23,-58.35,-15.22,30.41
76647,0.00,-0.96,-0.02,-10.47,-60.53,-13.89,30.51
76657,-0.01,-0.99,-0.00,-12.73,-60.29,-10.35,30.51
76667,0.00,-1.02,0.02,-12.37,-59.11,-8.15,30.55
76677,0.01,-1.03,0.04,-10.03,-57.24,-9.59,30.46
76687,0.01,-1.02,0.03,-8.66,-58.50,-13.74,30.37
76697,-0.03,-1.00,0.03,-8.49,-65.83,-15.94,30.46
76707,-0.05,-1.00,-0.03,-9.74,-68.03,-11.71,30.55
76717,-0.04,-1.00,-0.05,-12.53,-71.10,-4.38,30.46
76727,0.00,-1.01,-0.03,-13.92,-66.82,0.87,30.51
76737,-0.00,-1.01,0.02,-14.92,-64.40,1.11,30.51
76747,-0.02,-1.03,0.02,-10.90,-66.95,1.97,30.51
76757,-0.00,-1.05,-0.01,-7.13,-67.98,2.06,30.51
76767,0.01,-1.05,-0.02,-5.57,-68.06,2.50,30.55
76777,-0.01,-1.06,-0.01,-6.40,-70.70,5.47,30.51
76787,0.01,-1.03,-0.04,-6.70,-72.17,10.60,30.46
76797,0.05,-1.03,-0.04,-5.15,-65.91,15.71,30.46
76807,0.07,-1.04,-0.05,-3.73,-61.98,18.49,30.46
76817,0.08,-1.07,-0.06,-3.94,-59.05,16.40,30.46
76827,0.09,-1.08,-0.06,-7.66,-58.41,7.68,30.46
76837,0.09,-1.06,-0.04,-14.34,-61.16,-9.02,30.51
76847,0.08,-0.99,-0.03,-24.85,-66.06,-27.39,30.51
76857,-0.03,-0.95,-0.03,-34.43,-75.91,-35.25,30.51
76867,-0.08,-0.94,-0.06,-33.36,-81.45,-24.47,30.60
76877,-0.08,-0.97,-0.08,-28.60,-74.43,-3.98,30.51
76887,-0.09,-1.03,-0.04,-22.85,-66.14,17.08,30.51
76897,-0.10,-1.04,-0.01,-15.69,-63.77,33.11,30.46
76907,-0.08,-1.04,-0.06,-9.44,-66.12,43.66,30.55
76917,-0.04,-1.01,-0.08,-9.82,-68.63,48.32,30.55
76927,-0.01,-0.97,-0.09,-11.66,-72.55,48.21,30.55
76937,-0.00,-0.96,-0.11,-12.20,-75.95,46.21,30.55
76947,0.02,-0.99,-0.12,-10.87,-76.82,46.63,30.46
76957,0.06,-1.00,-0.13,-8.23,-75.10,48.20,30.41
76967,0.10,-1.01,-0.10,-7.36,-71.65,46.06,30.51
76977,0.08,-1.04,-0.09,-6.76,-71.27,40.84,30.51
76987,0.09,-1.07,-0.10,-6.69,-70.63,33.45,30.41
76997,0.08,-1.09,-0.10,-6.75,-72.95,21.08,30.51
77007,0.10,-1.07,-0.12,-8.41,-73.79,8.72,30.51
77017,0.13,-1.01,-0.15,-12.11,-73.63,-2.18,30.51
77027,0.14,-0.96,-0.16,-15.16,-71.56,-11.82,30.46
77037,0.11,-0.92,-0.17,-19.40,-70.27,-21.36,30.46
77047,0.07,-0.92,-0.11,-25.37,-70.46,-31.18,30.55
77057,0.02,-0.96,-0.09,-28.15,-74.23,-35.65,30.46
77067,-0.00,-1.00,-0.09,-26.40,-73.11,-36.82,30.46
77077,-0.01,-1.01,-0.06,-23.40,-70.21,-36.78,30.46
77087,0.00,-0.99,-0.06,-21.37,-69.83,-37.59,30.51
77097,0.03,-0.98,-0.08,-19.28,-69.19,-39.97,30.41
77107,0.07,-0.97,-0.11,-17.19,-66.55,-45.07,30.51
77117,0.09,-0.96,-0.10,-16.08,-64.82,-52.35,30.51
77127,0.07,-0.91,-0.08,-18.08,-64.55,-62.38,30.51
77137,0.00,-0.90,-0.10,-19.69,-70.78,-65.73,30.41
77147,-0.03,-0.90,-0.15,-20.18,-74.92,-57.98,30.46
77157,-0.02,-0.90,-0.18,-19.98,-73.11,-43.28,30.37
77167,-0.01,-0.89,-0.15,-17.10,-70.31,-26.14,30.55
77177,0.04,-0.86,-0.16,-11.95,-64.56,-11.74,30.46
77187,0.07,-0.85,-0.16,-6.69,-60.95,-2.63,30.37
77197,0.12,-0.82,-0.17,-3.08,-61.53,0.37,30.46
77207,0.14,-0.80,-0.22,-4.35,-60.72,-0.63,30.41
77217,0.17,-0.80,-0.24,-10.79,-58.23,-4.21,30.41
77227,0.21,-0.80,-0.25,-18.75,-56.46,-9.31,30.51
77237,0.25,-0.83,-0.24,-27.89,-53.91,-18.64,30.51
77247,0.28,-0.88,-0.22,-34.44,-50.75,-33.57,30.46
77257,0.28,-0.89,-0.22,-42.85,-56.09,-51.19,30.41
77267,0.25,-0.91,-0.22,-50.67,-61.11,-63.60,30.46
77277,0.22,-0.99,-0.21,-57.39,-64.18,-69.66,30.46
77287,0.13,-1.05,-0.16,-59.19,-69.83,-63.60,30.46
77297,0.10,-1.12,-0.10,-52.64,-71.02,-43.01,30.46
77307,0.07,-1.19,-0.05,-35.91,-67.42,-16.66,30.55
77317,0.03,-1.25,-0.00,-14.50,-61.98,13.60,30.55
77327,0.01,-1.27,-0.02,9.31,-59.11,47.85,30.51
77337,0.04,-1.28,-0.06,30.14,-55.01,77.47,30.41
77347,0.11,-1.25,-0.11,44.99,-51.13,97.68,30.41
77357,0.18,-1.22,-0.17,51.73,-46.53,106.81,30.51
77367,0.26,-1.21,-0.23,50.69,-44.17,103.66,30.51
77377,0.31,-1.20,-0.27,44.46,-42.93,90.26,30.46
77387,0.36,-1.18,-0.30,33.31,-44.55,72.05,30.51
77397,0.41,-1.16,-0.32,20.49,-44.46,49.45,30.46
77407,0.38,-1.14,-0.31,6.44,-45.79,27.33,30.46
77417,0.35,-1.13,-0.29,-4.21,-45.37,8.90,30.46
77427,0.29,-1.15,-0.21,-8.98,-43.79,-4.53,30.46
77437,0.19,-1.16,-0.13,-5.59,-39.40,-10.87,30.37
77447,0.09,-1.12,-0.10,2.50,-34.47,-11.21,30.51
77457,0.02,-1.05,-0.09,8.12,-32.67,-8.47,30.51
77467,-0.00,-0.98,-0.10,9.07,-33.18,-5.77,30.60
77477,0.00,-0.93,-0.14,6.29,-34.12,-5.05,30.41
77487,0.03,-0.91,-0.19,-0.03,-34.21,-5.73,30.51
77497,0.03,-0.93,-0.18,-7.71,-36.27,-7.48,30.51
77507,0.02,-0.96,-0.16,-13.82,-39.40,-8.09,30.37
77517,-0.00,-0.99,-0.12,-15.77,-42.18,-4.76,30.46
77527,0.00,-1.02,-0.09,-14.81,-42.69,1.59,30.37
77537,0.02,-1.04,-0.06,-11.07,-41.77,8.43,30.55
77547,0.03,-1.08,-0.05,-6.05,-39.16,12.90,30.46
77557,0.05,-1.07,-0.06,-2.66,-38.53,14.23,30.55
77567,0.06,-1.06,-0.08,-1.27,-38.69,12.93,30.41
77577,0.08,-1.03,-0.11,-0.81,-39.95,9.92,30.51
77587,0.06,-1.01,-0.13,-1.05,-40.12,6.89,30.51
77597,0.05,-0.97,-0.13,-3.31,-40.24,5.62,30.60
77607,0.04,-0.96,-0.11,-7.60,-40.61,3.73,30.51
77617,0.03,-0.95,-0.12,-11.68,-40.90,1.77,30.41
77627,0.04,-0.94,-0.13,-14.95,-40.03,1.31,30.46
77637,0.09,-0.94,-0.16,-19.65,-35.85,-1.31,30.55
77647,0.13,-0.94,-0.13,-26.09,-31.57,-9.30,30.46
77657,0.19,-0.92,-0.11,-31.74,-26.37,-22.11,30.46
77667,0.21,-0.90,-0.11,-36.09,-22.99,-38.35,30.46
77677,0.18,-0.87,-0.12,-40.66,-17.65,-54.00,30.46
77687,0.11,-0.85,-0.15,-40.67,-18.87,-62.34,30.41
77697,0.03,-0.85,-0.18,-41.13,-20.11,-61.16,30.51
77707,-0.03,-0.87,-0.20,-38.89,-22.73,-47.82,30.41
77717,-0.05,-0.89,-0.21,-35.98,-25.01,-28.18,30.51
77727,-0.01,-0.95,-0.18,-33.37,-25.62,-12.23,30.46
77737,0.05,-0.99,-0.16,-30.98,-24.84,-3.62,30.51
77747,0.07,-1.02,-0.13,-26.60,-29.40,-0.84,30.37
77757,0.15,-1.04,-0.14,-22.92,-29.31,-2.12,30.46
77767,0.16,-1.04,-0.15,-20.46,-34.14,-3.42,30.46
77777,0.15,-1.04,-0.16,-17.86,-33.91,-0.29,30.46
77787,0.15,-1.03,-0.19,-16.49,-31.59,5.01,30.55
77797,0.12,-1.03,-0.18,-14.03,-30.23,12.58,30.37
77807,0.17,-1.03,-0.18,-8.43,-23.53,20.38,30.41
77817,0.06,-1.01,-0.13,-2.92,-39.27,24.85,30.51
77827,0.24,-0.98,-0.24,4.58,-19.63,30.11,30.51
77837,0.25,-1.02,-0.23,9.91,-11.37,29.69,30.51
77847,0.29,-1.00,-0.27,11.28,-7.79,23.47,30.51
77857,0.30,-1.00,-0.29,4.31,-5.82,15.31,30.55
77867,0.31,-1.00,-0.26,-3.33,-7.57,4.76,30.46
77877,0.32,-1.01,-0.27,-9.65,-5.53,-6.75,30.37
77887,0.30,-1.03,-0.27,-11.04,-4.09,-13.51,30.46
77897,0.24,-1.05,-0.27,-10.35,0.95,-13.36,30.46
77907,0.20,-1.07,-0.23,-8.14,2.49,-12.52,30.46
77917,0.16,-1.06,-0.20,-5.25,6.82,-10.32,30.46
77927,0.11,-1.05,-0.17,-0.52,11.10,-6.24,30.41
77937,0.07,-1.04,-0.15,2.64,12.78,-3.11,30.51
77947,0.07,-0.99,-0.15,4.40,11.01,0.50,30.51
77957,0.06,-0.97,-0.17,4.72,8.37,2.70,30.51
77967,0.07,-0.95,-0.20,2.78,6.70,6.14,30.51
77977,0.08,-0.95,-0.24,-0.44,6.93,10.90,30.41
77987,0.11,-0.98,-0.23,-4.76,8.14,14.38,30.55
77997,0.11,-1.02,-0.20,-8.06,10.46,12.99,30.46
78007,0.11,-1.03,-0.15,-10.32,12.41,8.11,30.55
78017,0.10,-1.03,-0.15,-9.97,11.65,2.92,30.55
78027,0.08,-1.05,-0.12,-7.95,11.05,-1.18,30.37
78037,0.08,-1.04,-0.13,-4.89,11.65,-2.03,30.46
78047,-0.45,-1.27,0.21,7.33,-43.02,10.49,30.46
78057,-0.18,-1.33,-0.15,1.22,-13.36,29.24,30.46
78067,-0.08,-1.29,-0.06,3.73,-6.75,34.99,30.51
78077,-0.06,-1.11,-0.15,10.21,10.56,42.52,30.41
78087,-0.02,-1.03,-0.22,15.85,27.83,46.58,30.60
78097,-0.02,-1.00,-0.20,18.03,24.70,44.17,30.51
78107,-0.01,-1.02,-0.16,21.16,5.04,35.45,30.51
78117,-0.05,-1.03,-0.15,22.69,-8.70,27.56,30.46
78127,0.07,-1.26,-0.01,30.26,-12.12,19.48,30.46
78137,0.07,-1.19,-0.11,30.15,-11.88,16.23,30.46
78147,0.07,-1.19,-0.06,33.40,-6.46,13.40,30.55
78157,0.05,-1.17,0.03,40.23,-1.92,5.45,30.46
78167,0.26,-1.25,0.04,53.33,18.24,-11.01,30.55
78177,0.45,-1.21,-0.07,63.91,38.00,-32.58,30.55
78187,0.23,-1.24,-0.11,61.05,33.69,-43.30,30.46
78197,-0.99,-0.13,-0.21,36.37,5.92,13.47,30.51
78207,-0.52,-0.72,-0.35,6.72,23.51,58.52,30.51
78217,-0.23,-0.75,0.02,6.23,16.43,56.67,30.51
78227,0.06,-0.74,-0.27,-9.73,24.93,54.06,30.51
78237,0.04,-0.98,-0.00,0.90,14.03,51.01,30.51
78247,-0.07,-1.10,0.06,11.33,-1.66,46.73,30.55
78257,-0.04,-1.06,-0.04,16.06,-1.24,48.34,30.51
78267,-0.07,-1.05,-0.06,12.05,1.62,54.23,30.46
78277,-0.04,-1.08,-0.05,7.79,13.31,58.43,30.55
78287,-0.05,-1.15,-0.07,3.95,19.39,59.60,30.55
78297,-0.07,-1.17,-0.06,-0.20,13.57,58.89,30.46
78307,-0.06,-1.23,-0.02,3.15,5.27,54.93,30.46
78317,-0.07,-1.25,-0.02,3.45,1.19,46.29,30.46
78327,-0.10,-1.14,0.10,5.07,-0.14,37.27,30.46
78337,0.02,-1.18,0.05,17.31,4.20,29.13,30.51
78347,0.12,-1.27,-0.06,26.29,15.69,17.44,30.51
78357,0.32,-1.30,-0.08,35.05,28.43,-11.13,30.51
78367,0.59,-1.31,-0.14,35.48,40.56,-51.31,30.51
78377,0.36,-1.17,-0.31,17.69,34.60,-73.89,30.37
78387,0.20,-1.11,-0.26,0.20,35.40,-85.62,30.51
78397,0.08,-1.06,-0.19,-11.60,36.95,-88.99,30.41
78407,-0.05,-0.99,-0.15,-14.78,38.20,-77.89,30.46
78417,-0.12,-0.95,-0.13,-11.56,42.49,-59.08,30.37
78427,-0.13,-0.93,-0.12,-3.95,46.12,-41.79,30.55
78437,-0.16,-0.93,-0.10,3.60,42.02,-27.94,30.55
78447,-0.12,-0.91,-0.10,6.90,35.36,-17.91,30.55
78457,-0.06,-0.90,-0.10,10.41,32.23,-9.44,30.55
78467,0.02,-0.90,-0.13,10.78,33.37,-0.56,30.46
78477,0.09,-0.91,-0.14,11.85,38.09,5.82,30.60
78487,0.11,-0.94,-0.14,11.31,41.15,8.66,30.51
78497,0.15,-0.97,-0.12,10.32,43.76,8.00,30.41
78507,0.18,-0.99,-0.10,8.99,45.89,3.28,30.55
78517,0.20,-1.02,-0.10,8.43,46.76,-5.13,30.51
78527,0.20,-0.99,-0.12,7.66,49.16,-12.37,30.41
