Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
43457,-0.06,-0.08,1.24,-6.20,4.99,-5.27,30.22
43467,-0.07,-0.07,1.25,-3.36,0.06,-5.28,30.27
43477,-0.09,-0.06,1.26,-0.96,-1.40,-4.32,30.27
43487,-0.09,-0.04,1.25,3.22,-0.47,-1.24,30.37
43497,-0.09,-0.03,1.24,6.64,1.98,2.15,30.37
43507,-0.07,-0.02,1.23,8.23,3.74,3.86,30.37
43517,-0.08,-0.01,1.21,7.97,3.76,4.93,30.18
43527,-0.09,0.00,1.20,8.03,0.79,6.43,30.32
43537,-0.08,-0.00,1.21,8.38,-2.37,6.49,30.22
43547,-0.06,-0.01,1.16,8.02,-8.26,5.85,30.32
43557,-0.04,-0.01,1.13,9.11,-11.85,6.23,30.32
43567,-0.02,-0.00,1.09,10.49,-11.88,6.47,30.32
43577,0.03,-0.00,1.05,11.65,-8.52,6.23,30.32
43587,0.05,0.01,1.01,11.57,-3.69,4.66,30.37
43597,0.06,0.01,0.98,10.64,-0.60,2.82,30.27
43607,0.04,0.01,0.96,8.53,1.34,-0.09,30.37
43617,0.02,0.03,0.95,6.06,1.47,-2.23,30.18
43627,-0.00,0.04,0.94,4.35,-1.15,-2.89,30.27
43637,-0.03,0.05,0.93,4.34,-7.31,-2.89,30.18
43647,-0.03,0.05,0.91,5.24,-14.73,-3.01,30.22
43657,-0.01,0.04,0.89,6.02,-20.23,-2.79,30.32
43667,-0.00,0.04,0.84,6.29,-25.51,-2.40,30.32
43677,0.02,0.04,0.80,5.83,-28.43,-3.37,30.22
43687,0.03,0.05,0.76,4.95,-26.47,-4.49,30.27
43697,0.03,0.06,0.72,2.84,-22.34,-4.76,30.22
43707,0.04,0.07,0.65,-0.56,-16.64,-4.75,30.27
43717,0.02,0.09,0.63,-6.37,-12.95,-3.54,30.27
43727,0.00,0.11,0.64,-13.15,-10.26,-2.64,30.27
43737,-0.03,0.09,0.66,-18.08,-12.66,-1.92,30.37
43747,-0.02,0.07,0.69,-20.76,-12.21,-0.82,30.27
43757,-0.03,0.06,0.69,-22.89,-10.99,0.82,30.27
43767,-0.03,0.04,0.74,-22.08,-9.01,2.93,30.22
43777,-0.03,0.03,0.75,-20.37,-9.83,6.03,30.22
43787,-0.02,0.03,0.74,-22.95,-10.61,9.04,30.22
43797,-0.01,0.05,0.72,-28.18,-13.60,11.22,30.32
43807,0.01,0.05,0.71,-34.11,-17.65,13.40,30.32
43817,0.03,0.04,0.68,-41.47,-19.62,16.17,30.37
43827,0.06,0.03,0.68,-49.22,-19.42,18.32,30.37
43837,0.09,0.00,0.68,-54.89,-15.92,20.18,30.27
43847,0.13,-0.03,0.68,-60.23,-7.10,20.60,30.27
43857,0.15,-0.08,0.73,-62.24,1.44,19.66,30.27
43867,0.13,-0.11,0.79,-62.55,8.17,17.54,30.27
43877,0.11,-0.13,0.83,-63.16,9.16,16.75,30.27
43887,0.09,-0.14,0.86,-63.31,9.04,15.13,30.32
43897,0.07,-0.14,0.88,-62.82,4.52,14.37,30.22
43907,0.07,-0.13,0.85,-62.79,-0.29,14.14,30.32
43917,0.10,-0.14,0.80,-63.79,-2.99,14.55,30.32
43927,0.13,-0.16,0.75,-66.14,-2.49,14.78,30.22
43937,0.16,-0.19,0.72,-69.69,0.17,13.54,30.22
43947,0.18,-0.23,0.71,-74.61,6.12,11.60,30.27
43957,0.17,-0.24,0.73,-78.26,12.60,10.11,30.37
43967,0.16,-0.26,0.77,-80.47,19.76,8.64,30.27
43977,0.12,-0.28,0.82,-81.42,24.73,7.16,30.37
43987,0.07,-0.30,0.87,-81.24,25.73,6.38,30.27
43997,0.02,-0.33,0.90,-79.89,20.93,6.70,30.37
44007,-0.01,-0.32,0.94,-79.15,11.30,8.23,30.22
44017,-0.02,-0.33,0.91,-77.92,1.92,10.43,30.22
44027,0.00,-0.35,0.88,-76.96,-5.86,13.47,30.22
44037,0.04,-0.40,0.85,-77.36,-10.95,14.70,30.27
44047,0.08,-0.44,0.81,-79.45,-12.92,13.31,30.22
44057,0.11,-0.45,0.80,-81.92,-14.14,11.08,30.37
44067,0.11,-0.46,0.80,-85.30,-12.75,9.77,30.27
44077,0.11,-0.46,0.81,-88.14,-11.05,8.89,30.27
44087,0.10,-0.50,0.85,-89.19,-10.75,8.23,30.27
44097,0.07,-0.53,0.89,-88.03,-14.53,7.45,30.18
44107,0.04,-0.59,0.92,-82.08,-25.19,6.11,30.27
44117,0.03,-0.61,0.92,-78.43,-35.48,2.05,30.32
44127,0.00,-0.64,0.92,-75.62,-50.69,0.56,30.22
44137,0.02,-0.62,0.83,-72.66,-57.88,1.42,30.32
44147,0.06,-0.59,0.76,-74.41,-56.89,3.92,30.22
44157,0.09,-0.59,0.69,-78.78,-50.50,6.49,30.22
44167,0.08,-0.58,0.69,-87.15,-39.42,9.25,30.27
44177,0.06,-0.63,0.75,-92.60,-30.29,12.43,30.27
44187,0.04,-0.64,0.76,-94.69,-22.89,17.22,30.27
44197,0.06,-0.65,0.75,-94.73,-15.65,21.21,30.27
44207,0.04,-0.67,0.78,-98.73,-11.01,25.15,30.27
