Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
56317,0.05,-0.32,0.96,3.80,3.39,-15.40,30.27
56327,0.02,-0.33,0.99,0.00,7.57,-16.41,30.27
56337,-0.02,-0.35,1.04,-2.23,8.69,-16.56,30.22
56347,-0.04,-0.35,1.06,-2.52,7.68,-16.20,30.22
56357,-0.05,-0.36,1.06,-1.25,4.50,-14.98,30.13
56367,-0.02,-0.37,1.07,0.09,3.85,-13.95,30.13
56377,-0.00,-0.36,1.05,0.32,3.63,-14.15,30.13
56387,0.02,-0.36,1.04,-0.14,5.18,-15.59,30.18
56397,0.04,-0.37,1.04,-0.87,7.37,-17.73,30.27
56407,0.04,-0.38,1.04,-1.44,7.66,-19.31,30.18
56417,0.04,-0.38,1.06,-1.56,7.13,-20.50,30.18
56427,0.03,-0.38,1.06,-1.79,6.81,-22.02,30.08
56437,0.02,-0.38,1.07,-0.24,5.73,-22.64,30.27
56447,0.02,-0.38,1.08,-0.95,6.64,-23.01,30.18
56457,0.03,-0.38,1.06,1.79,9.22,-23.10,30.13
56467,-0.01,-0.38,1.07,2.02,7.34,-22.29,30.22
56477,0.00,-0.35,1.07,2.58,6.81,-22.47,30.13
56487,0.01,-0.35,1.05,4.20,6.00,-23.59,30.13
56497,-0.00,-0.35,1.04,4.76,3.10,-24.12,30.22
56507,-0.01,-0.34,1.00,3.79,3.56,-23.95,30.22
56517,-0.01,-0.33,0.98,4.14,1.95,-22.96,30.18
56527,-0.04,-0.32,0.98,3.86,0.20,-22.31,30.18
56537,-0.02,-0.30,0.99,4.46,2.08,-20.60,30.18
56547,-0.00,-0.30,0.97,4.96,1.68,-20.61,30.18
56557,0.02,-0.29,0.96,4.53,0.67,-20.56,30.18
56567,0.04,-0.28,0.96,2.50,1.92,-20.50,30.18
56577,0.04,-0.28,0.95,-0.67,3.69,-20.44,30.27
56587,0.03,-0.28,0.98,-3.08,3.08,-20.76,30.32
56597,0.02,-0.28,0.99,-4.24,1.79,-20.85,30.22
56607,0.02,-0.29,0.98,-4.47,0.38,-20.92,30.22
56617,0.04,-0.29,0.99,-4.09,1.16,-20.63,30.22
56627,0.06,-0.29,0.98,-2.75,4.70,-20.02,30.13
56637,0.06,-0.30,0.97,-1.80,8.24,-19.31,30.22
56647,0.07,-0.29,0.96,-1.85,11.95,-18.29,30.18
56657,0.06,-0.27,0.95,-3.33,13.69,-18.02,30.18
56667,0.06,-0.26,0.95,-5.82,13.54,-17.89,30.18
56677,0.06,-0.27,0.95,-8.40,12.08,-19.19,30.18
56687,0.06,-0.28,0.95,-10.03,10.93,-20.32,30.18
56697,0.06,-0.27,0.97,-11.24,9.97,-21.08,30.18
56707,0.05,-0.29,0.99,-12.53,10.23,-21.40,30.18
56717,0.04,-0.30,1.00,-12.34,9.51,-21.98,30.22
