Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
230377,-0.00,-0.80,-0.06,-5.57,4.35,2.98,30.46
230387,0.01,-0.79,-0.05,-6.93,3.79,9.33,30.46
230397,0.01,-0.77,-0.06,-9.66,4.53,16.60,30.46
230407,0.02,-0.75,-0.06,-12.31,5.92,24.44,30.46
230417,0.03,-0.78,-0.06,-12.38,8.02,30.63,30.41
230427,0.07,-0.81,-0.07,-12.23,10.70,35.73,30.41
230437,0.07,-0.85,-0.05,-11.36,10.79,37.76,30.41
230447,0.11,-0.90,-0.02,-11.16,10.29,34.29,30.41
230457,0.13,-0.91,0.00,-10.23,5.83,25.34,30.46
230467,0.16,-0.91,-0.00,-12.92,12.05,12.78,30.46
230477,0.14,-0.87,0.01,-14.96,10.61,0.23,30.37
230487,0.13,-0.82,-0.02,-16.41,9.04,-9.77,30.46
230497,0.09,-0.79,-0.04,-18.69,7.98,-15.80,30.37
230507,0.07,-0.77,-0.04,-21.11,6.78,-18.35,30.37
230517,0.04,-0.75,-0.04,-22.96,6.26,-17.10,30.46
230527,0.03,-0.74,-0.07,-25.01,8.23,-12.76,30.41
230537,0.03,-0.74,-0.06,-26.26,10.14,-8.38,30.41
230547,0.03,-0.73,-0.04,-26.96,10.12,-3.45,30.41
230557,0.03,-0.74,-0.04,-26.00,9.68,1.56,30.41
230567,0.06,-0.76,-0.04,-25.54,10.76,5.88,30.32
230577,0.07,-0.78,-0.05,-26.47,11.94,8.03,30.46
230587,0.06,-0.80,0.01,-26.56,4.52,8.17,30.55
230597,0.10,-0.82,-0.02,-28.82,10.05,3.71,30.46
230607,0.10,-0.82,-0.01,-29.02,7.69,1.24,30.46
230617,0.10,-0.80,-0.04,-29.85,9.69,-0.50,30.37
230627,0.09,-0.81,-0.05,-31.50,9.89,-2.00,30.41
230637,0.08,-0.82,-0.05,-33.02,7.15,-4.14,30.41
230647,0.09,-0.81,-0.07,-34.66,5.34,-6.21,30.41
