Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
179547,-0.04,-0.72,1.06,-0.67,-7.19,-9.10,30.69
179557,-0.06,-0.69,1.06,0.11,-9.22,-10.43,30.60
179567,-0.04,-0.66,1.06,-4.02,-9.22,-10.82,30.60
179577,-0.04,-0.63,1.09,-6.93,-10.67,-10.89,30.46
179587,0.02,-0.61,1.13,-7.73,-5.33,-12.31,30.55
179597,0.03,-0.59,1.17,-8.08,4.46,-12.56,30.55
179607,0.03,-0.57,1.27,-10.35,12.06,-12.99,30.55
179617,-0.02,-0.62,1.42,-11.05,16.00,-14.11,30.55
179627,-0.08,-0.68,1.52,-7.28,12.43,-12.69,30.60
179637,-0.13,-0.70,1.62,1.51,6.66,-7.95,30.60
179647,-0.16,-0.75,1.68,15.25,-2.76,-2.52,30.60
179657,-0.17,-0.78,1.71,28.34,-12.49,2.73,30.60
179667,-0.14,-0.79,1.71,38.05,-22.14,6.53,30.65
179677,-0.09,-0.78,1.74,44.53,-26.37,8.52,30.60
179687,-0.05,-0.79,1.75,49.59,-28.24,8.78,30.65
179697,-0.04,-0.81,1.79,53.71,-27.68,7.98,30.65
179707,-0.05,-0.86,1.80,57.53,-28.55,7.40,30.65
179717,-0.05,-0.88,1.80,63.34,-27.94,7.04,30.55
179727,-0.04,-0.91,1.79,71.44,-24.69,8.31,30.55
179737,-0.02,-0.95,1.78,81.79,-19.65,9.86,30.51
179747,-0.01,-1.00,1.78,92.09,-19.16,8.58,30.60
179757,-0.02,-1.02,1.76,103.28,-22.29,6.26,30.60
179767,-0.03,-1.04,1.69,113.39,-22.73,5.97,30.69
179777,-0.02,-1.01,1.62,122.96,-19.74,6.61,30.60
179787,-0.03,-0.99,1.59,128.56,-17.01,7.48,30.69
179797,-0.02,-0.98,1.54,133.25,-12.76,7.66,30.65
179807,-0.00,-0.97,1.52,138.50,-8.69,7.77,30.55
179817,-0.01,-1.00,1.52,144.61,-7.40,7.76,30.55
179827,-0.02,-1.01,1.48,151.19,-10.66,7.28,30.55
179837,-0.01,-0.99,1.42,155.40,-10.40,6.58,30.55
179847,-0.02,-0.97,1.36,158.66,-10.24,6.89,30.51
179857,-0.04,-0.93,1.32,161.77,-9.94,7.83,30.51
179867,-0.05,-0.89,1.27,162.11,-11.02,10.12,30.60
179877,-0.05,-0.87,1.20,161.92,-13.25,14.87,30.51
179887,0.01,-0.85,1.17,161.27,-13.31,16.53,30.55
179897,0.04,-0.85,1.14,159.92,-18.26,16.87,30.65
179907,0.09,-0.83,1.09,159.11,-19.91,14.41,30.65
179917,0.13,-0.78,1.03,154.92,-19.28,11.86,30.46
179927,0.16,-0.72,0.96,149.63,-16.11,11.63,30.65
179937,0.18,-0.66,0.90,140.63,-10.93,12.18,30.46
179947,0.22,-0.64,0.85,127.68,-4.40,11.98,30.51
179957,0.25,-0.62,0.82,115.37,3.27,10.99,30.60
179967,0.26,-0.62,0.80,101.56,9.76,9.82,30.60
179977,0.23,-0.65,0.85,90.29,14.47,8.87,30.51
179987,0.17,-0.65,0.89,82.60,7.28,9.39,30.69
179997,0.12,-0.65,0.85,72.87,-9.91,8.32,30.51
180007,0.10,-0.65,0.79,63.27,-25.27,7.25,30.55
180017,0.13,-0.65,0.79,61.01,-37.53,0.50,30.55
180027,0.15,-0.70,0.80,76.20,-48.70,-7.68,30.46
180037,0.20,-0.70,0.76,101.08,-45.86,-16.99,30.55
180047,0.21,-0.68,0.71,127.77,-36.12,-24.58,30.55
180057,0.17,-0.61,0.66,150.29,-22.84,-28.67,30.60
180067,0.09,-0.52,0.63,161.50,-17.11,-30.23,30.51
180077,0.01,-0.40,0.57,163.47,-20.53,-30.69,30.51
180087,-0.03,-0.26,0.50,160.17,-26.27,-30.34,30.60
180097,-0.05,-0.12,0.41,155.89,-36.75,-27.21,30.51
180107,-0.02,-0.05,0.31,150.08,-38.73,-21.25,30.55
180117,0.02,0.01,0.25,139.59,-33.60,-18.20,30.55
180127,0.06,0.05,0.22,128.35,-26.72,-18.17,30.55
180137,0.09,0.07,0.21,118.63,-13.39,-20.96,30.65
180147,0.05,0.05,0.28,115.08,-7.05,-22.84,30.65
180157,0.01,0.03,0.34,118.26,-2.26,-25.37,30.55
180167,-0.02,0.05,0.39,124.24,-0.27,-27.34,30.51
180177,-0.07,0.11,0.41,125.42,-5.59,-26.93,30.51
180187,-0.06,0.20,0.39,122.64,-12.67,-26.92,30.60
180197,-0.07,0.27,0.35,116.72,-16.02,-25.97,30.46
180207,-0.09,0.30,0.35,109.28,-16.64,-22.93,30.51
180217,-0.11,0.29,0.38,102.98,-20.67,-19.30,30.46
180227,-0.10,0.26,0.46,95.68,-27.68,-20.03,30.46
180237,-0.15,0.20,0.55,88.03,-42.55,-24.72,30.55
180247,-0.18,0.15,0.66,84.78,-63.28,-32.29,30.55
180257,-0.19,0.09,0.72,87.76,-84.70,-43.01,30.55
180267,-0.16,0.09,0.73,93.89,-108.82,-52.17,30.60
180277,-0.08,0.22,0.61,95.83,-123.94,-55.79,30.41
180287,0.03,0.31,0.46,87.40,-127.34,-54.69,30.51
180297,0.12,0.37,0.35,68.50,-111.16,-52.12,30.51
180307,0.15,0.39,0.30,45.79,-87.97,-49.11,30.60
180317,0.13,0.45,0.34,27.65,-58.06,-45.44,30.60
180327,0.02,0.47,0.47,25.83,-44.38,-40.58,30.46
180337,-0.07,0.41,0.58,38.53,-48.08,-38.27,30.46
180347,-0.11,0.35,0.65,57.62,-67.69,-36.26,30.46
180357,-0.04,0.33,0.63,78.81,-82.05,-35.34,30.46
180367,0.06,0.41,0.52,94.90,-82.35,-32.58,30.55
180377,0.15,0.49,0.41,99.74,-71.21,-27.91,30.51
180387,0.24,0.57,0.31,93.74,-50.76,-25.39,30.51
180397,0.30,0.60,0.26,81.21,-32.81,-26.76,30.51
180407,0.32,0.58,0.26,65.74,-23.42,-31.10,30.60
180417,0.33,0.56,0.30,55.39,-17.68,-36.29,30.46
180427,0.34,0.54,0.36,51.27,-10.38,-41.33,30.51
180437,0.35,0.57,0.40,57.16,-11.60,-45.10,30.46
180447,0.43,0.60,0.33,64.43,-1.59,-48.75,30.55
180457,0.44,0.62,0.28,69.57,12.72,-49.22,30.55
180467,0.44,0.63,0.25,77.01,29.85,-48.32,30.46
180477,0.43,0.62,0.23,78.82,51.34,-47.07,30.55
180487,0.34,0.64,0.30,69.54,62.53,-46.40,30.51
180497,0.23,0.70,0.40,57.40,59.77,-48.02,30.51
180507,0.12,0.78,0.46,51.69,54.24,-51.85,30.51
180517,0.04,0.80,0.49,48.79,39.08,-51.25,30.51
180527,0.06,0.86,0.46,44.00,26.72,-46.35,30.51
180537,0.15,0.91,0.36,41.19,26.89,-38.75,30.51
180547,0.21,0.85,0.34,36.41,40.50,-33.95,30.65
180557,0.21,0.78,0.34,31.59,57.57,-33.15,30.46
180567,0.14,0.70,0.44,31.97,66.35,-34.00,30.55
180577,0.07,0.69,0.55,37.45,66.84,-37.88,30.46
180587,-0.01,0.71,0.65,48.29,54.20,-42.72,30.55
180597,-0.04,0.77,0.61,56.66,39.37,-45.02,30.60
180607,-0.05,0.88,0.52,60.43,30.40,-41.74,30.51
180617,0.01,0.96,0.41,59.89,35.31,-35.07,30.51
180627,0.02,0.90,0.32,52.49,46.26,-26.02,30.51
180637,-0.12,0.92,0.46,54.89,54.78,-22.44,30.55
180647,-0.04,0.88,0.41,50.82,63.24,-21.65,30.46
180657,-0.10,0.78,0.49,53.44,51.40,-22.23,30.46
180667,-0.13,0.82,0.54,54.27,36.92,-21.97,30.46
180677,-0.10,0.90,0.48,56.18,32.99,-19.76,30.55
180687,-0.10,0.94,0.45,58.58,28.35,-15.89,30.46
180697,-0.07,0.94,0.41,60.03,28.79,-14.23,30.46
180707,-0.06,0.96,0.37,58.87,33.83,-13.97,30.51
180717,-0.08,1.00,0.30,57.65,38.56,-12.00,30.41
180727,-0.13,0.96,0.29,59.51,47.27,-9.47,30.41
180737,-0.19,0.96,0.30,63.80,50.58,-6.67,30.41
180747,-0.23,0.94,0.33,66.81,44.72,-6.09,30.51
180757,-0.24,0.96,0.33,69.11,32.98,-6.60,30.46
180767,-0.17,0.93,0.30,70.21,21.36,-10.06,30.55
180777,-0.11,0.91,0.29,73.56,13.08,-14.96,30.55
