Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
174487,-0.12,-1.00,-0.07,1.05,0.43,-10.09,30.65
174497,-0.13,-1.01,-0.06,1.97,-0.37,-9.68,30.55
174507,-0.15,-1.01,-0.03,3.18,-2.84,-8.64,30.55
174517,-0.18,-1.04,-0.02,4.75,-5.57,-7.15,30.55
174527,-0.18,-1.06,-0.01,6.23,-7.54,-5.37,30.55
174537,-0.17,-1.07,0.00,6.73,-8.06,-5.31,30.65
174547,-0.17,-1.06,-0.01,6.63,-7.89,-5.97,30.55
174557,-0.19,-1.06,0.00,5.04,-11.69,-8.14,30.60
174567,-0.21,-1.05,-0.02,3.24,-17.02,-9.19,30.60
174577,-0.21,-1.04,-0.02,2.41,-21.51,-8.50,30.69
174587,-0.20,-1.07,-0.00,3.28,-24.35,-7.54,30.60
174597,-0.18,-1.10,0.01,4.58,-27.02,-8.29,30.60
174607,-0.15,-1.15,0.02,6.03,-29.59,-12.78,30.60
174617,-0.10,-1.22,0.04,6.67,-32.72,-23.39,30.60
174627,-0.08,-1.22,0.03,5.63,-33.77,-38.69,30.55
174637,-0.07,-1.20,0.00,4.50,-35.34,-55.69,30.65
174647,-0.11,-1.18,-0.00,2.49,-38.98,-68.38,30.55
174657,-0.19,-1.14,-0.02,1.21,-43.83,-71.85,30.65
174667,-0.24,-1.06,-0.04,1.42,-45.22,-63.39,30.55
174677,-0.23,-0.99,-0.07,2.98,-41.76,-47.15,30.65
174687,-0.25,-0.95,-0.06,5.88,-46.58,-28.92,30.65
174697,-0.23,-0.93,-0.12,4.98,-43.21,-11.62,30.60
174707,-0.18,-0.92,-0.13,0.32,-43.01,0.46,30.60
174717,-0.12,-0.94,-0.13,-5.83,-46.27,4.20,30.69
174727,-0.06,-0.99,-0.12,-13.42,-49.94,0.17,30.69
174737,-0.04,-1.02,-0.08,-18.60,-55.37,-7.05,30.51
174747,-0.05,-1.08,-0.06,-18.87,-58.43,-14.18,30.60
174757,-0.04,-1.11,-0.06,-15.83,-57.82,-18.00,30.55
174767,-0.04,-1.09,-0.03,-12.46,-56.14,-20.24,30.55
174777,-0.06,-1.09,-0.03,-6.12,-54.85,-19.86,30.74
174787,-0.07,-1.08,-0.06,-1.01,-53.76,-16.96,30.65
174797,-0.08,-1.04,-0.10,2.63,-53.62,-12.46,30.55
174807,-0.06,-1.03,-0.13,4.02,-51.10,-7.83,30.65
174817,-0.04,-1.01,-0.12,3.10,-50.20,-5.92,30.55
174827,-0.04,-1.01,-0.11,-0.61,-50.76,-8.09,30.65
174837,-0.07,-1.02,-0.08,-3.27,-54.23,-10.15,30.60
174847,-0.07,-1.01,-0.08,-4.00,-57.19,-12.35,30.69
174857,-0.09,-1.01,-0.05,-5.07,-58.76,-14.47,30.60
174867,-0.12,-0.99,-0.07,-6.35,-60.38,-13.83,30.60
174877,-0.14,-0.98,-0.08,-6.84,-62.03,-10.35,30.60
174887,-0.13,-0.97,-0.10,-7.08,-60.99,-6.21,30.55
174897,-0.12,-0.96,-0.09,-7.77,-61.21,-2.96,30.60
174907,-0.10,-0.96,-0.11,-8.38,-62.24,-2.08,30.55
174917,-0.10,-0.96,-0.11,-10.72,-65.80,-4.95,30.65
174927,-0.09,-0.96,-0.12,-13.21,-70.41,-7.94,30.65
174937,-0.08,-0.96,-0.14,-15.83,-72.20,-9.25,30.55
174947,-0.06,-0.99,-0.13,-18.37,-72.40,-10.05,30.55
174957,-0.06,-1.00,-0.13,-23.65,-70.50,-11.04,30.55
174967,-0.07,-1.03,-0.12,-26.50,-70.43,-11.68,30.65
174977,-0.07,-1.05,-0.11,-25.40,-69.80,-11.30,30.51
174987,-0.04,-1.07,-0.12,-22.53,-67.01,-11.16,30.51
174997,0.00,-1.06,-0.12,-20.14,-63.85,-14.85,30.51
175007,0.04,-1.02,-0.12,-20.27,-62.47,-21.25,30.60
175017,0.06,-0.97,-0.15,-21.33,-62.44,-28.70,30.55
175027,0.04,-0.96,-0.16,-23.10,-63.82,-35.79,30.60
175037,-0.02,-0.95,-0.15,-24.34,-66.31,-36.64,30.55
