Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
81377,0.10,-0.42,1.01,-21.95,-4.98,-6.56,30.08
81387,0.05,-0.47,1.10,-18.89,-2.41,-7.71,30.18
81397,0.00,-0.51,1.16,-11.65,-3.31,-7.50,30.08
81407,-0.02,-0.51,1.18,-0.18,-5.08,-6.55,30.13
81417,-0.00,-0.48,1.12,8.99,-5.48,-6.69,30.13
81427,0.04,-0.44,1.05,11.08,-4.81,-8.43,30.22
81437,0.04,-0.42,1.01,7.53,-3.33,-10.87,30.22
81447,0.03,-0.43,1.00,2.23,-1.47,-13.50,30.18
81457,0.01,-0.45,1.00,-3.31,-0.20,-16.31,30.13
81467,-0.00,-0.49,0.98,-6.93,-0.99,-18.79,30.18
81477,-0.04,-0.48,0.91,-9.65,-1.24,-20.64,30.18
81487,-0.05,-0.47,0.84,-12.96,-0.09,-22.37,29.99
81497,-0.08,-0.47,0.80,-16.92,3.07,-20.46,30.18
81507,-0.12,-0.47,0.80,-21.33,13.85,-15.85,30.27
81517,-0.16,-0.52,0.84,-22.76,23.83,-10.05,30.18
81527,-0.20,-0.59,0.95,-19.92,29.01,-6.09,30.13
81537,-0.22,-0.58,0.99,-14.70,19.82,-4.43,30.22
81547,-0.18,-0.55,0.92,-9.16,4.73,-7.31,30.13
81557,-0.13,-0.53,0.82,-9.34,-14.89,-12.76,30.13
81567,-0.05,-0.50,0.71,-17.51,-26.55,-19.48,30.13
81577,0.01,-0.51,0.67,-30.73,-30.98,-26.14,30.27
81587,0.03,-0.53,0.72,-45.34,-20.32,-30.73,30.18
81597,-0.02,-0.60,0.83,-54.50,-11.56,-28.18,30.18
81607,-0.10,-0.65,0.94,-54.53,2.05,-18.27,30.27
81617,-0.13,-0.69,1.07,-40.95,13.04,-7.98,30.18
81627,-0.15,-0.72,1.12,-22.46,8.76,-0.78,30.18
81637,-0.13,-0.71,1.09,-6.78,-13.36,2.64,30.18
81647,-0.03,-0.65,0.93,1.04,-30.31,5.05,30.13
81657,0.10,-0.58,0.81,-0.37,-47.71,2.26,30.22
81667,0.21,-0.60,0.75,-12.14,-42.84,-0.66,30.22
81677,0.26,-0.69,0.81,-26.96,-19.24,-1.15,30.22
81687,0.21,-0.76,0.97,-34.99,10.21,1.05,30.22
81697,0.15,-0.83,1.13,-31.51,37.89,2.27,30.22
81707,0.05,-0.83,1.25,-21.91,43.13,-0.95,30.27
81717,-0.02,-0.76,1.32,-9.16,30.02,-5.15,30.18
81727,-0.05,-0.69,1.30,2.63,5.33,-9.04,30.18
81737,-0.04,-0.60,1.21,7.04,-13.60,-12.02,30.18
81747,0.01,-0.51,1.14,3.69,-17.53,-13.97,30.18
81757,0.04,-0.50,1.10,-6.69,-5.22,-15.63,30.18
81767,-0.00,-0.54,1.17,-16.38,12.06,-14.95,30.13
81777,-0.07,-0.57,1.27,-15.19,18.17,-12.89,30.13
81787,-0.08,-0.59,1.30,-4.87,14.50,-11.27,30.22
81797,-0.07,-0.57,1.23,5.74,0.26,-10.72,30.13
81807,-0.01,-0.52,1.13,10.31,-16.08,-11.19,30.13
81817,0.07,-0.49,1.02,6.47,-30.89,-14.31,30.22
81827,0.16,-0.44,0.89,-4.47,-42.00,-17.11,30.18
81837,0.25,-0.41,0.81,-16.92,-46.67,-22.15,30.18
81847,0.31,-0.42,0.75,-28.58,-42.70,-28.05,30.18
81857,0.33,-0.43,0.74,-33.31,-25.88,-31.19,30.18
81867,0.34,-0.47,0.79,-25.48,-0.47,-30.02,30.08
81877,0.31,-0.51,0.87,-8.78,26.06,-25.65,30.18
81887,0.24,-0.50,0.93,5.82,41.19,-20.78,30.13
81897,0.21,-0.43,0.94,16.09,46.12,-15.22,30.22
81907,0.17,-0.37,0.96,18.27,46.09,-11.80,30.13
81917,0.12,-0.35,1.01,15.25,44.82,-8.85,30.22
81927,0.06,-0.34,1.06,14.41,41.16,-3.56,30.27
81937,0.03,-0.34,1.06,15.56,37.77,1.39,30.32
81947,0.01,-0.35,1.06,17.51,29.24,6.60,30.27
81957,0.01,-0.35,1.04,18.66,17.22,10.02,30.27
81967,0.02,-0.36,1.03,17.07,-0.52,8.61,30.08
81977,0.05,-0.35,0.99,13.85,-19.08,4.27,30.18
81987,0.09,-0.32,0.92,9.24,-36.32,-0.20,30.08
81997,0.14,-0.27,0.85,6.20,-43.24,-4.14,30.18
82007,0.16,-0.24,0.82,1.68,-43.10,-7.22,30.13
82017,0.16,-0.22,0.79,-1.02,-37.73,-9.28,30.13
82027,0.15,-0.20,0.77,0.63,-26.98,-6.14,30.13
82037,0.16,-0.19,0.75,2.63,-15.54,2.35,30.22
82047,0.18,-0.18,0.78,2.21,-4.61,10.12,30.13
82057,0.18,-0.18,0.82,-1.36,3.77,15.63,30.18
82067,0.19,-0.19,0.84,-3.94,9.02,18.73,30.18
82077,0.20,-0.19,0.87,-6.41,11.69,18.06,30.18
82087,0.20,-0.20,0.89,-8.18,12.26,15.66,30.18
82097,0.18,-0.21,0.93,-10.78,7.80,12.90,30.27
82107,0.17,-0.21,0.96,-13.50,1.05,11.30,30.18
82117,0.18,-0.23,0.98,-17.54,-5.33,10.47,30.22
82127,0.22,-0.25,0.98,-21.42,-9.25,7.65,30.22
82137,0.24,-0.29,1.01,-23.44,-9.68,4.37,30.22
82147,0.24,-0.27,1.01,-27.11,-9.69,1.85,30.22
82157,0.22,-0.27,1.02,-30.98,-10.05,1.48,30.13
82167,0.18,-0.28,1.07,-31.47,-10.21,2.55,30.13
82177,0.16,-0.28,1.10,-28.52,-12.00,5.62,30.18
82187,0.17,-0.30,1.08,-24.02,-13.15,7.91,30.18
82197,0.24,-0.31,1.01,-18.93,-6.98,9.86,30.18
82207,0.27,-0.32,1.02,-17.89,1.19,6.99,30.27
82217,0.26,-0.30,1.05,-17.40,6.38,6.67,30.18
82227,0.27,-0.25,1.05,-17.66,19.13,7.44,30.08
82237,0.24,-0.23,1.08,-16.50,28.27,7.50,30.13
82247,0.25,-0.19,1.07,-15.63,48.41,8.44,30.13
82257,0.16,-0.17,1.16,-16.53,54.63,12.73,30.22
82267,0.12,-0.28,1.31,-18.02,45.86,11.60,30.13
82277,0.07,-0.30,1.42,-16.58,25.73,4.69,30.18
82287,0.02,-0.28,1.44,-10.50,0.00,0.98,30.22
82297,0.05,-0.23,1.37,-3.88,-25.10,0.55,30.08
82307,0.13,-0.18,1.18,6.41,-36.21,0.55,30.18
82317,0.17,-0.11,1.07,9.42,-44.84,0.31,30.27
82327,0.25,-0.13,1.01,15.47,-46.12,-1.11,30.18
82337,0.32,-0.16,0.94,20.46,-42.03,-3.37,30.08
82347,0.36,-0.16,0.93,20.32,-38.98,-8.60,30.08
82357,0.37,-0.17,0.96,21.10,-44.38,-18.26,30.13
