Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
91057,0.15,-0.31,0.93,1.28,-14.34,26.47,31.92
91067,0.13,-0.30,0.93,-1.31,-8.14,27.47,32.01
91077,0.11,-0.29,0.96,-2.61,-1.18,29.51,31.92
91087,0.09,-0.29,0.98,-3.76,1.48,29.57,31.92
91097,0.06,-0.27,1.00,-5.63,-2.52,30.40,31.92
91107,0.06,-0.29,1.01,-5.77,-9.62,30.73,32.01
91117,0.09,-0.31,1.02,-4.32,-12.05,29.02,31.92
91127,0.13,-0.33,1.03,-4.27,-12.87,25.08,32.06
91137,0.15,-0.33,1.04,-4.47,-14.75,18.17,31.97
91147,0.17,-0.31,1.04,-3.50,-12.11,12.52,31.87
91157,0.15,-0.30,1.07,-3.07,-9.86,7.39,31.97
91167,0.14,-0.28,1.07,-1.51,-3.19,4.17,32.06
91177,0.09,-0.26,1.10,0.37,1.82,2.00,31.78
91187,0.06,-0.23,1.11,2.49,4.84,-0.26,31.97
91197,0.02,-0.20,1.10,3.82,5.91,-2.21,31.92
91207,-0.01,-0.15,1.07,1.69,4.64,-1.88,31.92
91217,-0.02,-0.12,1.07,-0.31,2.75,0.26,31.92
91227,0.00,-0.11,1.07,-3.79,4.87,2.06,31.92
91237,0.01,-0.11,1.08,-7.92,6.09,0.98,32.01
91247,-0.01,-0.10,1.10,-9.86,6.15,-1.30,31.92
91257,-0.03,-0.10,1.11,-10.31,2.78,-3.73,31.97
91267,-0.05,-0.08,1.11,-10.75,-0.89,-6.47,32.01
91277,-0.08,-0.08,1.12,-9.98,-3.42,-10.84,31.97
91287,-0.14,-0.04,1.11,-10.69,-8.09,-16.46,31.97
91297,-0.21,-0.02,1.12,-11.51,-19.34,-22.14,31.87
91307,-0.22,0.01,1.10,-7.13,-30.53,-24.85,31.97
91317,-0.21,0.09,1.03,-2.02,-36.46,-21.80,31.97
91327,-0.15,0.15,0.97,-2.64,-34.95,-9.59,31.97
91337,-0.07,0.12,1.02,-5.37,-32.41,1.57,31.97
91347,0.04,0.00,1.06,-4.69,-25.53,7.92,31.92
91357,0.12,-0.07,1.11,-4.18,-17.34,9.18,32.01
91367,0.19,-0.15,1.16,-1.88,-10.44,7.11,31.82
91377,0.22,-0.18,1.17,3.74,-7.39,2.02,32.01
91387,0.27,-0.22,1.16,10.84,10.23,-1.68,32.01
91397,0.24,-0.24,1.22,11.60,6.03,-11.37,31.92
91407,0.22,-0.16,1.19,14.18,9.97,-18.55,31.92
91417,0.16,-0.12,1.19,17.28,12.69,-24.15,31.97
91427,0.10,-0.09,1.19,21.66,13.66,-28.50,31.97
91437,0.02,-0.05,1.13,25.83,13.82,-30.20,31.97
91447,-0.02,-0.00,1.06,26.78,15.11,-24.58,31.97
91457,-0.01,0.01,1.02,20.11,13.57,-13.62,31.87
91467,0.04,-0.04,1.05,10.76,13.65,-1.89,31.97
91477,0.10,-0.12,1.13,5.98,14.24,5.08,31.97
91487,0.16,-0.21,1.15,6.21,15.74,3.69,31.97
91497,0.18,-0.32,1.20,5.04,11.25,-5.59,31.92
91507,0.19,-0.38,1.22,9.19,4.95,-21.98,31.92
91517,0.18,-0.39,1.20,14.18,5.30,-39.42,31.92
91527,0.17,-0.35,1.13,20.37,11.18,-50.53,31.92
91537,0.10,-0.31,1.08,25.42,19.22,-51.25,31.92
91547,0.03,-0.25,1.02,26.52,28.58,-44.05,31.92
91557,0.00,-0.24,1.01,21.65,34.69,-38.08,31.97
91567,-0.04,-0.24,1.05,15.27,31.77,-34.98,31.87
91577,-0.08,-0.27,1.08,9.36,23.11,-33.04,31.97
91587,-0.08,-0.34,1.13,2.79,7.30,-33.77,31.87
91597,-0.09,-0.40,1.15,4.66,-4.58,-35.15,31.87
91607,-0.06,-0.42,1.13,8.05,-9.18,-36.37,31.97
91617,-0.01,-0.41,1.10,13.53,-9.31,-37.76,31.87
91627,0.02,-0.38,1.05,18.27,-6.06,-39.66,31.97
91637,0.03,-0.31,1.01,21.11,-0.35,-40.92,31.97
91647,0.02,-0.27,0.96,21.08,5.31,-40.34,32.01
91657,0.01,-0.20,0.91,19.53,8.78,-39.10,31.92
91667,-0.02,-0.15,0.89,14.66,11.05,-37.08,31.92
91677,-0.04,-0.11,0.88,8.05,10.89,-32.78,31.92
91687,-0.06,-0.12,0.91,0.34,7.94,-27.10,31.97
91697,-0.05,-0.16,0.94,-5.77,2.99,-21.98,31.92
91707,-0.02,-0.20,0.95,-7.59,1.44,-16.82,31.92
91717,0.03,-0.24,0.99,-7.54,0.56,-14.08,31.97
91727,0.06,-0.28,1.02,-4.21,-0.89,-14.95,31.87
91737,0.07,-0.28,1.01,-0.89,-1.15,-18.17,31.87
91747,0.07,-0.26,1.00,1.73,-0.31,-21.27,31.87
91757,0.04,-0.23,0.97,3.56,2.14,-22.92,31.97
91767,0.00,-0.16,0.92,3.25,5.71,-20.79,31.97
91777,-0.03,-0.13,0.89,-2.90,9.04,-14.60,31.97
91787,-0.04,-0.14,0.91,-12.14,7.21,-8.09,31.92
91797,-0.02,-0.19,0.93,-19.79,4.95,-4.47,32.01
91807,0.02,-0.24,0.96,-24.03,0.95,-4.58,31.92
91817,0.04,-0.27,0.98,-25.42,-1.88,-5.79,32.01
91827,0.06,-0.29,0.99,-24.23,-0.60,-6.17,31.92
91837,0.06,-0.30,1.02,-20.96,2.38,-6.24,32.01
91847,0.03,-0.32,1.03,-18.41,5.91,-4.89,31.92
91857,0.01,-0.33,1.04,-16.66,3.62,-2.67,31.87
91867,-0.02,-0.33,1.05,-18.84,-0.72,-0.75,31.97
91877,-0.03,-0.34,1.06,-22.43,-8.61,1.08,31.97
91887,0.02,-0.37,1.05,-25.24,-12.56,4.26,31.97
91897,0.08,-0.40,1.05,-30.03,-12.26,3.53,31.87
91907,0.14,-0.46,1.08,-35.48,-6.73,2.55,31.87
91917,0.15,-0.49,1.12,-31.50,-8.84,-1.65,31.92
91927,0.19,-0.52,1.09,-23.65,1.54,-4.03,31.92
91937,0.19,-0.51,1.08,-14.78,8.95,-5.15,31.92
91947,0.18,-0.48,1.04,-6.89,17.22,-5.65,32.01
91957,0.11,-0.43,1.03,-3.57,18.98,-5.60,31.92
91967,0.06,-0.38,1.00,-4.40,15.51,-3.82,31.92
91977,0.01,-0.36,0.99,-5.08,6.29,-1.79,31.92
91987,-0.02,-0.36,0.99,-6.26,-0.79,1.60,31.78
91997,-0.01,-0.37,0.97,-6.92,-6.55,7.40,31.87
92007,0.05,-0.38,0.93,-5.50,-2.89,12.96,31.87
92017,0.10,-0.42,0.93,-3.80,4.60,14.92,31.97
92027,0.10,-0.44,0.96,-3.42,11.27,13.30,31.97
92037,0.07,-0.46,1.03,-3.50,8.41,9.04,31.87
92047,0.05,-0.47,1.06,-3.80,1.88,5.71,31.97
92057,0.06,-0.46,1.03,-4.41,-5.47,4.79,31.87
92067,0.09,-0.44,1.00,-6.87,-8.09,7.60,31.92
92077,0.13,-0.46,0.99,-9.83,-6.12,11.80,31.92
92087,0.19,-0.49,1.00,-11.82,-0.03,13.15,31.92
92097,0.20,-0.53,1.01,-14.35,5.79,8.70,31.92
92107,0.15,-0.58,1.06,-13.44,5.30,3.39,31.82
92117,0.10,-0.59,1.09,-7.59,1.95,1.15,31.87
92127,0.09,-0.57,1.07,-0.55,0.81,2.58,31.92
92137,0.07,-0.55,1.06,6.46,0.75,6.47,31.97
92147,0.07,-0.49,1.01,11.27,1.94,9.05,31.87
92157,0.03,-0.40,0.96,7.71,0.70,8.58,31.97
92167,-0.01,-0.34,0.92,-2.93,-3.10,8.05,31.97
92177,-0.03,-0.32,0.91,-14.02,-4.58,11.71,31.87
92187,-0.02,-0.31,0.93,-24.14,0.37,18.29,31.87
92197,-0.04,-0.36,1.00,-30.75,5.25,22.69,31.87
92207,-0.04,-0.43,1.07,-33.30,11.88,25.86,31.92
92217,-0.04,-0.50,1.14,-31.50,10.09,23.15,31.92
92227,-0.05,-0.52,1.17,-27.57,-1.95,13.68,32.01
92237,-0.09,-0.52,1.14,-22.15,-22.99,3.83,31.82
92247,-0.07,-0.48,1.05,-17.01,-40.52,-2.66,31.82
92257,-0.01,-0.45,0.96,-12.72,-42.93,-2.60,31.92
92267,0.04,-0.43,0.89,-10.60,-30.52,2.00,31.92
92277,0.02,-0.41,0.88,-11.45,-16.27,6.76,31.97
92287,-0.02,-0.39,0.87,-15.33,-11.69,8.15,32.06
92297,-0.03,-0.37,0.85,-19.27,-18.14,6.41,31.97
92307,-0.05,-0.38,0.84,-21.30,-28.82,4.29,31.87
92317,-0.04,-0.38,0.80,-21.01,-32.93,8.06,31.87
92327,-0.01,-0.38,0.77,-16.76,-24.15,16.93,31.87
92337,0.00,-0.44,0.82,-11.97,-12.63,27.50,31.87
92347,0.01,-0.48,0.87,-6.69,-3.60,29.11,31.92
92357,0.02,-0.50,0.89,-3.45,-2.49,24.03,31.82
92367,0.03,-0.45,0.86,-1.22,-10.93,16.37,31.92
92377,0.02,-0.39,0.77,0.27,-15.76,12.81,31.92
92387,0.02,-0.32,0.73,-3.39,-10.27,11.79,31.92
92397,-0.00,-0.29,0.72,-8.26,0.95,14.27,31.82
92407,-0.07,-0.30,0.75,-12.72,13.47,18.79,31.92
92417,-0.12,-0.32,0.76,-18.92,19.50,24.61,31.87
92427,-0.16,-0.34,0.77,-26.41,17.33,30.84,31.97
92437,-0.16,-0.35,0.75,-33.18,10.81,37.89,31.97
92447,-0.12,-0.36,0.71,-39.36,6.84,45.86,31.87
92457,-0.05,-0.35,0.69,-48.60,6.81,54.69,31.87
92467,0.03,-0.38,0.71,-60.87,10.11,58.43,31.87
92477,0.03,-0.47,0.81,-70.31,11.48,55.15,31.97
92487,0.01,-0.55,0.88,-74.73,6.95,47.86,31.87
92497,-0.02,-0.62,0.95,-74.70,-0.87,39.88,31.92
92507,-0.03,-0.64,1.01,-68.82,-7.51,36.08,31.82
92517,0.00,-0.67,1.01,-59.39,-10.58,36.72,32.01
92527,0.01,-0.67,1.03,-51.88,-10.79,37.76,31.82
92537,0.03,-0.69,1.05,-45.13,-11.22,37.54,31.92
92547,0.05,-0.66,1.07,-41.48,-12.55,35.34,31.87
92557,0.12,-0.66,1.10,-34.87,-18.38,35.01,31.92
92567,0.21,-0.69,1.08,-27.65,-27.56,31.21,31.92
92577,0.26,-0.73,1.05,-21.48,-31.47,21.82,31.87
92587,0.30,-0.74,1.02,-17.77,-29.56,8.53,31.97
92597,0.28,-0.74,1.00,-16.96,-23.04,-3.48,31.87
92607,0.22,-0.72,1.00,-15.97,-13.27,-12.63,31.87
92617,0.16,-0.67,0.98,-13.15,-2.03,-16.09,31.87
92627,0.08,-0.66,0.96,-10.38,5.53,-15.74,31.87
92637,0.02,-0.64,0.93,-7.08,8.23,-16.20,31.87
92647,-0.07,-0.59,0.92,-6.38,3.21,-14.18,31.82
92657,-0.05,-0.53,0.91,-8.17,-2.81,-8.81,31.92
92667,-0.03,-0.49,0.91,-12.63,-5.94,1.24,31.92
92677,0.10,-0.56,0.92,-16.08,-0.92,5.02,31.92
92687,0.16,-0.65,0.98,-16.23,8.89,2.15,31.92
92697,0.17,-0.75,1.02,-13.36,19.10,-4.26,32.01
92707,0.13,-0.79,1.10,-4.84,20.21,-13.04,31.92
92717,0.08,-0.75,1.09,4.06,17.89,-22.66,31.97
92727,0.03,-0.68,1.04,7.97,12.73,-28.75,31.87
92737,-0.04,-0.63,1.03,8.79,5.73,-29.98,31.87
92747,-0.07,-0.59,0.99,9.63,5.50,-28.46,31.78
92757,-0.11,-0.54,0.96,9.65,7.27,-23.36,31.87
92767,-0.12,-0.54,0.93,8.58,12.20,-15.98,31.87
92777,-0.14,-0.51,0.93,6.40,15.97,-8.27,31.78
92787,-0.14,-0.54,0.96,4.58,15.63,-1.74,31.87
92797,-0.10,-0.54,0.98,2.38,11.94,0.29,31.92
92807,-0.08,-0.56,1.02,0.03,6.20,0.05,31.92
92817,-0.05,-0.59,1.03,0.95,1.44,-2.06,31.92
92827,-0.03,-0.60,1.01,3.02,-1.47,-2.95,31.92
92837,0.01,-0.60,0.99,3.88,-0.63,-1.16,31.92
92847,0.04,-0.62,0.97,6.23,4.96,0.84,31.97
92857,0.08,-0.62,0.95,8.02,12.69,0.61,31.92
92867,0.10,-0.61,0.93,7.65,19.57,-1.36,31.87
92877,0.11,-0.59,0.94,6.72,25.51,-3.94,31.87
92887,0.10,-0.59,0.95,6.93,30.41,-6.46,31.87
