Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
61637,-0.15,-0.48,0.95,-33.60,-11.77,-5.34,32.15
61647,-0.18,-0.49,0.99,-38.55,-18.84,-4.61,32.15
61657,-0.22,-0.51,1.05,-43.95,-36.21,-6.78,32.15
61667,-0.25,-0.55,1.13,-52.08,-62.09,-12.52,32.06
61677,-0.26,-0.54,1.14,-60.96,-92.53,-16.44,32.15
61687,-0.23,-0.51,1.08,-64.18,-108.50,-10.34,32.15
61697,-0.13,-0.50,1.03,-61.86,-106.70,3.10,32.20
61707,0.01,-0.53,0.99,-59.97,-87.39,18.03,32.11
61717,0.12,-0.57,0.99,-64.52,-65.76,28.05,32.11
61727,0.26,-0.65,1.03,-65.27,-44.66,29.83,32.20
61737,0.33,-0.70,1.05,-64.31,-28.46,24.76,32.20
61747,0.38,-0.71,1.07,-65.05,-18.72,14.73,32.01
61757,0.35,-0.76,1.12,-58.26,-9.27,-0.44,32.15
61767,0.33,-0.76,1.10,-52.21,-2.90,-11.05,32.11
61777,0.30,-0.74,1.04,-45.42,6.23,-15.71,32.11
61787,0.24,-0.64,1.00,-49.36,15.44,-15.57,32.06
61797,0.20,-0.69,1.01,-49.02,20.11,-14.49,32.06
61807,0.18,-0.70,1.04,-45.45,19.65,-14.09,32.06
61817,0.14,-0.73,1.03,-42.87,20.11,-13.94,32.15
61827,0.10,-0.74,1.03,-40.87,15.65,-12.47,32.15
61837,0.04,-0.76,1.07,-33.94,6.02,-11.97,32.15
61847,0.00,-0.76,1.09,-24.67,-2.20,-10.12,32.15
61857,-0.01,-0.79,1.12,-11.15,-9.39,-6.02,32.15
61867,-0.00,-0.79,1.09,1.98,-13.44,-1.92,32.20
61877,-0.01,-0.77,1.08,9.50,-22.43,0.26,32.11
61887,0.06,-0.75,1.05,12.53,-20.52,2.76,32.11
61897,0.09,-0.73,1.03,16.29,-22.17,3.33,32.11
61907,0.12,-0.73,0.99,17.92,-20.08,2.66,32.11
61917,0.12,-0.72,0.96,15.54,-20.61,-0.12,32.11
