Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
73597,-0.17,-0.43,1.05,6.23,-27.10,-10.12,31.45
73607,-0.14,-0.42,1.02,6.02,-29.80,-8.72,31.40
73617,-0.12,-0.39,0.99,6.40,-31.30,-6.98,31.35
73627,-0.11,-0.39,0.98,5.66,-32.81,-6.21,31.35
73637,-0.10,-0.38,0.98,4.87,-35.82,-5.39,31.40
73647,-0.09,-0.36,0.95,3.44,-37.18,-4.35,31.40
73657,-0.07,-0.36,0.96,2.05,-37.18,-2.61,31.49
73667,-0.06,-0.37,0.95,1.24,-34.50,-0.46,31.49
73677,-0.05,-0.36,0.94,0.02,-29.66,2.81,31.49
73687,-0.04,-0.36,0.94,-0.40,-24.55,5.48,31.40
73697,-0.04,-0.37,0.96,-1.42,-21.15,7.51,31.40
73707,-0.06,-0.38,0.97,-2.63,-20.61,8.43,31.40
73717,-0.07,-0.40,0.98,-3.71,-21.56,9.04,31.40
73727,-0.08,-0.40,1.00,-4.63,-23.27,10.20,31.49
73737,-0.10,-0.41,1.01,-4.78,-26.17,10.67,31.45
73747,-0.11,-0.43,1.03,-4.95,-29.73,10.03,31.45
73757,-0.13,-0.42,1.03,-5.18,-35.07,9.45,31.45
73767,-0.15,-0.42,1.02,-5.39,-39.50,8.32,31.45
73777,-0.16,-0.42,1.02,-6.84,-44.05,7.39,31.45
73787,-0.17,-0.40,1.00,-8.15,-47.05,8.60,31.45
73797,-0.17,-0.39,0.99,-9.59,-43.05,12.00,31.45
73807,-0.17,-0.41,0.99,-10.56,-34.93,17.42,31.35
73817,-0.18,-0.42,1.04,-9.54,-25.16,23.08,31.40
73827,-0.20,-0.45,1.06,-8.98,-16.98,27.92,31.40
73837,-0.24,-0.47,1.11,-8.00,-14.12,32.50,31.40
73847,-0.27,-0.46,1.14,-6.08,-12.78,36.44,31.40
73857,-0.28,-0.47,1.15,-4.53,-14.43,38.93,31.40
73867,-0.28,-0.49,1.16,-4.38,-17.30,40.34,31.40
73877,-0.30,-0.51,1.15,-3.88,-19.73,44.06,31.40
73887,-0.30,-0.53,1.17,-1.22,-20.92,48.43,31.40
73897,-0.30,-0.53,1.17,0.95,-21.65,51.98,31.49
73907,-0.30,-0.54,1.15,1.91,-25.08,54.87,31.40
73917,-0.29,-0.54,1.15,4.29,-31.08,56.69,31.35
