Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
58707,-0.00,-1.07,0.14,-0.78,-2.31,5.83,31.12
58717,-0.01,-1.06,0.13,0.21,-3.33,4.87,31.17
58727,0.02,-1.05,0.14,-0.03,-2.89,4.05,31.17
58737,0.01,-1.05,0.13,-0.55,-2.99,3.08,31.21
58747,0.01,-1.04,0.12,-0.95,-2.46,3.08,31.12
58757,0.02,-1.05,0.10,-0.82,-0.14,4.00,31.12
58767,0.01,-1.07,0.11,-0.64,0.93,5.27,31.21
58777,0.00,-1.08,0.12,-1.22,-0.23,6.31,31.21
58787,0.01,-1.08,0.12,-2.31,0.63,7.50,31.21
58797,0.01,-1.07,0.12,-3.01,0.34,8.14,31.12
58807,0.01,-1.07,0.11,-2.73,0.47,9.40,31.21
58817,0.02,-1.07,0.11,-1.36,2.43,10.11,31.12
58827,0.01,-1.08,0.11,2.08,2.75,10.69,31.17
58837,0.02,-1.09,0.12,5.10,3.50,10.96,31.17
58847,0.02,-1.09,0.12,7.56,4.46,12.14,31.26
58857,0.03,-1.07,0.10,7.48,7.91,14.11,31.26
58867,0.03,-1.04,0.08,3.95,10.96,13.08,31.17
58877,0.06,-1.04,0.08,-0.98,16.29,9.25,31.21
58887,0.08,-1.04,0.09,-5.80,13.15,3.04,31.17
58897,0.06,-1.06,0.10,-7.76,9.62,-3.83,31.17
58907,0.07,-1.07,0.12,-7.11,6.14,-9.54,31.21
58917,0.07,-1.08,0.12,-7.92,2.79,-14.12,31.21
58927,0.08,-1.07,0.11,-8.55,4.50,-16.72,31.21
58937,0.07,-1.06,0.10,-8.27,9.40,-16.69,31.12
58947,0.07,-1.06,0.09,-5.76,12.93,-14.87,31.12
58957,0.05,-1.07,0.10,-2.37,16.20,-12.23,31.12
58967,0.06,-1.09,0.10,1.42,19.36,-9.24,31.12
58977,0.06,-1.08,0.11,2.76,23.44,-7.19,31.21
58987,0.08,-1.09,0.12,3.40,28.26,-7.33,31.17
58997,0.09,-1.09,0.13,3.89,30.64,-9.31,31.17
59007,0.10,-1.08,0.12,5.59,33.21,-11.80,31.17
59017,0.11,-1.08,0.11,6.92,34.92,-13.65,31.17
59027,0.10,-1.08,0.10,7.22,36.05,-14.81,31.07
59037,0.11,-1.07,0.10,6.08,39.36,-15.18,31.17
59047,0.11,-1.06,0.08,6.82,42.79,-14.64,31.12
59057,0.10,-1.06,0.09,7.08,45.68,-14.78,31.17
59067,0.11,-1.08,0.10,7.91,49.22,-15.71,31.12
59077,0.11,-1.10,0.11,9.22,51.40,-16.96,31.12
59087,0.09,-1.10,0.14,9.42,51.57,-18.15,31.12
59097,0.08,-1.09,0.16,10.20,51.94,-18.76,31.21
59107,0.06,-1.09,0.17,11.56,52.75,-19.08,31.12
59117,0.05,-1.09,0.18,14.24,53.50,-18.09,31.21
59127,0.04,-1.07,0.20,17.33,55.10,-16.72,31.12
59137,0.04,-1.06,0.19,19.66,57.18,-15.71,31.21
59147,0.03,-1.06,0.19,20.46,55.91,-14.89,31.12
59157,0.00,-1.05,0.19,19.22,52.31,-14.21,31.26
59167,-0.03,-1.04,0.20,17.16,46.37,-13.33,31.17
59177,-0.04,-1.03,0.20,14.05,42.90,-11.45,31.17
59187,-0.05,-1.06,0.22,11.74,38.23,-11.11,31.17
59197,-0.06,-1.08,0.26,9.37,34.32,-12.93,31.17
59207,-0.07,-1.09,0.31,8.21,28.73,-16.96,31.17
59217,-0.06,-1.08,0.32,7.98,26.02,-22.14,31.21
