Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
369437,0.08,-0.02,0.89,-3.66,2.92,-4.02,28.53
369447,0.07,-0.03,0.92,-2.38,1.94,-3.67,28.44
369457,0.06,-0.04,0.91,-1.82,2.76,-3.23,28.48
369467,0.06,-0.04,0.93,-1.89,4.08,-2.87,28.48
369477,0.05,-0.04,0.93,-2.17,4.66,-2.37,28.53
369487,0.04,-0.05,0.94,-1.63,4.27,-2.35,28.53
369497,0.04,-0.05,0.92,-1.37,3.10,-1.85,28.48
369507,0.03,-0.06,0.91,-0.32,0.88,-1.63,28.39
369517,0.03,-0.06,0.89,0.08,-0.22,-1.21,28.44
369527,0.04,-0.07,0.88,-1.15,1.21,-0.15,28.44
369537,0.04,-0.07,0.88,-2.54,3.99,0.53,28.44
369547,0.05,-0.08,0.91,-3.69,6.47,1.35,28.48
369557,0.07,-0.09,0.91,-3.67,6.92,1.76,28.48
369567,0.08,-0.09,0.89,-3.79,5.52,1.27,28.44
369577,0.07,-0.09,0.88,-3.98,1.96,0.14,28.34
369587,0.05,-0.10,0.86,-4.59,-3.39,-0.32,28.39
369597,0.05,-0.11,0.85,-6.53,-7.65,0.74,28.48
369607,0.06,-0.12,0.83,-9.19,-10.01,2.79,28.48
369617,0.09,-0.12,0.81,-12.76,-9.66,4.31,28.44
369627,0.13,-0.14,0.83,-16.06,-11.12,5.13,28.44
369637,0.19,-0.18,0.82,-21.27,-11.69,3.76,28.53
369647,0.22,-0.21,0.82,-29.20,-10.59,-0.43,28.48
369657,0.25,-0.24,0.87,-35.60,-9.48,-5.58,28.48
369667,0.21,-0.26,0.95,-37.60,-17.32,-10.29,28.44
369677,0.20,-0.26,1.04,-33.81,-25.08,-14.78,28.34
369687,0.18,-0.28,1.06,-25.72,-30.76,-18.24,28.58
369697,0.17,-0.29,1.05,-15.78,-33.80,-20.44,28.39
369707,0.17,-0.30,1.01,-8.60,-34.06,-19.50,28.48
369717,0.17,-0.31,0.95,-3.79,-28.98,-17.66,28.44
369727,0.20,-0.34,0.94,-0.05,-19.76,-16.38,28.44
369737,0.20,-0.38,0.95,3.36,-11.75,-16.02,28.48
369747,0.19,-0.41,0.97,9.34,-10.93,-16.25,28.58
369757,0.19,-0.43,0.97,15.36,-5.64,-17.05,28.53
369767,0.19,-0.44,0.96,22.61,-3.50,-19.43,28.44
369777,0.19,-0.42,0.93,25.85,0.22,-22.44,28.44
369787,0.23,-0.41,0.84,26.37,5.59,-29.86,28.48
369797,0.25,-0.42,0.74,22.05,15.22,-39.85,28.48
369807,0.22,-0.40,0.68,11.18,28.80,-47.98,28.44
369817,0.18,-0.39,0.71,2.05,46.02,-52.20,28.53
369827,0.13,-0.39,0.76,-6.24,62.51,-53.58,28.34
369837,0.06,-0.39,0.90,-7.23,63.87,-53.37,28.58
369847,0.01,-0.38,0.95,-9.36,53.98,-50.34,28.48
369857,-0.03,-0.39,1.01,-11.89,37.94,-45.84,28.44
369867,-0.05,-0.39,1.05,-10.13,21.58,-39.22,28.53
369877,-0.06,-0.36,1.10,-5.07,7.77,-31.54,28.48
369887,-0.06,-0.33,1.12,1.15,-1.69,-21.98,28.39
369897,-0.03,-0.31,1.11,9.63,-9.24,-14.95,28.48
369907,0.06,-0.29,1.03,11.15,-8.09,-11.77,28.44
369917,0.11,-0.27,0.95,4.82,-6.58,-13.09,28.53
369927,0.15,-0.23,0.92,-4.38,-0.63,-17.08,28.48
369937,0.14,-0.20,0.93,-15.55,6.37,-20.15,28.48
369947,0.10,-0.17,0.93,-28.50,12.11,-19.85,28.58
369957,0.02,-0.16,0.96,-39.67,16.76,-13.82,28.44
