Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
90637,0.07,-0.41,0.91,-14.76,-8.03,3.54,31.82
90647,0.10,-0.42,0.89,-17.51,-7.86,3.80,31.87
90657,0.14,-0.42,0.89,-19.86,-2.32,3.63,31.78
90667,0.13,-0.46,0.91,-21.22,3.21,1.98,31.87
90677,0.13,-0.51,0.96,-19.65,8.12,-0.96,31.87
90687,0.10,-0.55,1.01,-15.02,11.07,-4.15,31.78
90697,0.07,-0.56,1.04,-9.08,10.98,-6.49,31.78
90707,0.06,-0.56,1.03,-3.45,9.16,-9.08,31.82
90717,0.06,-0.54,1.01,-0.46,6.53,-11.30,31.92
90727,0.07,-0.51,0.99,0.41,6.02,-14.43,31.92
90737,0.07,-0.50,0.98,-1.97,6.53,-17.73,31.92
90747,0.04,-0.51,0.98,-2.40,7.02,-20.41,31.87
90757,0.00,-0.53,0.99,-2.69,4.98,-19.50,31.82
90767,0.00,-0.53,0.99,-0.72,4.98,-17.22,31.73
90777,0.02,-0.57,0.99,0.93,0.72,-16.02,31.87
90787,0.05,-0.58,0.96,2.79,-2.27,-16.98,31.87
90797,0.08,-0.58,0.93,3.74,-5.59,-20.17,31.87
90807,0.09,-0.59,0.90,3.80,-5.31,-22.44,31.97
90817,0.08,-0.58,0.90,1.40,-3.79,-24.44,31.78
90827,0.06,-0.57,0.91,1.51,-1.34,-26.15,31.87
90837,0.02,-0.60,0.93,0.64,-2.34,-28.98,31.87
90847,-0.01,-0.58,0.94,-0.11,-8.41,-31.10,31.82
90857,-0.03,-0.57,0.96,-0.47,-16.03,-33.16,31.92
90867,-0.03,-0.59,0.97,0.23,-23.98,-34.24,31.82
90877,-0.01,-0.60,0.96,1.91,-28.53,-33.79,31.92
90887,0.00,-0.61,0.93,5.04,-25.56,-28.46,31.92
90897,0.05,-0.61,0.90,12.35,-15.62,-20.38,31.92
90907,0.12,-0.58,0.81,20.18,2.17,-12.99,31.97
90917,0.16,-0.53,0.76,22.23,17.60,-11.34,31.87
90927,0.18,-0.49,0.73,13.53,35.85,-14.73,31.87
90937,0.06,-0.51,0.83,3.34,39.48,-22.08,31.78
90947,0.02,-0.56,0.91,-6.82,41.59,-28.32,31.87
90957,-0.08,-0.61,1.03,-8.95,36.85,-31.21,31.97
90967,-0.11,-0.66,1.02,-3.97,47.13,-31.71,31.87
90977,-0.08,-0.62,1.02,12.73,25.39,-23.79,31.92
90987,-0.08,-0.55,0.95,19.91,27.19,-16.09,31.82
90997,0.01,-0.48,0.89,24.81,27.56,-11.63,31.82
91007,0.07,-0.42,0.83,18.26,30.67,-13.85,31.82
91017,0.07,-0.38,0.82,4.08,28.61,-18.34,31.82
91027,0.01,-0.37,0.87,-14.64,28.69,-24.55,31.92
91037,-0.08,-0.42,0.99,-26.73,24.56,-28.27,31.92
91047,-0.13,-0.42,1.07,-35.01,15.89,-27.42,31.87
91057,-0.17,-0.46,1.12,-36.70,1.13,-25.66,31.87
91067,-0.16,-0.49,1.12,-31.04,-12.63,-20.17,31.87
91077,-0.07,-0.51,1.08,-18.17,-16.84,-9.62,31.87
91087,0.06,-0.49,1.00,-5.48,-9.33,-1.19,31.87
91097,0.17,-0.44,0.91,-0.98,7.16,2.78,31.87
91107,0.17,-0.40,0.93,-3.44,12.93,1.77,31.78
91117,0.16,-0.40,0.94,-14.96,28.40,-3.33,31.82
91127,0.03,-0.47,1.08,-22.32,26.85,-6.63,31.82
91137,-0.06,-0.50,1.17,-25.77,17.79,-6.56,31.73
91147,-0.10,-0.53,1.19,-26.38,4.20,-4.44,31.82
91157,-0.10,-0.53,1.18,-24.66,-11.24,-2.12,31.92
91167,-0.05,-0.52,1.12,-18.05,-20.05,-0.96,31.82
91177,0.00,-0.50,1.04,-12.99,-26.67,-0.55,31.87
91187,0.05,-0.47,0.95,-11.92,-27.10,0.41,31.87
91197,0.10,-0.43,0.90,-13.31,-21.04,2.52,31.87
91207,0.10,-0.40,0.89,-17.50,-10.12,5.25,31.87
91217,0.05,-0.42,0.98,-23.04,-3.50,7.95,31.87
91227,0.02,-0.44,1.04,-24.17,-0.96,9.56,31.87
91237,-0.01,-0.49,1.08,-24.95,4.17,10.31,31.97
91247,-0.02,-0.52,1.12,-21.40,2.09,10.40,31.78
91257,-0.04,-0.53,1.11,-17.02,-3.02,9.34,31.92
91267,-0.04,-0.52,1.09,-12.18,-12.47,9.36,31.92
91277,0.00,-0.50,1.03,-6.58,-22.79,8.55,31.82
91287,0.08,-0.48,0.96,-3.33,-29.54,4.73,31.92
91297,0.17,-0.45,0.88,-4.08,-31.11,-1.08,31.92
91307,0.23,-0.42,0.82,-5.30,-25.48,-6.41,31.87
91317,0.22,-0.40,0.81,-6.98,-12.69,-8.32,31.92
91327,0.17,-0.39,0.86,-6.78,4.32,-3.94,31.82
91337,0.12,-0.40,0.92,-4.11,19.95,3.50,31.87
91347,0.06,-0.43,1.00,-2.89,25.79,7.47,31.97
91357,0.02,-0.45,1.05,-1.53,20.43,6.99,31.78
91367,-0.01,-0.43,1.07,-0.81,7.60,4.98,31.87
91377,-0.04,-0.41,1.07,0.14,-6.79,2.81,31.97
91387,-0.01,-0.41,1.02,-1.65,-15.88,3.15,31.78
91397,0.04,-0.41,0.97,-3.56,-19.88,6.00,31.87
91407,0.08,-0.42,0.95,-6.99,-17.01,8.40,31.82
91417,0.12,-0.43,0.96,-6.24,-7.57,12.37,31.92
91427,0.12,-0.45,1.00,-3.22,6.47,17.65,31.82
91437,0.10,-0.46,1.03,1.83,17.39,20.82,31.92
91447,0.06,-0.47,1.07,5.54,20.53,19.40,31.73
91457,0.04,-0.47,1.07,6.20,14.35,13.44,31.82
91467,0.00,-0.44,1.06,5.05,3.25,7.08,31.82
91477,0.00,-0.41,0.99,-4.03,-11.71,-0.02,31.78
91487,-0.01,-0.38,0.92,-12.96,-22.41,-4.56,31.87
91497,0.03,-0.38,0.90,-22.31,-20.90,-3.25,31.87
91507,0.05,-0.37,0.85,-29.57,-15.08,-0.75,31.97
91517,0.00,-0.42,0.93,-34.29,-2.55,7.30,31.87
91527,-0.04,-0.44,0.99,-31.28,7.40,17.08,31.87
91537,-0.05,-0.48,1.07,-28.78,18.73,24.23,31.87
91547,-0.10,-0.50,1.12,-23.21,12.35,27.51,31.92
91557,-0.06,-0.54,1.12,-17.42,9.13,23.88,31.82
91567,-0.07,-0.55,1.12,-15.05,-3.02,16.99,31.82
91577,-0.04,-0.54,1.09,-12.66,-15.05,11.80,31.92
91587,-0.02,-0.53,1.06,-13.37,-26.69,8.02,31.92
91597,0.04,-0.55,1.03,-15.82,-34.69,5.01,31.82
91607,0.08,-0.56,1.04,-18.78,-39.02,3.69,31.87
91617,0.12,-0.57,1.02,-15.47,-41.36,4.29,31.87
91627,0.16,-0.56,1.00,-8.52,-36.82,8.21,31.87
91637,0.17,-0.56,0.99,1.01,-28.93,13.85,31.87
91647,0.17,-0.55,0.97,10.27,-18.52,20.66,31.87
91657,0.13,-0.52,0.90,14.41,-16.82,24.70,31.87
91667,0.10,-0.48,0.91,13.57,-22.55,26.72,31.87
91677,0.14,-0.47,0.86,7.97,-29.24,26.60,31.87
91687,0.20,-0.45,0.82,0.96,-27.77,23.01,31.92
91697,0.21,-0.43,0.83,-2.09,-32.81,19.91,31.82
91707,0.23,-0.42,0.82,-4.79,-30.69,17.01,31.82
91717,0.22,-0.42,0.82,-7.08,-26.64,15.88,31.82
91727,0.20,-0.39,0.82,-9.56,-24.82,15.62,31.82
91737,0.19,-0.37,0.82,-10.43,-26.95,20.02,31.87
91747,0.20,-0.35,0.78,-12.99,-20.18,25.51,31.82
91757,0.22,-0.36,0.79,-16.75,-13.57,30.29,31.87
91767,0.22,-0.38,0.81,-20.73,-7.48,31.53,31.87
91777,0.24,-0.41,0.84,-25.31,-4.27,29.08,31.87
91787,0.23,-0.45,0.88,-31.02,-7.05,23.05,31.87
91797,0.21,-0.45,0.92,-34.06,-11.25,17.08,31.87
91807,0.18,-0.46,0.98,-33.53,-19.22,13.13,31.97
91817,0.18,-0.49,0.98,-30.27,-22.29,11.57,31.92
91827,0.13,-0.49,0.98,-28.00,-27.11,14.08,31.82
91837,0.14,-0.48,0.95,-22.84,-23.19,20.89,31.82
91847,0.15,-0.45,0.91,-19.88,-21.69,28.61,31.92
91857,0.17,-0.47,0.91,-18.52,-14.73,35.65,31.82
91867,0.19,-0.48,0.90,-18.95,-10.87,39.05,31.97
91877,0.20,-0.52,0.92,-19.59,-5.88,41.21,31.92
91887,0.19,-0.56,0.96,-18.58,-7.88,40.55,31.78
91897,0.18,-0.58,1.00,-16.09,-19.01,36.99,31.97
91907,0.18,-0.60,1.00,-14.03,-34.40,29.02,31.87
91917,0.19,-0.61,0.99,-11.56,-52.50,19.89,31.87
91927,0.22,-0.57,0.92,-10.20,-61.53,14.63,31.87
