Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
36317,-0.03,0.16,0.87,-4.24,-0.24,-0.50,29.38
36327,-0.04,0.15,0.88,-5.07,0.47,0.15,29.38
36337,-0.04,0.15,0.89,-5.29,1.26,0.92,29.42
36347,-0.03,0.14,0.91,-5.67,0.21,0.98,29.42
36357,-0.02,0.14,0.91,-5.53,-1.56,0.41,29.38
36367,-0.03,0.15,0.91,-4.95,-2.69,0.48,29.47
36377,-0.03,0.15,0.91,-4.36,-3.17,0.95,29.52
36387,-0.04,0.15,0.92,-3.67,-4.48,1.40,29.42
36397,-0.04,0.15,0.93,-2.88,-4.36,1.79,29.38
36407,-0.04,0.15,0.93,-2.63,-4.94,2.70,29.47
36417,-0.04,0.16,0.94,-2.20,-5.78,3.53,29.42
36427,-0.04,0.15,0.95,-0.95,-7.55,4.22,29.42
36437,-0.04,0.14,0.97,0.63,-10.33,5.15,29.38
36447,-0.02,0.15,0.95,1.53,-12.12,5.53,29.47
36457,-0.01,0.15,0.94,1.54,-13.52,5.76,29.42
36467,0.00,0.15,0.96,2.11,-16.05,5.29,29.42
36477,0.00,0.16,0.98,2.27,-25.63,2.11,29.47
36487,-0.00,0.16,0.88,-1.02,-32.35,3.50,29.47
36497,0.04,0.15,0.89,-0.17,-20.20,6.72,29.47
36507,0.05,0.15,0.88,0.43,-2.70,8.03,29.42
36517,0.03,0.15,0.88,-3.01,1.37,9.73,29.42
36527,0.05,0.13,0.85,-10.21,7.50,11.39,29.47
36537,0.04,0.12,0.87,-13.19,10.68,12.57,29.38
36547,0.04,0.14,0.79,-17.21,14.88,13.71,29.42
36557,0.00,0.17,0.69,-30.85,18.89,15.17,29.52
36567,0.05,0.19,0.61,-49.04,11.89,11.85,29.47
36577,-0.04,0.17,0.55,-66.50,1.12,12.90,29.38
36587,-0.03,0.17,0.59,-77.98,-7.71,12.02,29.52
36597,-0.03,0.20,0.51,-85.21,-6.11,12.24,29.42
36607,-0.02,0.21,0.41,-92.69,9.10,10.87,29.47
36617,-0.20,0.28,0.30,-93.31,16.26,15.92,29.47
36627,-0.22,0.29,0.13,-93.75,34.05,28.67,29.52
36637,-0.16,0.17,0.00,-102.75,53.89,39.71,29.42
36647,0.02,-0.07,-0.08,-96.31,79.21,28.45,29.38
36657,0.09,-0.03,-0.18,-132.03,100.80,27.18,29.38
36667,0.07,-0.08,-0.12,-140.92,100.22,17.07,29.38
36677,0.05,-0.13,-0.23,-152.08,89.99,7.87,29.42
36687,0.03,-0.11,-0.33,-162.53,80.72,2.88,29.42
36697,-0.04,-0.25,-0.38,-181.32,78.37,2.35,29.47
36707,-0.04,-0.36,-0.26,-197.70,74.41,-1.20,29.38
36717,-0.13,-0.48,-0.07,-207.05,58.33,-2.91,29.42
36727,-0.13,-0.59,0.02,-213.43,44.98,-0.92,29.42
36737,-0.07,-0.75,0.13,-214.42,43.14,-0.81,29.38
36747,-0.03,-0.88,0.24,-210.87,48.18,-6.47,29.38
36757,-0.08,-0.93,0.33,-208.65,53.24,-8.60,29.52
36767,-0.10,-1.00,0.44,-204.29,47.84,-9.54,29.42
36777,-0.05,-1.06,0.49,-199.31,42.73,-12.90,29.47
36787,-0.00,-1.15,0.58,-189.92,42.69,-18.80,29.38
36797,0.04,-1.22,0.70,-164.39,50.84,-25.31,29.42
36807,0.03,-1.24,0.72,-144.13,69.74,-29.34,29.42
36817,0.02,-1.27,0.74,-127.46,82.12,-36.26,29.38
36827,-0.06,-1.26,0.81,-117.57,72.01,-47.67,29.47
36837,-0.16,-1.22,0.81,-119.03,49.42,-55.59,29.42
36847,-0.22,-1.18,0.72,-119.82,23.73,-61.65,29.52
36857,-0.33,-1.13,0.74,-116.41,7.18,-58.87,29.47
36867,-0.37,-1.13,0.90,-99.01,-20.94,-50.48,29.38
36877,-0.30,-1.09,0.81,-84.90,-41.21,-43.44,29.52
36887,-0.28,-1.05,0.64,-80.38,-41.73,-35.27,29.42
36897,-0.27,-1.01,0.53,-77.94,-43.54,-27.79,29.38
36907,-0.26,-0.94,0.37,-82.71,-43.02,-18.53,29.38
36917,-0.20,-0.96,0.28,-100.37,-45.31,-8.80,29.42
36927,-0.11,-0.99,0.27,-122.47,-49.46,-7.55,29.42
36937,-0.08,-1.02,0.34,-144.06,-58.85,-8.08,29.47
