Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
42567,0.06,0.10,1.00,-11.05,-4.60,15.89,30.51
42577,0.10,0.14,1.09,-16.61,0.82,20.41,30.60
42587,0.15,0.14,1.19,-20.34,13.27,26.58,30.51
42597,0.16,0.13,1.33,-20.89,26.50,31.57,30.51
42607,0.15,0.05,1.50,-17.04,35.25,32.34,30.65
42617,0.10,-0.01,1.59,-8.56,31.50,28.06,30.46
42627,0.09,-0.04,1.60,4.06,15.45,20.61,30.65
42637,0.07,-0.02,1.49,16.99,-4.08,14.26,30.46
42647,0.06,0.02,1.41,27.88,-22.90,10.20,30.46
42657,0.08,0.07,1.28,34.12,-37.76,7.94,30.55
42667,0.12,0.10,1.13,37.05,-49.47,8.06,30.60
42677,0.17,0.12,0.99,37.51,-53.54,8.38,30.51
42687,0.24,0.11,0.84,37.66,-52.05,9.37,30.60
42697,0.31,0.11,0.70,36.47,-44.35,8.90,30.51
42707,0.35,0.14,0.61,30.53,-35.54,5.57,30.60
42717,0.36,0.17,0.51,21.94,-29.30,-0.41,30.60
42727,0.35,0.19,0.46,10.23,-24.41,-7.60,30.60
42737,0.33,0.18,0.44,0.50,-19.48,-13.91,30.55
42747,0.28,0.16,0.44,-6.93,-17.47,-17.11,30.55
42757,0.22,0.14,0.45,-11.02,-14.41,-18.50,30.46
42767,0.18,0.17,0.43,-13.85,-9.97,-18.43,30.55
42777,0.14,0.19,0.40,-18.79,-4.70,-17.10,30.65
42787,0.11,0.22,0.37,-26.61,1.71,-14.27,30.55
42797,0.09,0.25,0.38,-35.30,9.11,-13.08,30.65
42807,0.05,0.24,0.35,-44.11,16.89,-11.79,30.60
42817,0.02,0.27,0.35,-55.60,27.19,-9.77,30.60
42827,-0.01,0.29,0.35,-66.76,38.75,-6.63,30.51
42837,-0.03,0.29,0.38,-75.59,49.05,-3.30,30.51
42847,-0.03,0.28,0.39,-83.08,59.05,0.53,30.60
42857,-0.07,0.28,0.41,-89.01,61.10,8.56,30.51
42867,-0.08,0.23,0.46,-95.98,61.62,15.86,30.46
42877,-0.09,0.17,0.54,-100.55,58.66,22.66,30.55
42887,-0.09,0.11,0.60,-103.85,54.34,27.30,30.65
42897,-0.10,0.07,0.67,-106.00,46.47,29.59,30.55
42907,-0.12,0.01,0.74,-106.09,33.62,30.20,30.65
42917,-0.10,-0.06,0.78,-102.14,13.08,29.19,30.55
42927,-0.07,-0.14,0.79,-98.00,-10.90,25.68,30.60
42937,0.00,-0.19,0.77,-93.56,-30.02,21.31,30.60
42947,0.07,-0.20,0.71,-89.36,-43.69,16.17,30.69
42957,0.14,-0.21,0.62,-87.95,-49.02,12.40,30.51
42967,0.18,-0.18,0.54,-89.44,-46.15,11.47,30.60
42977,0.22,-0.17,0.50,-91.92,-34.64,13.21,30.60
42987,0.20,-0.19,0.49,-95.94,-21.83,17.27,30.60
42997,0.20,-0.22,0.47,-101.71,-7.22,20.85,30.55
43007,0.20,-0.28,0.48,-108.27,2.58,22.81,30.55
43017,0.18,-0.33,0.49,-113.88,8.63,23.30,30.55
43027,0.19,-0.38,0.50,-117.57,16.34,22.53,30.55
43037,0.18,-0.43,0.52,-121.47,25.60,23.39,30.55
43047,0.18,-0.47,0.57,-128.53,37.68,22.78,30.55
43057,0.17,-0.50,0.61,-135.05,45.79,22.11,30.60
43067,0.14,-0.54,0.66,-142.78,51.98,19.77,30.60
43077,0.11,-0.60,0.72,-147.98,50.11,17.50,30.51
43087,0.07,-0.67,0.74,-152.32,43.30,15.88,30.51
43097,0.06,-0.70,0.77,-154.31,33.95,15.01,30.55
43107,0.09,-0.73,0.76,-154.35,28.20,14.24,30.51
43117,0.10,-0.77,0.77,-152.72,24.60,10.93,30.55
43127,0.09,-0.77,0.78,-151.13,25.36,8.03,30.46
43137,0.06,-0.84,0.75,-148.70,24.11,7.76,30.55
43147,0.00,-0.90,0.75,-149.47,22.08,10.08,30.55
43157,0.00,-0.92,0.74,-150.38,13.62,12.35,30.55
43167,-0.01,-0.98,0.70,-151.15,-2.47,13.05,30.55
43177,0.01,-1.03,0.68,-152.02,-19.82,12.75,30.60
43187,0.05,-1.03,0.62,-152.55,-31.59,11.68,30.60
43197,0.07,-1.02,0.57,-154.52,-32.96,13.66,30.51
43207,0.11,-1.00,0.49,-159.48,-23.76,19.94,30.60
43217,0.16,-1.06,0.43,-167.08,-4.08,26.18,30.60
43227,0.15,-1.19,0.45,-174.34,15.18,29.68,30.55
43237,0.17,-1.29,0.48,-180.85,32.20,28.69,30.55
43247,0.15,-1.34,0.55,-184.43,41.68,23.50,30.55
43257,0.10,-1.37,0.65,-186.82,37.59,17.08,30.55
43267,0.06,-1.36,0.74,-187.88,32.85,12.09,30.74
43277,-0.02,-1.31,0.79,-184.15,22.44,11.92,30.55
43287,-0.03,-1.27,0.82,-174.87,20.31,17.77,30.55
43297,-0.06,-1.25,0.80,-168.38,26.99,22.96,30.51
43307,-0.13,-1.25,0.80,-168.06,16.84,28.26,30.60
43317,-0.22,-1.24,0.80,-173.04,-9.15,34.98,30.60
43327,-0.11,-1.29,0.71,-176.52,-13.79,35.68,30.51
43337,-0.08,-1.36,0.71,-176.08,-18.64,29.28,30.60
43347,-0.07,-1.38,0.71,-157.69,-45.98,17.97,30.51
43357,-0.01,-1.34,0.57,-130.37,-59.44,7.01,30.65
43367,0.08,-1.29,0.39,-98.96,-55.82,6.79,30.65
43377,0.16,-1.24,0.20,-78.61,-30.32,14.92,30.55
43387,0.17,-1.26,0.05,-77.04,20.93,21.69,30.65
43397,0.09,-1.27,0.05,-88.08,63.40,21.31,30.55
43407,-0.06,-1.30,0.04,-98.99,95.34,21.22,30.55
43417,-0.21,-1.30,0.06,-111.19,107.95,20.05,30.55
43427,-0.36,-1.35,0.08,-116.26,93.45,17.04,30.55
43437,-0.41,-1.37,0.10,-110.90,63.28,13.08,30.60
43447,-0.37,-1.36,0.04,-105.27,23.56,4.29,30.60
43457,-0.31,-1.31,-0.02,-99.97,-21.59,-7.36,30.60
43467,-0.20,-1.21,-0.14,-102.20,-45.59,-21.37,30.51
43477,-0.21,-1.14,-0.24,-118.85,-50.08,-28.72,30.51
43487,-0.30,-1.12,-0.17,-138.40,-39.76,-22.89,30.46
43497,-0.37,-1.13,-0.07,-149.30,-18.35,-6.76,30.55
43507,-0.46,-1.19,0.01,-151.76,-12.66,11.63,30.55
43517,-0.48,-1.28,0.06,-144.24,-13.60,29.77,30.46
43527,-0.41,-1.38,0.03,-129.91,-29.53,42.75,30.55
43537,-0.26,-1.42,-0.03,-114.99,-48.67,46.37,30.55
43547,-0.04,-1.37,-0.13,-102.34,-56.89,40.09,30.55
43557,0.00,-1.39,-0.18,-111.91,-49.91,23.01,30.51
43567,-0.03,-1.37,-0.12,-130.46,-41.47,9.60,30.51
43577,-0.11,-1.31,-0.04,-136.85,-38.24,3.36,30.60
43587,-0.21,-1.30,-0.03,-135.73,-33.76,4.41,30.60
43597,-0.28,-1.30,-0.02,-128.35,-34.66,10.29,30.51
43607,-0.33,-1.29,-0.04,-117.65,-43.02,21.60,30.60
43617,-0.28,-1.24,-0.09,-107.80,-46.38,36.21,30.55
43627,-0.18,-1.23,-0.20,-104.09,-43.57,47.63,30.55
43637,-0.06,-1.24,-0.28,-108.06,-34.02,51.30,30.55
43647,0.02,-1.29,-0.31,-112.93,-27.77,46.96,30.55
43657,0.04,-1.33,-0.31,-116.46,-26.24,35.97,30.46
