Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
141677,0.27,-0.08,0.47,-10.63,-5.98,-0.60,30.69
141687,0.26,-0.09,0.52,-21.88,9.50,0.29,30.69
141697,0.22,-0.15,0.64,-30.38,20.44,0.73,30.60
141707,0.16,-0.21,0.77,-32.52,24.26,-1.31,30.69
141717,0.10,-0.25,0.88,-31.27,21.77,-2.32,30.69
141727,0.06,-0.25,0.95,-27.45,15.37,-1.53,30.79
141737,0.04,-0.22,0.96,-22.92,7.40,1.85,30.60
141747,0.04,-0.20,0.92,-21.05,1.88,5.80,30.65
141757,0.07,-0.20,0.88,-22.90,-1.10,8.85,30.65
141767,0.11,-0.20,0.84,-25.31,-3.57,10.08,30.74
141777,0.14,-0.20,0.82,-27.05,-3.89,10.15,30.74
141787,0.16,-0.20,0.78,-29.56,-4.17,9.51,30.74
141797,0.16,-0.19,0.74,-32.87,-3.10,9.24,30.55
141807,0.16,-0.17,0.72,-36.44,0.55,9.01,30.69
141817,0.18,-0.18,0.69,-40.05,6.29,9.86,30.69
141827,0.17,-0.18,0.68,-44.52,11.65,10.61,30.69
141837,0.15,-0.19,0.69,-48.50,13.95,10.43,30.69
141847,0.11,-0.20,0.71,-52.92,13.54,10.82,30.69
141857,0.09,-0.21,0.72,-55.44,11.18,12.27,30.69
141867,0.06,-0.23,0.72,-56.98,8.44,13.88,30.60
141877,0.07,-0.27,0.71,-57.54,3.73,15.25,30.74
141887,0.07,-0.28,0.68,-60.05,0.64,15.80,30.74
141897,0.08,-0.29,0.64,-63.22,-2.60,16.34,30.65
141907,0.08,-0.31,0.61,-67.45,-4.47,16.53,30.65
141917,0.08,-0.33,0.60,-72.49,-1.88,18.08,30.65
141927,0.07,-0.35,0.59,-76.76,2.31,20.29,30.65
141937,0.07,-0.39,0.62,-79.07,6.29,22.32,30.69
141947,0.05,-0.42,0.64,-80.60,6.26,23.21,30.79
141957,0.02,-0.46,0.65,-82.06,2.87,23.79,30.79
141967,0.01,-0.46,0.64,-82.56,-4.12,24.34,30.69
141977,0.02,-0.49,0.61,-85.27,-11.19,25.04,30.79
141987,0.03,-0.51,0.58,-89.24,-17.51,25.16,30.69
141997,0.04,-0.53,0.54,-94.20,-22.78,25.51,30.74
142007,0.06,-0.56,0.52,-99.66,-25.97,25.22,30.65
142017,0.07,-0.59,0.50,-102.03,-25.69,24.29,30.65
142027,0.09,-0.65,0.52,-102.49,-20.93,23.01,30.65
142037,0.07,-0.68,0.55,-101.22,-17.48,21.79,30.74
142047,0.03,-0.72,0.60,-99.98,-15.82,21.65,30.74
142057,-0.03,-0.76,0.68,-96.05,-18.40,20.43,30.65
142067,-0.09,-0.80,0.76,-89.95,-27.34,20.11,30.69
142077,-0.14,-0.80,0.81,-83.13,-42.02,21.36,30.69
142087,-0.16,-0.76,0.78,-76.00,-64.35,21.91,30.79
142097,-0.14,-0.70,0.66,-72.98,-87.07,23.97,30.79
142107,-0.08,-0.67,0.51,-75.28,-100.11,26.84,30.60
142117,0.04,-0.69,0.33,-79.79,-99.31,33.37,30.69
142127,0.18,-0.71,0.15,-87.89,-76.50,40.29,30.74
142137,0.26,-0.76,0.06,-97.92,-42.35,45.54,30.74
142147,0.27,-0.86,0.09,-108.32,-5.18,47.21,30.65
142157,0.21,-0.89,0.15,-121.53,20.43,48.81,30.74
142167,0.13,-0.95,0.22,-132.63,32.60,49.57,30.74
142177,0.05,-1.04,0.34,-139.45,31.30,51.22,30.84
142187,0.00,-1.11,0.39,-142.18,24.69,53.59,30.69
142197,-0.05,-1.15,0.45,-144.21,13.19,56.75,30.69
142207,-0.08,-1.19,0.48,-146.29,-2.27,61.08,30.69
142217,-0.08,-1.23,0.49,-149.42,-20.11,65.11,30.79
142227,-0.07,-1.27,0.49,-153.89,-35.63,69.25,30.65
142237,-0.05,-1.31,0.48,-157.07,-52.12,72.02,30.69
142247,-0.00,-1.34,0.44,-157.56,-66.58,73.48,30.74
142257,0.04,-1.37,0.39,-158.00,-76.14,73.97,30.65
142267,0.07,-1.38,0.34,-154.93,-82.35,74.21,30.65
142277,0.11,-1.38,0.27,-155.59,-84.32,75.44,30.74
142287,0.13,-1.38,0.22,-157.66,-83.57,77.40,30.74
142297,0.16,-1.40,0.18,-161.28,-77.39,78.90,30.74
142307,0.15,-1.44,0.14,-167.42,-72.40,80.87,30.69
142317,0.14,-1.48,0.13,-173.07,-70.11,81.16,30.69
142327,0.13,-1.51,0.13,-179.94,-74.26,78.96,30.60
142337,0.10,-1.50,0.08,-186.41,-84.87,74.75,30.79
142347,0.09,-1.52,0.02,-192.24,-96.84,68.21,30.60
142357,0.10,-1.50,-0.02,-194.17,-110.29,61.31,30.65
