Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
48977,-0.00,0.10,1.04,-5.59,-8.41,17.28,32.77
48987,0.10,0.08,1.07,-6.96,-5.82,10.95,32.77
48997,0.13,0.08,1.14,-6.70,-10.50,1.21,32.67
49007,0.16,0.09,1.10,-5.08,-23.74,-10.61,32.77
49017,0.09,0.10,1.06,-5.36,-32.84,-18.02,32.77
49027,0.04,0.13,1.02,-3.62,-38.93,-21.36,32.77
49037,0.00,0.16,0.95,-3.33,-28.02,-20.20,32.77
49047,-0.02,0.17,0.96,-2.31,-10.82,-16.08,32.67
49057,-0.05,0.18,0.99,-1.34,2.99,-11.39,32.77
49067,-0.10,0.16,1.03,0.02,13.65,-5.59,32.67
49077,-0.13,0.10,1.07,3.45,14.00,0.61,32.58
49087,-0.12,0.06,1.10,6.27,12.20,8.08,32.67
49097,-0.05,0.04,1.10,8.03,10.47,12.46,32.67
49107,0.02,0.04,1.09,8.95,8.27,12.08,32.67
49117,0.07,0.04,1.08,8.52,7.16,9.59,32.67
49127,0.07,0.07,1.07,8.12,5.97,6.56,32.67
49137,0.04,0.06,1.08,6.73,1.33,3.98,32.77
49147,0.02,0.05,1.08,4.93,0.69,2.32,32.77
49157,-0.06,0.01,1.11,0.76,-1.71,5.21,32.77
49167,-0.11,-0.01,1.18,0.14,-4.47,11.88,32.67
49177,-0.11,-0.03,1.16,2.06,-9.44,18.85,32.77
49187,-0.06,-0.04,1.14,2.60,-8.75,24.63,32.77
49197,-0.01,-0.06,1.15,3.44,-8.08,27.07,32.77
49207,0.03,-0.09,1.11,1.86,-7.47,26.52,32.81
49217,0.04,-0.10,1.13,0.96,-15.28,24.92,32.62
49227,0.04,-0.10,1.11,-0.08,-21.54,25.02,32.72
49237,0.04,-0.09,1.11,0.24,-27.04,26.18,32.72
49247,0.10,-0.09,1.07,0.63,-23.94,26.17,32.81
49257,0.13,-0.10,1.06,-0.63,-18.14,24.08,32.62
49267,0.13,-0.13,1.07,-2.69,-11.62,20.37,32.72
49277,0.10,-0.16,1.08,-3.15,-0.75,17.50,32.81
49287,0.02,-0.19,1.16,0.56,11.47,17.57,32.72
49297,-0.01,-0.19,1.19,9.07,17.42,19.97,32.81
49307,-0.05,-0.17,1.22,18.72,20.17,24.40,32.72
49317,-0.03,-0.15,1.20,25.27,18.96,27.60,32.72
49327,-0.01,-0.13,1.16,29.39,13.45,28.98,32.72
49337,0.00,-0.09,1.11,29.50,1.71,27.69,32.72
49347,0.03,-0.05,1.06,23.76,-6.43,25.05,32.81
49357,0.04,-0.03,1.05,17.15,-12.67,22.50,32.81
49367,0.07,0.01,1.01,9.91,-13.13,18.79,32.62
49377,0.07,0.03,0.98,3.53,-12.70,13.92,32.77
49387,0.05,0.03,0.99,-3.33,-9.98,10.67,32.72
49397,0.05,0.01,1.04,-3.91,-0.15,10.43,32.72
49407,0.11,-0.02,1.09,2.23,18.47,10.52,32.81
49417,0.13,-0.05,1.13,15.92,33.88,8.76,32.67
49427,0.17,-0.06,1.12,27.60,43.56,4.18,32.72
49437,0.18,-0.04,1.05,31.88,46.72,-2.58,32.72
49447,0.14,-0.03,1.03,28.35,36.96,-10.84,32.62
49457,0.09,0.00,0.99,23.59,21.05,-17.27,32.67
49467,-0.02,0.03,0.95,15.10,10.15,-16.90,32.77
49477,-0.12,0.06,0.91,7.01,0.50,-8.34,32.67
49487,-0.15,0.08,0.86,0.93,2.85,6.73,32.86
49497,-0.10,0.06,0.87,-3.30,9.50,20.60,32.77
49507,-0.03,0.03,0.88,-6.50,12.50,28.52,32.77
49517,0.04,-0.00,0.94,-9.92,10.89,31.05,32.77
49527,0.10,-0.04,1.00,-11.59,-3.18,27.60,32.77
49537,0.15,-0.07,1.02,-11.42,-16.32,20.43,32.67
49547,0.17,-0.10,1.01,-11.51,-23.98,12.56,32.77
49557,0.20,-0.10,0.96,-11.31,-23.80,5.73,32.77
49567,0.21,-0.10,0.92,-12.26,-8.73,-0.56,32.77
49577,0.18,-0.10,0.91,-12.98,12.55,-3.66,32.67
49587,0.12,-0.11,0.93,-13.85,36.85,-2.50,32.77
49597,0.05,-0.12,0.98,-13.80,52.98,1.79,32.77
49607,-0.01,-0.13,1.03,-15.16,56.85,6.93,32.77
49617,-0.05,-0.13,1.10,-18.34,49.66,11.30,32.67
49627,-0.04,-0.15,1.13,-20.17,34.18,13.45,32.77
49637,-0.02,-0.15,1.15,-21.39,10.37,10.98,32.67
49647,0.03,-0.16,1.10,-24.90,-7.59,5.05,32.67
49657,0.05,-0.17,1.05,-31.37,-16.37,-1.18,32.77
49667,0.01,-0.17,1.04,-38.47,-21.05,-3.92,32.67
49677,-0.02,-0.16,1.03,-44.53,-18.73,-3.01,32.77
49687,-0.09,-0.16,1.05,-50.02,-16.06,2.38,32.86
49697,-0.12,-0.18,1.10,-52.24,-16.05,10.60,32.77
49707,-0.08,-0.20,1.12,-52.03,-19.04,16.52,32.77
49717,-0.05,-0.21,1.11,-55.42,-23.53,20.50,32.72
49727,-0.04,-0.23,1.17,-56.73,-32.87,20.98,32.62
49737,-0.03,-0.24,1.22,-53.27,-47.08,20.09,32.72
49747,-0.03,-0.25,1.24,-49.68,-55.47,19.98,32.72
49757,-0.05,-0.25,1.27,-43.24,-64.56,21.04,32.72
49767,-0.05,-0.25,1.24,-36.31,-65.02,23.48,32.62
49777,-0.01,-0.26,1.18,-27.51,-42.87,28.55,32.72
49787,0.04,-0.25,1.07,-18.00,2.08,35.79,32.72
49797,0.04,-0.24,1.08,-12.32,44.55,41.11,32.72
49807,0.03,-0.24,1.09,-8.90,67.51,42.00,32.81
49817,-0.03,-0.23,1.15,-10.87,70.46,39.80,32.72
49827,-0.09,-0.24,1.23,-12.35,48.02,37.11,32.72
49837,-0.11,-0.23,1.25,-13.44,21.48,35.65,32.62
49847,-0.13,-0.24,1.22,-14.81,-6.29,36.12,32.72
49857,-0.06,-0.25,1.17,-15.05,-22.67,36.08,32.81
49867,-0.01,-0.27,1.12,-14.92,-26.55,35.92,32.72
49877,0.06,-0.26,1.10,-12.17,-13.98,35.76,32.72
49887,0.10,-0.27,1.14,-3.50,2.93,34.85,32.72
49897,0.16,-0.30,1.08,2.78,20.58,31.57,32.81
49907,0.16,-0.29,1.11,3.74,28.58,23.77,32.72
49917,0.10,-0.28,1.16,3.18,14.41,14.23,32.72
49927,0.04,-0.25,1.14,1.40,-8.53,4.73,32.81
49937,-0.03,-0.22,1.14,-0.81,-25.15,-1.63,32.72
49947,-0.10,-0.20,1.09,-0.98,-30.81,-0.56,32.77
49957,-0.13,-0.18,1.05,1.80,-29.82,5.44,32.81
49967,-0.09,-0.18,0.98,3.22,-19.25,11.69,32.72
49977,-0.06,-0.17,0.94,5.51,-10.35,16.55,32.72
49987,-0.03,-0.17,0.92,4.98,-0.49,19.98,32.77
49997,-0.01,-0.17,0.90,0.49,3.95,23.50,32.72
50007,0.04,-0.20,0.95,-3.83,7.79,26.24,32.72
50017,0.12,-0.23,1.00,-8.09,5.76,23.31,32.81
50027,0.17,-0.24,1.03,-10.44,1.53,16.92,32.77
50037,0.17,-0.25,1.06,-11.39,-4.26,8.21,32.72
50047,0.12,-0.22,1.10,-10.72,-15.01,1.13,32.72
50057,0.08,-0.21,1.09,-8.63,-15.15,-0.93,32.67
50067,0.07,-0.20,1.06,-3.25,-6.70,-0.29,32.67
50077,0.07,-0.20,1.03,-0.56,15.08,2.15,32.77
50087,0.06,-0.22,1.07,1.71,25.18,2.47,32.77
50097,0.04,-0.21,1.08,4.37,22.61,-0.09,32.67
50107,0.01,-0.19,1.04,6.32,9.01,-2.27,32.67
50117,0.03,-0.16,0.94,4.34,0.23,-3.76,32.77
50127,0.03,-0.16,0.92,-1.74,0.44,-3.36,32.77
50137,0.03,-0.16,0.93,-7.98,3.24,-2.24,32.67
50147,0.03,-0.17,0.97,-11.18,12.81,0.12,32.67
50157,0.04,-0.18,1.02,-10.37,22.29,1.10,32.77
50167,0.03,-0.18,1.03,-8.11,26.44,0.67,32.77
50177,-0.01,-0.16,1.08,-6.55,18.85,-0.17,32.67
50187,-0.03,-0.15,1.08,-6.63,6.85,0.58,32.77
50197,-0.00,-0.15,1.06,-5.59,-1.74,1.45,32.67
50207,0.03,-0.16,1.02,-6.56,-3.45,2.35,32.77
50217,0.05,-0.18,1.05,-6.43,-3.76,1.42,32.77
50227,0.05,-0.14,1.06,-5.69,-9.98,-2.00,32.67
50237,0.03,-0.11,1.01,-5.31,-19.47,-5.39,32.77
50247,-0.03,-0.09,0.96,-5.76,-30.14,-7.05,32.77
50257,-0.03,-0.07,0.85,-8.93,-29.24,-2.96,32.67
50267,-0.00,-0.09,0.77,-16.40,-13.30,5.48,32.77
50277,0.04,-0.13,0.84,-26.60,7.25,13.28,32.67
50287,0.09,-0.20,1.01,-32.76,20.34,15.89,32.67
50297,0.10,-0.25,1.16,-37.54,21.56,15.33,32.67
50307,0.11,-0.29,1.32,-33.24,4.43,10.63,32.77
50317,0.15,-0.31,1.37,-22.72,-6.46,4.46,32.77
50327,0.15,-0.31,1.36,-11.71,-9.80,-0.73,32.67
50337,0.17,-0.31,1.31,-1.07,-8.53,-3.85,32.77
50347,0.18,-0.28,1.20,6.72,1.05,-6.12,32.77
50357,0.18,-0.28,1.11,9.86,9.19,-8.95,32.77
50367,0.17,-0.27,1.06,9.34,9.21,-13.69,32.67
50377,0.12,-0.23,1.02,6.34,3.83,-19.65,32.77
50387,0.04,-0.19,1.01,3.89,-6.81,-26.58,32.77
