Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
37327,0.14,-0.08,1.01,31.18,-75.21,-48.04,31.35
37337,0.23,0.05,0.88,32.17,-73.62,-46.75,31.35
37347,0.34,0.07,0.77,36.73,-51.08,-37.77,31.35
37357,0.37,0.12,0.69,29.24,-20.05,-26.27,31.31
37367,0.32,0.05,0.81,19.49,8.48,-18.06,31.31
37377,0.27,-0.04,0.97,10.84,23.45,-18.06,31.21
37387,0.15,-0.10,1.14,8.23,15.39,-25.02,31.31
37397,0.08,-0.15,1.28,12.08,-5.21,-34.46,31.31
37407,0.09,-0.16,1.31,18.27,-24.44,-41.43,31.31
37417,0.13,-0.12,1.34,24.33,-37.66,-45.37,31.35
37427,0.21,-0.09,1.23,24.96,-30.34,-43.47,31.45
37437,0.29,-0.06,1.20,24.85,-21.31,-42.05,31.35
37447,0.34,-0.04,1.17,22.40,-4.15,-40.60,31.35
37457,0.35,-0.02,1.15,17.69,9.80,-41.29,31.35
37467,0.33,0.00,1.15,12.52,21.84,-39.10,31.35
37477,0.29,-0.01,1.16,6.90,26.37,-39.05,31.40
37487,0.25,-0.01,1.17,3.56,27.44,-41.32,31.31
37497,0.21,0.02,1.13,2.21,24.45,-41.91,31.40
37507,0.19,0.00,1.11,1.56,22.33,-37.19,31.40
37517,0.22,0.05,1.03,-0.49,21.76,-32.21,31.31
37527,0.26,-0.01,1.02,-5.55,28.54,-25.15,31.40
37537,0.27,-0.05,1.01,-9.56,28.21,-26.11,31.35
37547,0.30,-0.08,0.97,-12.89,29.79,-28.02,31.26
37557,0.29,-0.12,1.01,-17.11,25.96,-34.95,31.35
37567,0.29,-0.16,1.03,-20.47,24.43,-47.12,31.35
37577,0.24,-0.15,1.02,-19.08,19.40,-57.40,31.31
37587,0.18,-0.12,0.98,-13.49,17.55,-59.50,31.26
37597,0.17,-0.09,0.93,-9.27,18.34,-54.17,31.31
37607,0.17,-0.07,0.87,-11.15,22.99,-44.61,31.40
37617,0.17,-0.09,0.88,-18.35,24.41,-40.40,31.31
37627,0.16,-0.14,0.91,-25.66,15.98,-46.91,31.31
37637,0.06,-0.17,0.98,-32.52,-10.73,-65.56,31.31
37647,-0.02,-0.16,1.00,-39.24,-51.87,-91.53,31.31
37657,-0.11,-0.08,0.95,-49.20,-96.28,-113.45,31.26
37667,-0.16,-0.08,0.87,-55.44,-134.48,-127.66,31.35
37677,-0.18,0.02,0.73,-62.09,-153.47,-115.04,31.26
37687,-0.01,0.04,0.56,-55.60,-135.82,-69.66,31.35
37697,0.32,-0.05,0.38,-54.28,-68.44,-5.87,31.35
37707,0.57,-0.26,0.49,-48.62,10.94,51.11,31.40
37717,0.87,-0.56,0.66,-25.80,87.83,80.83,31.40
37727,0.90,-0.82,0.90,-19.24,125.63,73.80,31.40
37737,0.82,-0.94,1.25,-19.17,119.62,33.83,31.31
37747,0.59,-0.94,1.55,-20.13,71.12,-18.14,31.40
37757,0.31,-0.78,1.61,-7.24,-10.19,-69.54,31.31
37767,0.17,-0.53,1.39,-11.38,-55.46,-97.67,31.40
37777,-0.01,-0.30,1.17,-12.81,-88.86,-102.29,31.35
37787,-0.03,-0.05,0.86,-3.28,-71.27,-66.24,31.35
37797,0.02,0.14,0.64,7.95,-13.64,3.53,31.35
37807,0.17,-0.00,0.55,-1.11,57.15,78.94,31.45
37817,0.28,-0.36,0.82,-5.53,81.34,114.98,31.35
37827,0.42,-0.61,1.08,-18.33,83.74,110.98,31.40
37837,0.50,-0.85,1.32,-29.77,50.43,66.05,31.40
37847,0.49,-0.97,1.50,-33.57,-9.08,8.39,31.31
37857,0.42,-0.84,1.50,-25.19,-57.39,-40.60,31.31
37867,0.29,-0.67,1.35,-2.62,-80.78,-64.31,31.40
37877,0.17,-0.39,0.99,7.39,-59.44,-54.56,31.40
37887,0.07,-0.26,0.82,15.68,-21.63,-26.77,31.35
37897,0.03,-0.14,0.66,19.82,21.21,6.71,31.26
37907,0.01,-0.10,0.59,8.21,53.24,43.67,31.35
37917,0.03,-0.21,0.64,-10.69,66.52,62.69,31.35
37927,0.07,-0.38,0.79,-35.31,49.73,58.10,31.31
37937,0.17,-0.53,0.92,-51.86,10.31,36.53,31.26
37947,0.21,-0.64,0.99,-57.69,-33.82,8.73,31.40
37957,0.18,-0.67,1.04,-52.24,-71.05,-13.07,31.40
37967,0.16,-0.68,1.03,-38.21,-89.92,-20.49,31.21
37977,0.18,-0.67,0.93,-22.43,-81.50,-9.90,31.31
37987,0.24,-0.61,0.75,-6.17,-40.46,15.81,31.31
37997,0.31,-0.56,0.60,5.89,24.30,50.58,31.31
