Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
51417,0.12,-0.97,0.15,1.95,-7.56,3.91,32.06
51427,0.12,-0.95,0.16,0.64,-8.14,-0.06,32.06
51437,0.12,-0.92,0.17,0.53,-6.95,-3.05,32.06
51447,0.13,-0.89,0.17,0.18,-5.30,-5.97,32.06
51457,0.13,-0.87,0.17,-0.03,-3.94,-7.97,32.11
51467,0.12,-0.82,0.17,-0.14,-2.11,-9.60,32.15
51477,0.11,-0.78,0.16,-0.56,-0.64,-11.53,32.11
51487,0.09,-0.75,0.17,-1.27,0.23,-13.04,32.11
51497,0.05,-0.71,0.16,-2.26,0.58,-12.98,32.11
51507,0.04,-0.67,0.13,-4.08,2.43,-11.60,32.11
51517,0.02,-0.65,0.11,-6.34,4.85,-9.82,32.11
51527,0.01,-0.62,0.12,-8.03,6.66,-7.42,32.01
51537,0.02,-0.60,0.11,-9.53,7.01,-5.69,32.11
51547,0.03,-0.55,0.08,-10.38,7.50,-4.40,32.11
51557,0.04,-0.50,0.05,-13.05,7.53,-3.19,32.11
51567,0.04,-0.48,0.02,-16.20,7.91,-3.24,32.20
51577,0.03,-0.48,0.02,-20.09,4.89,-4.40,32.15
51587,0.03,-0.49,0.04,-24.55,0.78,-7.88,32.06
51597,0.02,-0.47,0.04,-28.41,-3.28,-11.51,32.06
51607,0.03,-0.46,0.02,-30.61,-5.16,-14.84,32.15
51617,0.03,-0.46,-0.02,-33.82,-1.88,-16.50,32.15
51627,0.02,-0.45,-0.02,-37.10,-2.15,-15.83,32.06
51637,0.01,-0.45,-0.07,-41.10,0.70,-12.85,32.06
51647,-0.02,-0.46,-0.12,-47.27,-0.78,-9.56,32.15
51657,-0.00,-0.50,-0.11,-54.58,-1.34,-3.77,32.15
51667,0.01,-0.54,-0.17,-66.63,-2.29,1.40,32.01
51677,0.04,-0.56,-0.24,-82.73,-0.24,6.64,32.06
51687,0.06,-0.60,-0.26,-100.05,4.75,10.44,32.11
51697,0.05,-0.66,-0.28,-113.91,11.25,12.75,32.11
51707,0.05,-0.67,-0.25,-132.21,7.27,15.94,32.11
51717,0.03,-0.70,-0.19,-142.58,-0.95,19.28,32.01
51727,0.03,-0.72,-0.15,-144.66,-8.53,18.99,32.11
51737,0.04,-0.75,-0.12,-139.63,-12.78,17.37,32.11
51747,0.06,-0.79,-0.09,-130.52,-13.60,14.02,32.11
51757,0.07,-0.83,-0.08,-117.02,-16.29,12.41,32.11
51767,0.06,-0.88,-0.08,-101.25,-15.36,12.95,32.11
51777,0.03,-0.94,-0.09,-88.52,-14.82,14.49,32.01
51787,0.04,-1.00,-0.10,-77.40,-12.37,15.42,32.11
51797,0.04,-1.05,-0.11,-68.21,-10.05,12.18,32.11
51807,0.05,-1.09,-0.09,-59.37,-12.24,6.63,32.15
51817,0.06,-1.11,-0.07,-50.76,-17.56,-1.21,31.97
51827,0.07,-1.12,-0.09,-42.38,-24.03,-9.04,32.15
51837,0.09,-1.12,-0.13,-37.40,-26.61,-15.27,32.06
51847,0.08,-1.12,-0.14,-36.56,-27.77,-19.11,32.06
51857,0.08,-1.13,-0.18,-38.09,-28.52,-21.62,32.06
51867,0.11,-1.12,-0.18,-40.47,-29.01,-24.11,32.15
51877,0.12,-1.12,-0.15,-36.63,-29.62,-25.24,32.11
51887,0.11,-1.15,-0.14,-27.33,-28.18,-25.50,32.06
51897,0.10,-1.17,-0.12,-16.98,-26.38,-24.23,32.06
51907,0.09,-1.20,-0.14,-8.56,-26.17,-21.02,32.06
51917,0.06,-1.19,-0.16,-0.67,-23.91,-13.33,32.01
51927,0.07,-1.14,-0.25,2.98,-17.88,-0.90,32.11
51937,0.09,-1.07,-0.33,2.03,-5.01,14.32,32.01
