Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
66507,-0.09,-0.99,-0.00,-7.78,9.14,1.91,31.68
66517,-0.08,-0.97,-0.03,-9.14,12.46,6.07,31.59
66527,-0.07,-0.96,-0.04,-11.76,15.71,10.34,31.59
66537,-0.07,-0.99,-0.02,-14.08,17.24,12.84,31.54
66547,-0.06,-1.00,0.00,-15.00,17.45,13.00,31.73
66557,-0.06,-1.04,0.01,-14.63,16.51,11.46,31.54
66567,-0.06,-1.07,0.04,-13.47,15.29,8.60,31.64
66577,-0.04,-1.09,0.06,-10.36,15.02,3.95,31.54
66587,-0.04,-1.09,0.08,-7.63,15.43,-1.36,31.68
66597,-0.04,-1.10,0.09,-4.56,15.29,-7.51,31.59
66607,-0.06,-1.07,0.10,-1.20,14.67,-13.37,31.59
66617,-0.07,-1.04,0.09,3.19,16.21,-17.21,31.59
66627,-0.09,-1.00,0.06,6.58,17.96,-17.99,31.59
66637,-0.13,-0.95,0.05,7.04,19.08,-17.04,31.68
66647,-0.16,-0.91,0.03,6.30,18.56,-14.15,31.59
66657,-0.17,-0.87,0.00,3.12,17.35,-9.76,31.64
66667,-0.17,-0.85,0.00,-0.54,16.57,-5.37,31.64
66677,-0.15,-0.83,0.01,-4.01,16.09,-1.98,31.64
66687,-0.14,-0.83,0.01,-6.38,16.21,0.55,31.64
66697,-0.12,-0.84,0.01,-7.35,16.76,2.95,31.73
66707,-0.12,-0.84,0.02,-7.76,17.83,4.16,31.64
66717,-0.10,-0.86,0.02,-9.19,17.69,3.84,31.59
66727,-0.10,-0.88,0.02,-11.19,17.37,1.98,31.59
66737,-0.10,-0.89,0.03,-13.61,15.61,-1.31,31.59
66747,-0.11,-0.89,0.03,-16.50,12.55,-6.24,31.68
66757,-0.12,-0.88,0.08,-18.06,8.52,-11.23,31.68
66767,-0.14,-0.87,0.09,-17.02,5.07,-14.34,31.59
66777,-0.14,-0.84,0.07,-14.66,5.66,-13.48,31.59
66787,-0.15,-0.81,0.05,-12.24,8.66,-9.38,31.64
66797,-0.16,-0.78,0.04,-12.14,11.86,-4.32,31.64
66807,-0.14,-0.76,0.02,-12.99,14.00,0.95,31.73
66817,-0.16,-0.76,0.00,-17.04,13.37,5.44,31.64
66827,-0.14,-0.76,0.00,-20.56,12.93,8.03,31.54
66837,-0.13,-0.77,0.01,-22.78,12.10,9.84,31.64
66847,-0.11,-0.78,0.00,-24.60,13.21,10.93,31.59
66857,-0.11,-0.81,0.02,-26.29,11.76,10.12,31.68
66867,-0.11,-0.82,0.02,-27.87,8.89,6.94,31.49
66877,-0.07,-0.84,0.03,-29.75,10.22,4.14,31.68
66887,-0.08,-0.84,0.03,-31.50,7.51,0.04,31.68
66897,-0.08,-0.85,0.00,-32.73,7.95,-3.92,31.59
66907,-0.08,-0.84,-0.02,-33.52,5.95,-7.44,31.59
66917,-0.07,-0.83,-0.04,-34.28,4.10,-9.39,31.73
66927,-0.07,-0.80,-0.06,-36.31,3.50,-9.26,31.64
66937,-0.07,-0.80,-0.06,-37.02,5.33,-7.53,31.54
66947,-0.07,-0.81,-0.05,-37.70,7.70,-4.60,31.64
66957,-0.06,-0.82,-0.07,-37.80,9.50,-2.37,31.64
66967,-0.05,-0.82,-0.09,-37.48,11.11,-1.17,31.64
66977,-0.04,-0.84,-0.10,-38.79,12.23,-1.10,31.68
66987,-0.04,-0.85,-0.10,-41.50,12.60,-2.01,31.68
66997,-0.04,-0.85,-0.10,-43.95,11.51,-3.66,31.68
67007,-0.05,-0.84,-0.11,-45.29,10.79,-4.80,31.59
67017,-0.06,-0.85,-0.11,-45.23,10.20,-3.53,31.68
67027,-0.06,-0.85,-0.13,-44.12,11.53,-0.34,31.59
67037,-0.06,-0.84,-0.14,-43.47,14.06,3.33,31.68
67047,-0.06,-0.85,-0.14,-47.00,13.72,4.73,31.68
67057,-0.04,-0.85,-0.15,-49.50,14.31,3.67,31.64
67067,-0.05,-0.86,-0.15,-51.05,13.37,0.61,31.73
67077,-0.04,-0.88,-0.16,-52.08,13.75,-2.13,31.64
67087,-0.05,-0.92,-0.15,-49.60,12.88,-5.56,31.64
