Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
41307,-0.75,-0.31,0.91,-1.53,1.92,101.66,31.07
41317,-0.72,-0.34,0.92,-2.93,-2.41,105.62,31.02
41327,-0.69,-0.37,0.90,-6.60,-5.42,108.69,31.02
41337,-0.68,-0.38,0.91,-10.85,-7.10,111.07,31.12
41347,-0.67,-0.42,0.92,-11.22,-13.51,113.28,31.12
41357,-0.66,-0.45,0.89,-12.31,-16.99,118.00,31.02
41367,-0.64,-0.47,0.87,-11.15,-17.27,122.18,31.12
41377,-0.64,-0.51,0.84,-8.66,-17.28,128.72,31.07
41387,-0.63,-0.54,0.81,-7.69,-17.36,136.27,31.07
41397,-0.59,-0.53,0.78,-7.27,-18.60,143.37,31.07
41407,-0.54,-0.52,0.75,-7.44,-19.30,150.98,31.07
41417,-0.46,-0.48,0.72,-10.14,-16.93,154.17,31.07
41427,-0.40,-0.49,0.70,-13.28,-15.77,153.13,31.02
41437,-0.37,-0.51,0.70,-20.23,-12.89,150.90,31.07
41447,-0.37,-0.52,0.72,-26.78,-11.66,149.27,31.12
41457,-0.40,-0.55,0.78,-35.04,-11.97,148.23,31.02
41467,-0.43,-0.57,0.83,-39.33,-12.26,150.64,31.12
41477,-0.44,-0.58,0.88,-38.79,-8.40,156.87,31.02
41487,-0.43,-0.61,0.93,-36.29,-5.30,163.05,31.12
41497,-0.40,-0.64,0.95,-32.76,-5.05,168.32,31.07
41507,-0.38,-0.67,1.00,-32.46,-4.99,168.69,31.07
41517,-0.41,-0.68,1.04,-30.61,-13.01,169.66,31.17
41527,-0.43,-0.65,0.99,-28.08,-18.53,173.82,31.07
41537,-0.41,-0.64,0.93,-25.98,-18.11,182.75,30.88
41547,-0.38,-0.65,0.92,-30.14,-14.12,191.83,31.07
41557,-0.35,-0.68,0.98,-33.95,-12.49,200.15,31.02
41567,-0.33,-0.73,1.04,-36.55,-18.44,203.07,31.02
41577,-0.31,-0.75,1.05,-39.73,-25.28,203.56,31.02
41587,-0.31,-0.77,1.07,-37.30,-36.73,207.92,31.12
41597,-0.25,-0.77,1.06,-32.43,-46.44,213.24,31.02
41607,-0.16,-0.77,1.00,-27.66,-48.56,218.31,31.12
41617,-0.05,-0.80,0.98,-27.91,-45.33,218.75,31.07
41627,-0.01,-0.82,0.99,-30.08,-45.68,213.39,31.07
41637,0.01,-0.79,1.01,-31.89,-44.95,208.69,31.17
41647,0.03,-0.80,1.01,-29.73,-51.77,205.37,30.98
41657,0.07,-0.78,0.96,-26.64,-56.23,200.35,31.07
41667,0.06,-0.77,0.91,-27.54,-63.04,195.60,31.07
41677,0.08,-0.74,0.87,-27.39,-70.95,193.63,30.93
41687,0.11,-0.73,0.80,-27.74,-74.72,192.92,31.02
41697,0.13,-0.71,0.76,-26.24,-80.60,194.66,31.02
41707,0.18,-0.68,0.74,-26.70,-85.05,194.78,31.02
41717,0.23,-0.65,0.70,-29.31,-89.85,194.00,31.12
41727,0.30,-0.62,0.66,-33.10,-89.48,194.53,31.02
41737,0.38,-0.63,0.67,-36.41,-82.03,191.63,31.02
41747,0.44,-0.63,0.69,-40.29,-68.32,183.79,30.98
41757,0.48,-0.62,0.74,-42.82,-51.50,175.48,31.17
41767,0.48,-0.61,0.84,-45.04,-34.20,165.39,31.07
41777,0.41,-0.59,0.94,-45.15,-24.43,156.75,31.07
41787,0.34,-0.58,1.04,-40.64,-22.20,151.92,30.98
41797,0.31,-0.57,1.07,-33.76,-21.47,149.63,31.17
41807,0.30,-0.56,1.06,-25.66,-18.98,146.72,31.02
41817,0.30,-0.53,1.02,-22.93,-16.17,142.85,31.12
41827,0.29,-0.50,0.99,-23.04,-13.66,141.33,31.12
41837,0.26,-0.48,1.00,-25.71,-9.68,140.03,31.02
41847,0.24,-0.47,1.01,-28.41,-10.17,139.34,31.12
41857,0.24,-0.46,1.00,-29.40,-11.36,139.94,30.98
41867,0.26,-0.43,1.00,-31.40,-9.76,139.37,31.07
41877,0.30,-0.40,1.02,-34.53,-5.94,133.34,30.98
41887,0.29,-0.39,1.04,-38.79,-2.75,130.08,31.07
41897,0.29,-0.44,1.09,-41.97,1.66,123.83,31.07
41907,0.25,-0.42,1.17,-44.05,4.75,116.79,31.02
41917,0.20,-0.41,1.23,-44.43,4.56,112.98,31.02
41927,0.17,-0.44,1.26,-41.91,2.95,111.68,31.02
41937,0.16,-0.44,1.26,-35.95,7.01,112.37,31.02
41947,0.20,-0.46,1.26,-30.21,16.47,111.91,31.02
41957,0.25,-0.44,1.24,-25.21,31.97,105.31,31.12
41967,0.24,-0.40,1.21,-23.44,40.87,95.60,31.07
41977,0.19,-0.39,1.21,-23.56,43.10,83.94,30.98
41987,0.10,-0.38,1.17,-25.74,35.65,74.58,31.07
41997,0.06,-0.35,1.13,-31.08,30.35,68.23,31.07
42007,0.04,-0.34,1.15,-34.49,29.76,62.06,31.07
42017,-0.01,-0.35,1.19,-30.09,26.90,57.79,30.98
42027,-0.02,-0.37,1.16,-20.34,26.06,52.31,31.12
42037,-0.04,-0.37,1.14,-11.28,35.63,46.26,31.02
42047,-0.08,-0.33,1.09,-2.63,34.55,32.50,30.93
