Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
48327,-0.15,-0.44,1.09,-5.50,-15.36,-3.77,30.46
48337,-0.21,-0.45,1.13,-4.44,-32.53,-8.09,30.55
48347,-0.26,-0.45,1.17,-2.75,-54.17,-13.76,30.51
48357,-0.30,-0.48,1.19,0.40,-70.55,-13.86,30.51
48367,-0.30,-0.43,1.15,5.37,-87.16,-9.71,30.51
48377,-0.23,-0.42,1.06,9.01,-88.08,-2.69,30.60
48387,-0.16,-0.39,0.98,7.10,-76.72,6.00,30.51
48397,-0.08,-0.37,0.92,2.31,-53.82,16.38,30.51
48407,-0.04,-0.40,0.93,-3.34,-25.97,25.11,30.46
48417,-0.08,-0.44,1.00,-6.82,-4.43,30.81,30.55
48427,-0.17,-0.48,1.10,-7.21,3.48,33.04,30.46
48437,-0.27,-0.52,1.17,-3.16,-1.48,33.53,30.46
48447,-0.35,-0.53,1.20,2.00,-14.00,34.78,30.55
48457,-0.38,-0.50,1.19,6.93,-29.19,39.18,30.46
48467,-0.36,-0.49,1.13,8.60,-39.45,43.95,30.55
48477,-0.31,-0.47,1.07,8.14,-41.62,49.92,30.41
48487,-0.26,-0.47,1.04,6.15,-38.40,57.02,30.51
48497,-0.22,-0.48,1.04,5.01,-33.56,62.44,30.51
48507,-0.21,-0.51,1.04,4.21,-28.84,66.82,30.55
48517,-0.20,-0.54,1.04,5.19,-24.29,70.14,30.51
48527,-0.19,-0.56,1.06,7.05,-21.25,72.63,30.51
48537,-0.21,-0.58,1.09,9.28,-21.56,74.52,30.46
48547,-0.21,-0.60,1.08,11.39,-24.60,76.03,30.55
48557,-0.20,-0.60,1.08,13.24,-29.85,76.81,30.55
48567,-0.18,-0.60,1.05,15.25,-36.85,77.11,30.46
48577,-0.17,-0.60,1.02,15.63,-41.10,77.05,30.55
48587,-0.15,-0.58,1.00,15.89,-44.17,77.19,30.55
48597,-0.14,-0.58,0.99,15.10,-44.02,79.91,30.51
48607,-0.13,-0.58,1.01,15.62,-42.20,82.85,30.60
48617,-0.12,-0.61,1.03,16.85,-40.17,86.81,30.41
48627,-0.12,-0.62,1.04,19.94,-40.90,91.08,30.41
48637,-0.10,-0.63,1.04,23.45,-41.40,94.61,30.51
48647,-0.06,-0.64,1.04,26.69,-42.90,96.67,30.60
48657,-0.02,-0.64,1.04,28.82,-43.92,97.66,30.60
48667,0.02,-0.66,1.03,30.12,-45.25,96.46,30.46
48677,0.04,-0.67,1.02,32.43,-45.33,93.30,30.37
48687,0.04,-0.67,1.00,35.04,-47.40,90.27,30.55
48697,0.04,-0.64,0.94,37.33,-49.77,88.96,30.46
48707,0.04,-0.61,0.90,37.47,-52.60,88.85,30.46
48717,0.06,-0.60,0.84,36.05,-52.37,89.33,30.46
48727,0.06,-0.56,0.82,32.12,-48.56,90.81,30.55
48737,0.05,-0.54,0.83,27.65,-43.98,93.69,30.51
48747,0.04,-0.55,0.86,24.95,-40.95,97.57,30.60
48757,0.04,-0.56,0.89,23.22,-39.48,99.68,30.41
