Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
47087,-0.18,-0.22,1.03,-6.31,-1.27,1.27,30.93
47097,-0.17,-0.22,1.03,-5.31,-1.98,1.86,31.02
47107,-0.15,-0.22,1.03,-5.42,-1.71,1.73,30.98
47117,-0.14,-0.22,1.02,-6.08,-0.40,0.82,30.98
47127,-0.15,-0.21,1.03,-6.29,-0.37,0.11,31.07
47137,-0.14,-0.22,1.02,-5.97,-0.32,-0.20,30.98
47147,-0.14,-0.22,1.03,-6.50,0.53,-0.53,30.98
47157,-0.15,-0.22,1.04,-6.61,0.64,-0.81,30.98
47167,-0.14,-0.23,1.04,-6.58,0.84,-0.87,31.02
47177,-0.14,-0.23,1.05,-6.55,0.50,-0.98,31.02
47187,-0.15,-0.23,1.06,-4.99,-1.08,-1.40,31.02
47197,-0.13,-0.23,1.06,-3.66,-2.56,-1.80,31.02
47207,-0.12,-0.23,1.04,-2.79,-2.87,-2.00,31.02
47217,-0.11,-0.23,1.02,-3.97,-1.71,-2.08,30.93
47227,-0.10,-0.24,1.01,-4.31,-1.05,-2.38,31.07
47237,-0.08,-0.24,1.02,-5.33,1.01,-3.65,30.98
47247,-0.07,-0.25,1.02,-5.48,0.27,-5.25,30.98
47257,-0.05,-0.26,1.01,-6.35,1.82,-6.89,31.07
47267,-0.04,-0.28,1.03,-7.25,2.87,-9.54,30.93
47277,-0.05,-0.28,1.05,-7.19,1.95,-12.85,30.88
47287,-0.03,-0.28,1.04,-7.16,4.26,-15.98,30.98
47297,-0.04,-0.27,1.06,-7.34,4.47,-19.36,31.02
47307,-0.02,-0.29,1.05,-5.79,3.22,-20.69,31.02
47317,0.01,-0.27,1.03,-5.44,5.77,-23.15,31.02
47327,0.04,-0.28,1.03,-6.75,8.37,-27.33,31.02
47337,0.04,-0.26,1.03,-8.27,6.82,-33.59,31.02
47347,0.02,-0.27,1.04,-10.92,3.24,-38.73,31.02
47357,0.01,-0.28,1.08,-12.84,-3.19,-42.05,30.98
47367,0.04,-0.29,1.10,-13.13,-9.37,-46.03,30.98
47377,0.08,-0.30,1.08,-13.34,-14.15,-49.22,30.98
47387,0.15,-0.31,1.10,-13.88,-19.33,-52.64,31.07
47397,0.24,-0.33,1.10,-14.14,-18.56,-60.09,31.12
47407,0.29,-0.33,1.12,-14.89,-15.50,-69.48,30.98
