Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
82407,0.14,-0.47,1.07,4.85,41.07,-80.03,31.49
82417,0.13,-0.47,1.07,6.05,39.47,-79.62,31.54
82427,0.14,-0.48,1.05,5.19,35.77,-81.65,31.45
82437,0.19,-0.51,1.04,3.92,33.16,-85.50,31.54
82447,0.23,-0.53,1.02,2.52,34.08,-89.57,31.45
82457,0.26,-0.55,0.99,0.81,38.79,-93.94,31.45
82467,0.27,-0.55,0.97,-0.72,46.14,-94.82,31.45
82477,0.24,-0.55,0.93,-1.50,56.08,-95.69,31.45
82487,0.20,-0.55,0.90,-0.81,68.44,-94.37,31.54
82497,0.16,-0.54,0.88,-1.30,80.12,-93.68,31.49
82507,0.09,-0.53,0.87,-2.93,91.34,-89.53,31.49
82517,0.04,-0.51,0.88,-2.37,103.15,-86.61,31.49
82527,-0.04,-0.51,0.91,-1.73,102.17,-84.93,31.49
82537,-0.09,-0.50,0.94,-2.55,92.90,-87.79,31.40
82547,-0.10,-0.50,0.94,-5.47,76.49,-95.16,31.49
82557,-0.07,-0.49,0.93,-9.33,50.38,-101.74,31.49
82567,0.00,-0.52,0.87,-13.27,37.69,-112.14,31.49
82577,0.05,-0.47,0.77,-22.26,33.19,-116.66,31.40
82587,0.06,-0.50,0.75,-26.61,47.73,-114.76,31.49
82597,0.07,-0.49,0.74,-26.06,66.29,-105.66,31.40
82607,0.05,-0.50,0.74,-22.08,99.86,-93.40,31.45
82617,-0.00,-0.52,0.81,-13.47,116.24,-81.33,31.45
82627,-0.06,-0.50,0.81,-9.18,132.66,-75.18,31.54
82637,-0.16,-0.50,0.87,-7.77,121.25,-76.14,31.45
82647,-0.17,-0.51,0.88,-11.15,110.00,-85.16,31.54
82657,-0.23,-0.47,0.90,-17.53,86.79,-96.40,31.35
82667,-0.27,-0.44,0.92,-20.37,68.15,-103.88,31.40
82677,-0.30,-0.43,0.90,-20.61,55.97,-105.05,31.54
82687,-0.29,-0.41,0.88,-19.54,57.04,-98.99,31.49
