Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
48137,-0.17,-1.08,0.11,6.95,-17.07,-1.98,33.00
48147,-0.19,-1.08,0.11,7.80,-21.45,-1.66,32.91
48157,-0.18,-1.08,0.09,7.45,-23.22,-0.43,32.91
48167,-0.20,-1.09,0.08,6.85,-26.38,0.35,33.00
48177,-0.20,-1.11,0.10,6.17,-29.69,-0.99,32.91
48187,-0.21,-1.11,0.12,3.57,-32.95,-4.26,33.00
48197,-0.23,-1.12,0.15,3.62,-40.18,-10.06,32.91
48207,-0.27,-1.12,0.18,5.83,-49.97,-18.95,32.91
48217,-0.32,-1.11,0.18,7.57,-63.33,-27.68,33.00
48227,-0.35,-1.11,0.16,8.52,-77.13,-33.91,33.00
48237,-0.34,-1.08,0.07,2.84,-82.24,-35.98,33.00
48247,-0.32,-1.06,0.01,-10.96,-80.64,-36.47,32.91
48257,-0.28,-1.01,-0.05,-26.14,-71.69,-33.77,32.86
48267,-0.30,-0.96,-0.14,-43.27,-62.69,-27.18,32.95
48277,-0.32,-0.89,-0.14,-56.56,-65.31,-12.55,32.95
48287,-0.26,-0.85,-0.23,-68.03,-71.07,4.89,32.95
48297,-0.17,-0.88,-0.29,-81.42,-74.72,15.95,33.05
48307,-0.17,-0.96,-0.13,-89.34,-91.73,19.10,32.95
48317,-0.08,-1.03,-0.04,-84.31,-100.81,11.73,32.95
48327,-0.01,-1.10,0.02,-72.08,-115.92,-1.65,32.86
48337,0.05,-1.13,0.04,-57.05,-129.15,-13.34,32.95
48347,0.05,-1.16,0.05,-41.13,-142.99,-20.02,32.95
48357,0.09,-1.19,0.04,-27.98,-149.08,-19.79,32.95
48367,0.11,-1.20,0.03,-17.42,-147.08,-14.55,32.95
48377,0.18,-1.20,-0.01,-11.56,-130.55,-9.45,32.91
48387,0.22,-1.20,-0.01,-8.02,-109.30,-5.45,32.86
48397,0.23,-1.18,0.01,-6.23,-88.67,-5.07,32.95
48407,0.22,-1.16,0.02,-3.59,-76.17,-10.02,32.91
48417,0.20,-1.15,0.01,2.23,-70.09,-18.27,33.00
48427,0.19,-1.12,-0.04,4.38,-67.71,-30.55,32.91
48437,0.13,-1.11,-0.05,3.66,-73.71,-41.22,32.91
48447,0.06,-1.07,-0.09,0.43,-75.56,-45.65,33.00
48457,0.02,-1.03,-0.13,-2.56,-76.14,-41.50,32.91
48467,-0.00,-1.02,-0.15,-7.53,-66.82,-32.32,33.00
48477,-0.02,-1.00,-0.12,-9.10,-58.73,-19.33,32.91
48487,-0.02,-1.02,-0.08,-7.07,-51.10,-7.30,32.91
48497,-0.02,-1.02,-0.04,-1.51,-46.40,2.66,32.91
48507,-0.01,-1.04,-0.01,4.50,-45.94,6.00,33.00
48517,-0.02,-1.05,0.01,10.18,-51.69,4.56,32.91
