Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
104377,-0.01,-0.49,0.93,-3.63,1.42,-2.47,31.92
104387,-0.02,-0.49,0.95,-4.21,2.14,-3.25,31.87
104397,-0.04,-0.48,0.97,-4.98,-0.43,-4.61,31.78
104407,-0.07,-0.49,0.96,-6.92,-7.60,-6.35,31.87
104417,-0.06,-0.47,0.96,-7.77,-15.30,-6.44,31.87
104427,-0.02,-0.46,0.92,-7.76,-16.90,-4.56,31.87
104437,0.06,-0.45,0.89,-7.83,-10.08,-1.66,31.97
104447,0.14,-0.46,0.87,-9.36,4.17,0.53,31.87
104457,0.18,-0.51,0.88,-10.40,20.23,0.41,31.82
104467,0.17,-0.57,0.93,-9.92,33.69,-3.69,31.92
104477,0.09,-0.59,1.00,-7.79,37.76,-9.36,31.82
104487,-0.03,-0.59,1.06,-3.30,28.99,-14.64,31.92
104497,-0.12,-0.57,1.07,0.79,14.58,-17.18,31.87
104507,-0.10,-0.55,0.99,-0.87,13.80,-18.76,31.92
104517,-0.16,-0.53,1.04,3.05,-12.85,-15.50,31.92
104527,-0.07,-0.46,0.91,4.66,-10.84,-8.67,31.97
104537,-0.02,-0.43,0.86,3.25,-6.93,-4.92,31.87
104547,0.01,-0.44,0.85,1.98,1.53,-2.67,31.97
104557,0.00,-0.46,0.85,-1.27,7.30,-3.42,31.97
104567,-0.03,-0.47,0.88,-4.96,8.61,-5.76,31.87
104577,-0.07,-0.50,0.91,-6.64,5.42,-8.50,31.87
104587,-0.11,-0.51,0.92,-7.63,0.78,-10.89,31.97
104597,-0.14,-0.49,0.93,-8.90,-3.86,-11.07,31.97
104607,-0.15,-0.48,0.93,-8.78,-5.97,-7.73,31.82
104617,-0.13,-0.49,0.93,-7.80,-6.53,-3.10,31.92
104627,-0.10,-0.50,0.92,-6.56,-4.67,1.39,31.92
104637,-0.07,-0.51,0.93,-5.73,-0.08,4.58,31.92
104647,-0.07,-0.53,0.93,-4.20,3.01,5.33,31.82
104657,-0.07,-0.53,0.93,-3.74,0.75,3.05,31.92
104667,-0.10,-0.52,0.94,-5.50,-5.85,-0.29,31.78
104677,-0.13,-0.50,0.94,-5.92,-11.53,-1.10,31.92
104687,-0.14,-0.49,0.94,-6.23,-13.73,1.45,31.97
104697,-0.14,-0.48,0.92,-5.77,-9.21,7.56,31.87
104707,-0.10,-0.49,0.92,-7.07,-2.85,11.73,31.97
104717,-0.08,-0.51,0.93,-8.55,-1.59,12.49,31.87
104727,-0.07,-0.50,0.93,-11.56,-2.79,11.30,31.97
104737,-0.03,-0.50,0.92,-14.52,-3.94,9.34,31.97
104747,-0.02,-0.52,0.93,-15.62,-4.56,7.02,31.78
104757,-0.02,-0.51,0.94,-19.18,-3.08,4.69,31.92
104767,-0.00,-0.52,0.94,-23.25,-2.17,1.11,31.92
104777,0.02,-0.51,0.93,-28.29,-4.61,-4.78,31.92
104787,0.03,-0.48,0.89,-35.77,-6.99,-11.74,32.01
104797,0.03,-0.50,0.85,-53.40,-15.56,-20.98,31.92
104807,0.16,-0.40,0.64,-85.11,-7.28,-40.34,31.92
104817,0.03,-0.39,0.70,-134.82,-29.34,-53.36,31.92
104827,0.07,-0.25,0.50,-192.18,-29.53,-55.08,31.92
104837,-0.09,-0.24,0.47,-247.10,-28.20,-47.86,31.97
104847,-0.21,-0.23,0.43,-284.75,-21.04,-26.56,31.97
104857,-0.34,-0.34,0.47,-297.11,-8.29,-0.34,31.87
104867,-0.43,-0.52,0.57,-288.27,-12.82,15.60,31.97
104877,-0.43,-0.73,0.57,-282.21,-40.00,22.85,31.87
104887,-0.39,-0.84,0.51,-296.06,-83.56,17.05,31.87
104897,-0.21,-0.86,0.34,-323.82,-118.03,11.01,31.87
104907,0.07,-0.84,0.18,-363.02,-137.86,9.71,31.97
104917,0.20,-0.94,-0.00,-401.44,-123.21,16.27,32.01
104927,0.28,-1.12,0.02,-426.63,-95.62,27.48,31.92
104937,0.23,-1.30,0.13,-432.55,-73.10,40.21,31.92
104947,0.11,-1.44,0.19,-417.74,-50.47,55.80,31.82
104957,0.01,-1.63,0.44,-392.09,-31.63,62.56,31.82
104967,-0.02,-1.74,0.60,-346.52,-37.40,56.73,31.87
104977,0.01,-1.79,0.64,-282.58,-37.92,47.71,31.92
104987,0.14,-1.77,0.65,-205.62,-27.13,33.88,31.82
104997,0.21,-1.68,0.59,-128.20,-16.58,26.38,31.87
105007,0.21,-1.47,0.41,-60.84,-3.91,28.02,31.97
105017,0.19,-1.34,0.30,-11.50,13.74,32.34,31.87
105027,0.20,-1.18,0.11,4.60,29.77,34.61,31.87
105037,0.12,-1.06,-0.00,-6.21,32.58,30.50,31.87
105047,0.05,-0.98,-0.01,-24.40,22.15,20.52,31.87
105057,-0.01,-0.98,0.02,-38.43,9.40,11.80,31.87
105067,-0.09,-0.98,0.01,-43.80,-7.50,6.72,31.97
105077,-0.15,-1.00,0.05,-43.42,-18.09,7.74,31.82
105087,-0.18,-1.04,0.09,-37.56,-27.19,10.35,31.82
105097,-0.19,-1.05,0.13,-25.04,-31.73,16.35,31.82
105107,-0.21,-1.03,0.11,-9.34,-35.62,23.51,31.92
105117,-0.19,-1.04,0.10,5.86,-33.39,29.86,31.92
105127,-0.19,-1.05,0.09,19.05,-31.94,33.50,32.01
105137,-0.19,-1.05,0.05,23.80,-36.58,33.91,31.87
105147,-0.18,-1.00,0.00,18.69,-37.98,31.44,31.92
105157,-0.20,-0.99,0.01,9.18,-41.53,25.54,31.97
105167,-0.22,-0.98,0.05,-0.98,-45.57,17.94,31.87
105177,-0.23,-0.98,0.04,-5.36,-54.05,12.23,31.87
105187,-0.26,-0.98,0.03,-4.96,-57.39,9.21,31.87
105197,-0.29,-0.99,0.04,-1.73,-60.50,11.63,31.87
105207,-0.28,-0.97,0.01,0.40,-57.62,19.45,31.87
105217,-0.29,-0.95,0.01,0.05,-53.44,27.97,31.97
105227,-0.30,-0.94,0.00,-3.18,-53.05,36.18,31.92
105237,-0.28,-0.94,-0.01,-6.47,-54.78,41.66,31.92
105247,-0.23,-0.97,-0.00,-9.85,-59.19,39.63,31.92
105257,-0.20,-1.00,-0.00,-14.58,-61.98,34.20,32.01
105267,-0.19,-1.02,-0.01,-20.98,-64.92,28.78,31.92
105277,-0.18,-1.03,0.02,-24.03,-67.28,23.40,31.82
105287,-0.16,-1.07,0.05,-21.25,-69.02,17.59,31.92
105297,-0.15,-1.08,0.07,-14.17,-69.68,12.40,32.01
105307,-0.16,-1.06,0.04,-7.18,-71.79,9.53,31.87
105317,-0.16,-1.06,-0.01,-5.48,-72.00,9.76,31.87
105327,-0.16,-1.04,-0.01,-7.45,-71.69,11.85,31.87
105337,-0.14,-1.06,0.00,-8.92,-65.74,14.67,31.87
105347,-0.12,-1.09,0.03,-6.93,-59.34,15.89,31.97
105357,-0.14,-1.10,0.05,-3.85,-59.59,12.03,31.97
105367,-0.13,-1.10,0.06,0.49,-60.84,5.44,31.87
105377,-0.10,-1.10,0.05,3.79,-63.16,-4.93,31.82
105387,-0.12,-1.05,0.04,2.34,-68.67,-17.95,31.92
105397,-0.10,-1.03,0.01,-0.17,-72.05,-28.17,31.92
105407,-0.15,-0.99,-0.01,-3.15,-74.79,-33.45,31.92
105417,-0.19,-0.97,0.00,-4.49,-76.47,-32.02,31.92
105427,-0.21,-0.98,0.00,-2.93,-77.37,-25.42,31.82
105437,-0.24,-1.00,0.04,0.85,-76.43,-16.34,31.97
105447,-0.24,-1.01,0.05,6.95,-74.78,-5.73,31.82
105457,-0.21,-1.01,0.04,12.14,-75.77,1.68,31.87
105467,-0.17,-0.99,-0.02,9.25,-75.37,3.24,31.97
105477,-0.14,-1.02,0.01,5.42,-71.95,3.89,31.87
105487,-0.13,-1.01,0.01,0.53,-72.15,1.48,31.87
105497,-0.12,-1.03,0.02,-3.62,-76.08,-2.84,31.87
105507,-0.12,-1.04,0.03,-5.30,-77.21,-5.80,31.97
105517,-0.12,-1.05,0.06,-3.48,-79.89,-7.04,31.87
105527,-0.14,-1.05,0.05,0.98,-82.70,-5.25,31.87
105537,-0.13,-1.05,0.06,5.82,-84.23,-2.27,31.92
105547,-0.15,-1.04,0.04,8.35,-88.03,0.12,31.82
105557,-0.07,-1.02,-0.03,4.06,-83.74,2.90,31.82
105567,-0.07,-1.01,-0.02,-3.10,-76.85,6.03,31.92
105577,-0.09,-1.01,0.02,-9.37,-72.21,8.92,31.82
105587,-0.08,-1.03,0.04,-10.81,-70.05,9.57,31.92
105597,-0.09,-1.02,0.04,-10.49,-72.35,10.08,31.92
105607,-0.10,-1.02,0.06,-8.92,-79.80,8.56,31.87
105617,-0.09,-1.02,0.05,-9.65,-84.35,7.95,31.87
105627,-0.10,-1.00,0.05,-14.55,-92.93,3.83,31.97
105637,-0.11,-0.98,0.06,-18.69,-103.80,-3.68,31.87
105647,-0.11,-0.95,0.01,-21.36,-111.48,-9.10,31.87
105657,-0.11,-0.89,-0.06,-23.53,-110.69,-8.44,31.97
105667,-0.08,-0.85,-0.13,-23.68,-96.95,2.08,31.97
105677,-0.06,-0.84,-0.16,-27.97,-77.34,14.29,31.87
105687,-0.08,-0.91,-0.05,-31.60,-62.12,23.53,31.87
105697,-0.12,-0.95,0.04,-31.34,-63.76,26.64,32.01
105707,-0.12,-1.00,0.09,-28.09,-67.60,25.45,31.82
105717,-0.15,-1.03,0.08,-19.39,-83.95,24.09,31.92
105727,-0.09,-1.05,0.07,-8.15,-82.11,25.80,31.92
105737,-0.07,-1.07,0.06,-1.48,-85.33,24.05,31.97
105747,-0.02,-1.05,0.05,-2.27,-84.50,19.98,31.92
105757,-0.02,-1.04,0.05,-5.56,-79.62,14.90,31.92
105767,-0.04,-1.00,0.01,-10.95,-75.60,12.08,31.87
105777,-0.07,-1.02,0.02,-14.78,-70.23,11.45,31.97
105787,-0.11,-1.04,0.06,-15.31,-70.60,10.11,31.97
105797,-0.14,-1.05,0.07,-13.63,-74.03,8.69,31.87
105807,-0.13,-1.04,0.09,-10.47,-76.46,5.97,31.97
105817,-0.12,-1.03,0.11,-9.39,-81.31,-0.82,31.87
105827,-0.15,-1.01,0.10,-12.95,-86.92,-9.59,31.87
105837,-0.20,-0.98,0.07,-14.92,-93.16,-13.94,31.92
105847,-0.20,-0.95,-0.01,-14.27,-91.94,-7.31,31.82
105857,-0.16,-0.93,-0.06,-15.56,-80.21,4.43,31.82
105867,-0.14,-0.95,-0.02,-17.82,-71.22,12.79,31.82
105877,-0.13,-0.95,0.00,-19.66,-66.00,16.15,31.92
105887,-0.11,-0.98,0.03,-18.95,-68.98,12.67,31.82
105897,-0.12,-0.98,0.09,-19.79,-77.79,2.23,31.92
105907,-0.13,-0.97,0.08,-20.56,-88.47,-8.93,31.87
105917,-0.18,-0.98,0.07,-22.34,-100.14,-13.45,31.87
105927,-0.19,-0.99,0.06,-21.10,-104.79,-8.46,31.87
105937,-0.19,-1.00,0.04,-19.50,-100.27,4.23,31.87
105947,-0.19,-1.01,0.05,-16.70,-94.08,18.46,31.78
105957,-0.15,-1.02,0.05,-10.87,-82.55,30.98,31.87
105967,-0.12,-1.01,0.09,-4.75,-72.92,33.27,31.97
105977,-0.07,-0.96,0.07,-4.47,-72.17,23.71,31.87
105987,-0.10,-0.91,0.07,-6.61,-87.16,5.33,31.78
105997,-0.12,-0.81,-0.08,-20.24,-98.05,-7.97,31.92
106007,-0.17,-0.75,-0.15,-34.02,-108.58,-14.00,31.73
106017,-0.16,-0.75,-0.21,-45.30,-105.07,-8.50,31.92
106027,-0.18,-0.80,-0.17,-57.80,-95.37,2.55,31.82
106037,-0.19,-0.89,-0.09,-64.37,-87.16,15.28,31.87
106047,-0.19,-0.96,0.00,-59.63,-79.53,27.28,31.82
106057,-0.18,-1.03,0.08,-47.86,-75.11,36.38,31.82
106067,-0.21,-1.08,0.14,-35.73,-77.08,42.38,31.87
106077,-0.22,-1.11,0.12,-23.33,-79.65,48.60,31.87
106087,-0.21,-1.12,0.09,-14.11,-75.82,57.40,31.78
106097,-0.20,-1.15,0.07,-5.16,-70.06,67.80,31.87
