Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
153377,-0.02,-1.03,-0.07,-2.02,-0.73,3.13,30.37
153387,-0.03,-1.06,-0.04,-1.94,-2.29,-1.73,30.37
153397,-0.03,-1.07,-0.04,-0.58,-4.03,-6.81,30.46
153407,-0.05,-1.07,-0.03,0.90,-6.24,-9.66,30.46
153417,-0.06,-1.06,-0.04,2.61,-6.03,-9.44,30.37
153427,-0.08,-1.05,-0.05,3.68,-5.62,-7.57,30.37
153437,-0.08,-1.04,-0.05,2.70,-6.24,-5.39,30.55
153447,-0.09,-1.05,-0.04,1.56,-6.79,-4.89,30.41
153457,-0.09,-1.06,-0.01,-0.79,-8.09,-6.52,30.41
153467,-0.09,-1.05,-0.00,-1.45,-11.02,-9.66,30.41
153477,-0.08,-1.08,0.03,-2.99,-14.56,-15.50,30.41
153487,-0.11,-1.08,0.07,-5.16,-19.05,-23.80,30.51
153497,-0.15,-1.06,0.08,-4.63,-23.68,-29.33,30.27
153507,-0.19,-1.04,0.07,-0.78,-27.77,-29.10,30.46
153517,-0.21,-1.03,0.05,2.43,-28.84,-23.92,30.37
153527,-0.22,-1.00,0.02,4.40,-29.69,-17.18,30.46
153537,-0.22,-0.99,0.02,4.56,-32.15,-11.69,30.46
153547,-0.20,-0.99,-0.00,3.66,-35.28,-7.11,30.46
153557,-0.17,-1.00,-0.02,3.27,-38.20,-3.48,30.46
153567,-0.13,-1.00,-0.04,3.77,-39.95,-0.50,30.46
153577,-0.11,-1.02,-0.06,2.46,-39.97,0.96,30.41
153587,-0.08,-1.01,-0.04,-1.53,-42.09,-0.82,30.51
153597,-0.06,-1.03,-0.04,-5.50,-44.85,-5.36,30.41
153607,-0.06,-1.04,-0.04,-9.30,-48.06,-10.93,30.41
153617,-0.06,-1.05,-0.03,-11.57,-51.28,-15.74,30.51
153627,-0.08,-1.07,-0.02,-11.34,-51.89,-18.12,30.46
153637,-0.09,-1.07,-0.02,-10.53,-52.15,-18.46,30.41
153647,-0.12,-1.07,-0.01,-8.98,-52.21,-16.46,30.37
153657,-0.14,-1.05,-0.02,-6.43,-52.47,-11.79,30.37
153667,-0.14,-1.04,-0.03,-4.66,-52.73,-6.15,30.46
153677,-0.14,-1.03,-0.05,-3.19,-52.70,-0.61,30.46
153687,-0.11,-1.02,-0.05,-3.79,-51.69,2.98,30.46
153697,-0.11,-1.03,-0.06,-5.10,-53.48,5.21,30.37
153707,-0.08,-1.06,-0.10,-7.27,-53.48,4.79,30.37
153717,-0.06,-1.09,-0.08,-11.08,-54.95,0.75,30.51
153727,-0.04,-1.09,-0.09,-14.31,-57.33,-5.10,30.41
153737,-0.03,-1.08,-0.08,-15.74,-58.76,-10.64,30.41
153747,-0.05,-1.07,-0.10,-15.68,-59.07,-13.73,30.41
153757,-0.08,-1.08,-0.08,-15.42,-60.67,-14.21,30.46
153767,-0.10,-1.08,-0.07,-13.60,-62.37,-11.45,30.41
153777,-0.10,-1.09,-0.07,-10.61,-62.11,-6.50,30.41
153787,-0.07,-1.09,-0.06,-8.40,-60.47,-2.06,30.46
153797,-0.05,-1.09,-0.06,-6.29,-58.79,-0.60,30.46
153807,-0.04,-1.09,-0.08,-5.65,-59.16,-2.46,30.46
153817,-0.05,-1.08,-0.08,-5.02,-61.18,-4.67,30.46
153827,-0.05,-1.08,-0.09,-4.85,-62.29,-5.89,30.46
153837,-0.05,-1.08,-0.10,-5.68,-61.57,-8.15,30.46
153847,-0.07,-1.07,-0.11,-7.24,-60.99,-9.50,30.46
153857,-0.07,-1.05,-0.10,-8.41,-60.98,-10.52,30.41
153867,-0.07,-1.05,-0.09,-9.18,-61.79,-12.05,30.41
153877,-0.09,-1.06,-0.06,-8.02,-62.79,-11.77,30.41
153887,-0.10,-1.05,-0.07,-4.92,-62.98,-8.67,30.51
153897,-0.08,-1.04,-0.08,-2.29,-61.08,-5.74,30.41
153907,-0.08,-1.02,-0.08,-1.11,-58.70,-4.66,30.32
153917,-0.09,-1.02,-0.09,-1.34,-58.02,-6.09,30.46
153927,-0.08,-1.02,-0.08,-2.49,-58.61,-9.04,30.46
