Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
53897,-0.16,-0.99,0.20,-15.15,-21.15,7.88,32.91
53907,-0.15,-0.99,0.21,-14.44,-21.42,7.10,32.91
53917,-0.15,-1.00,0.21,-13.73,-21.77,5.76,33.00
53927,-0.13,-1.00,0.18,-12.89,-21.45,3.92,32.91
53937,-0.13,-1.00,0.17,-11.44,-20.87,4.37,33.09
53947,-0.13,-1.00,0.17,-12.72,-19.05,6.06,33.00
53957,-0.12,-1.01,0.18,-14.47,-17.22,7.79,32.91
53967,-0.10,-1.04,0.20,-14.40,-15.74,8.23,33.00
53977,-0.07,-1.07,0.21,-12.50,-14.15,8.49,33.00
53987,-0.04,-1.10,0.21,-10.90,-12.24,8.17,33.09
53997,-0.01,-1.12,0.22,-10.35,-10.31,6.98,32.81
54007,0.03,-1.12,0.21,-8.55,-7.69,4.70,33.00
54017,0.06,-1.16,0.23,-7.13,-4.43,1.63,33.00
54027,0.07,-1.18,0.25,-5.27,-1.40,-1.31,32.91
54037,0.08,-1.19,0.25,-2.56,2.47,-3.28,32.91
54047,0.11,-1.22,0.27,0.24,7.07,-4.72,32.91
54057,0.13,-1.23,0.28,4.23,12.27,-7.50,32.95
54067,0.14,-1.24,0.30,9.44,16.52,-12.43,32.86
54077,0.14,-1.23,0.30,16.31,19.15,-17.16,33.05
54087,0.13,-1.20,0.26,21.42,23.01,-21.33,32.86
54097,0.07,-1.17,0.23,24.82,27.01,-22.05,32.86
54107,0.05,-1.14,0.23,27.47,33.01,-16.87,33.05
54117,0.03,-1.11,0.21,30.38,42.27,-9.21,33.05
54127,0.04,-1.09,0.21,32.85,52.02,-3.10,32.95
54137,0.07,-1.07,0.21,34.81,57.45,-0.12,32.95
54147,0.09,-1.02,0.19,36.99,61.53,0.56,33.00
54157,0.11,-1.01,0.17,37.13,65.22,-1.50,32.95
54167,0.11,-1.01,0.14,36.21,67.86,-5.56,32.95
54177,0.12,-1.01,0.10,33.63,68.47,-10.79,32.95
54187,0.11,-1.01,0.10,29.22,69.11,-16.18,32.91
54197,0.08,-1.00,0.10,25.34,69.95,-20.29,33.00
54207,0.08,-1.00,0.11,21.69,69.69,-24.64,33.09
54217,0.08,-1.02,0.13,20.03,69.91,-29.24,32.91
54227,0.07,-1.05,0.16,22.24,71.25,-33.05,33.00
54237,0.06,-1.09,0.20,25.53,75.02,-35.18,32.91
54247,0.05,-1.11,0.19,29.60,80.21,-35.68,32.91
54257,0.01,-1.12,0.19,30.70,82.24,-36.66,33.00
54267,-0.01,-1.12,0.21,32.56,86.73,-35.95,32.91
54277,-0.02,-1.10,0.21,35.31,89.62,-35.57,33.09
54287,-0.01,-1.07,0.18,37.19,94.43,-34.93,33.00
54297,-0.02,-1.04,0.16,37.42,97.08,-35.02,32.91
54307,-0.04,-1.02,0.11,34.53,102.90,-34.43,32.91
54317,-0.08,-1.02,0.14,31.77,99.57,-32.47,33.00
54327,-0.07,-1.00,0.10,28.02,100.32,-30.47,33.00
54337,-0.08,-1.02,0.11,25.79,102.79,-29.65,32.86
54347,-0.09,-1.02,0.15,23.65,102.34,-31.05,32.95
54357,-0.10,-1.03,0.17,23.66,97.65,-33.76,32.95
54367,-0.10,-1.02,0.16,23.42,95.34,-35.98,32.95
54377,-0.11,-1.02,0.15,22.40,93.33,-36.79,32.95
54387,-0.13,-1.02,0.14,20.85,94.63,-35.94,32.86
54397,-0.14,-1.00,0.15,19.73,95.82,-33.47,32.95
54407,-0.13,-0.99,0.15,18.67,96.27,-30.47,32.95
54417,-0.12,-0.99,0.14,18.26,98.67,-27.91,32.95
54427,-0.10,-1.00,0.15,19.65,100.70,-26.32,32.95
54437,-0.09,-1.00,0.12,20.02,102.08,-26.34,32.91
54447,-0.08,-1.00,0.12,18.40,102.85,-25.95,32.95
54457,-0.09,-1.00,0.12,16.87,102.66,-25.80,33.05
54467,-0.08,-1.03,0.12,16.63,101.94,-27.11,32.95
54477,-0.07,-1.05,0.13,16.35,101.22,-29.88,32.91
54487,-0.06,-1.06,0.15,19.27,99.50,-35.07,32.81
54497,-0.06,-1.05,0.14,21.54,94.84,-43.27,33.00
54507,-0.07,-1.01,0.11,22.09,90.21,-51.15,32.91
54517,-0.08,-0.95,0.09,20.50,85.86,-57.34,33.00
54527,-0.11,-0.92,0.07,19.05,85.40,-60.50,32.91
54537,-0.14,-0.88,0.05,17.08,86.44,-60.41,33.00
54547,-0.18,-0.86,0.04,12.82,87.18,-56.37,33.00
54557,-0.19,-0.84,0.02,6.35,88.75,-48.96,33.00
54567,-0.19,-0.83,0.04,0.79,91.88,-40.29,32.81
54577,-0.17,-0.86,0.07,-2.98,96.11,-32.06,32.91
54587,-0.14,-0.89,0.09,-5.24,97.86,-25.89,33.00
54597,-0.12,-0.94,0.12,-5.08,100.56,-21.98,32.91
54607,-0.08,-0.97,0.14,-4.21,101.77,-20.95,32.91
54617,-0.06,-1.02,0.16,-3.24,102.55,-22.31,32.91
54627,-0.07,-1.04,0.16,-2.35,103.18,-24.46,32.95
54637,-0.07,-1.05,0.14,-2.40,100.98,-28.29,32.95
54647,-0.07,-1.07,0.18,-2.67,96.05,-33.48,32.95
54657,-0.07,-1.08,0.19,-2.27,94.15,-39.05,32.86
54667,-0.07,-1.08,0.19,-1.97,89.73,-43.76,32.95
54677,-0.07,-1.09,0.20,-1.51,87.97,-46.49,33.05
54687,-0.08,-1.09,0.20,-0.98,88.85,-46.70,32.95
54697,-0.09,-1.09,0.23,3.30,89.56,-45.33,32.95
54707,-0.08,-1.07,0.21,7.34,92.79,-42.60,32.95
54717,-0.08,-1.07,0.17,8.99,95.45,-39.48,32.95
54727,-0.07,-1.06,0.16,9.13,96.08,-36.84,32.91
54737,-0.07,-1.05,0.16,7.91,95.59,-35.31,32.95
