Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
223507,0.08,-1.08,-0.06,-12.96,-37.86,53.13,30.41
223517,0.13,-1.12,-0.04,-14.44,-35.92,45.24,30.37
223527,0.16,-1.14,-0.03,-18.15,-32.87,31.37,30.51
223537,0.15,-1.15,-0.01,-20.43,-34.41,16.02,30.46
223547,0.14,-1.17,0.01,-21.01,-33.31,3.28,30.46
223557,0.12,-1.16,0.03,-19.85,-28.40,-5.89,30.46
223567,0.08,-1.15,0.04,-16.43,-23.80,-10.41,30.37
223577,0.02,-1.13,0.01,-11.28,-18.96,-8.82,30.46
223587,0.01,-1.13,-0.01,-6.06,-11.82,-1.76,30.41
223597,-0.02,-1.13,-0.03,-2.31,-5.15,8.02,30.41
223607,0.00,-1.14,-0.03,1.07,2.64,18.84,30.32
223617,0.03,-1.17,-0.02,5.50,9.76,27.01,30.32
223627,0.07,-1.20,-0.04,8.95,15.65,30.11,30.51
223637,0.12,-1.22,-0.02,10.89,20.26,26.75,30.46
223647,0.15,-1.23,-0.02,11.30,24.00,19.37,30.46
223657,0.16,-1.23,-0.02,10.55,27.53,10.47,30.46
223667,0.17,-1.25,-0.03,10.37,31.77,1.60,30.37
223677,0.16,-1.25,-0.04,11.31,37.50,-5.94,30.37
223687,0.15,-1.25,-0.04,13.40,43.97,-11.36,30.51
223697,0.14,-1.24,-0.07,16.43,51.34,-15.56,30.41
223707,0.12,-1.23,-0.06,17.68,55.86,-19.79,30.51
223717,0.11,-1.21,-0.05,17.50,59.25,-24.53,30.51
223727,0.08,-1.18,-0.04,17.27,60.27,-29.02,30.51
223737,0.07,-1.15,-0.04,16.52,61.54,-32.43,30.37
223747,0.05,-1.12,-0.03,16.76,63.42,-34.11,30.37
223757,0.03,-1.10,-0.02,17.63,64.84,-34.35,30.46
223767,-0.01,-1.09,0.00,17.85,66.41,-33.33,30.46
223777,-0.05,-1.08,0.04,19.50,64.82,-32.52,30.46
223787,-0.08,-1.07,0.09,22.90,61.73,-31.56,30.41
223797,-0.14,-1.09,0.12,26.69,57.51,-30.50,30.51
223807,-0.17,-1.05,0.14,27.08,51.04,-27.65,30.51
223817,-0.22,-1.02,0.19,28.60,40.58,-26.09,30.41
223827,-0.27,-1.00,0.21,28.78,23.53,-25.01,30.46
223837,-0.25,-0.94,0.18,26.35,14.52,-22.03,30.37
223847,-0.21,-0.86,0.14,20.79,22.46,-16.29,30.46
223857,-0.18,-0.84,0.15,15.85,35.50,-11.50,30.46
223867,-0.20,-0.86,0.19,10.24,36.44,-9.40,30.37
223877,-0.19,-0.85,0.17,2.03,33.22,-9.57,30.37
223887,-0.16,-0.86,0.14,-4.72,24.81,-8.50,30.51
223897,-0.13,-0.87,0.09,-8.29,20.29,-6.05,30.41
223907,-0.11,-0.91,0.09,-12.79,22.35,-2.49,30.51
223917,-0.10,-0.93,0.10,-16.53,25.69,0.98,30.46
223927,-0.10,-0.96,0.12,-17.36,26.81,3.21,30.51
223937,-0.08,-0.99,0.15,-15.15,24.23,4.60,30.46
223947,-0.04,-1.03,0.16,-10.50,23.73,5.08,30.46
223957,-0.00,-1.05,0.17,-4.76,27.68,4.09,30.55
223967,-0.01,-1.07,0.19,-1.56,31.82,1.34,30.46
