Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
313107,0.06,0.03,0.94,-1.73,-1.66,-0.09,28.53
313117,0.05,0.04,0.95,-0.38,-2.36,-1.55,28.58
313127,0.04,0.05,0.94,0.21,-3.79,-2.76,28.48
313137,0.03,0.05,0.92,-0.05,-3.82,-3.02,28.53
313147,0.03,0.05,0.90,-1.14,-2.82,-1.52,28.53
313157,0.03,0.05,0.90,-2.92,-0.60,-0.95,28.53
313167,0.05,0.05,0.89,-6.01,0.63,-0.76,28.48
313177,0.04,0.06,0.89,-9.22,0.95,-0.23,28.48
313187,0.04,0.05,0.89,-11.21,-1.08,0.78,28.53
313197,0.05,0.05,0.89,-13.75,-3.14,1.69,28.53
313207,0.07,0.04,0.86,-16.40,-3.76,1.50,28.48
313217,0.07,0.03,0.86,-18.98,-5.21,1.02,28.58
313227,0.08,0.03,0.86,-22.34,-6.13,0.93,28.48
313237,0.08,0.03,0.85,-24.82,-7.26,0.63,28.53
313247,0.08,0.02,0.82,-28.43,-8.01,0.45,28.53
313257,0.09,0.02,0.81,-35.11,-10.11,-0.25,28.58
313267,0.09,0.02,0.83,-37.82,-15.05,-0.02,28.48
313277,0.08,0.01,0.86,-36.60,-20.33,0.74,28.53
313287,0.10,0.01,0.85,-35.95,-16.73,2.29,28.62
313297,0.13,0.01,0.87,-37.21,-5.79,3.40,28.53
313307,0.15,0.01,0.91,-45.47,5.27,1.97,28.48
313317,0.19,-0.01,0.98,-60.75,18.10,-2.08,28.48
313327,0.19,-0.02,1.18,-68.31,21.00,-10.60,28.53
313337,0.11,-0.03,1.40,-64.07,17.07,-17.61,28.53
313347,0.01,-0.04,1.60,-45.88,7.18,-19.42,28.53
313357,-0.03,-0.05,1.75,-21.66,4.87,-15.69,28.67
313367,-0.03,-0.06,1.91,4.49,3.40,-12.23,28.48
313377,0.02,-0.07,2.00,27.82,7.68,-11.13,28.62
313387,0.05,-0.07,2.00,48.47,12.15,-12.32,28.53
313397,0.09,-0.10,2.00,70.28,18.13,-17.60,28.58
313407,0.07,-0.12,2.00,88.23,23.57,-25.45,28.58
313417,0.01,-0.10,2.00,104.31,25.55,-29.92,28.62
313427,-0.06,-0.11,1.93,118.77,27.01,-30.18,28.53
313437,-0.08,-0.11,1.89,129.89,29.35,-26.83,28.48
313447,-0.06,-0.11,1.87,137.24,31.07,-23.39,28.58
313457,-0.01,-0.12,1.85,142.55,32.82,-22.04,28.58
313467,0.04,-0.14,1.85,150.44,32.87,-24.69,28.53
313477,0.05,-0.18,1.84,161.33,29.60,-29.60,28.53
313487,0.02,-0.19,1.79,172.95,26.12,-34.51,28.58
313497,-0.02,-0.19,1.75,184.11,23.37,-37.18,28.48
313507,-0.05,-0.17,1.67,195.00,20.47,-37.41,28.53
313517,-0.06,-0.17,1.57,203.24,22.51,-35.84,28.53
313527,-0.03,-0.17,1.46,206.27,30.49,-34.45,28.53
313537,-0.01,-0.17,1.42,207.58,38.96,-33.52,28.58
313547,-0.02,-0.18,1.39,211.19,39.48,-34.63,28.48
313557,-0.03,-0.19,1.36,213.52,34.61,-34.09,28.62
313567,-0.03,-0.21,1.32,218.86,30.56,-31.89,28.53
313577,0.01,-0.23,1.24,226.23,38.23,-29.20,28.48
313587,0.08,-0.23,1.16,233.74,51.79,-27.56,28.48
313597,0.12,-0.22,1.10,234.76,67.09,-26.33,28.53
313607,0.15,-0.21,1.07,235.06,77.02,-26.33,28.53
313617,0.17,-0.21,1.01,241.14,81.50,-27.01,28.53
313627,0.19,-0.21,0.92,246.52,84.69,-29.53,28.48
313637,0.20,-0.18,0.83,250.13,85.50,-33.37,28.58
313647,0.18,-0.15,0.75,250.13,85.50,-35.44,28.44
313657,0.16,-0.09,0.65,250.13,84.27,-38.37,28.53
313667,0.13,-0.04,0.55,245.79,86.41,-41.56,28.39
313677,0.07,0.03,0.50,232.51,81.37,-42.23,28.58
313687,0.00,0.08,0.48,223.87,70.48,-38.53,28.53
313697,-0.04,0.11,0.42,223.26,65.23,-33.04,28.53
313707,-0.06,0.13,0.41,224.74,60.11,-26.37,28.53
313717,-0.05,0.14,0.38,224.61,55.58,-21.92,28.53
313727,-0.03,0.13,0.36,223.57,51.11,-17.57,28.48
313737,-0.01,0.10,0.33,227.34,43.80,-14.61,28.53
313747,0.03,0.06,0.22,230.50,38.66,-15.10,28.44
313757,0.06,0.06,0.10,227.15,43.80,-18.01,28.48
313767,0.06,0.07,0.04,228.26,52.40,-24.35,28.48
313777,-0.00,0.11,-0.05,227.53,59.94,-31.32,28.48
313787,-0.08,0.16,-0.13,218.70,65.57,-34.18,28.53
313797,-0.20,0.21,-0.16,213.30,66.16,-30.42,28.44
313807,-0.27,0.27,-0.18,211.89,60.26,-22.31,28.48
313817,-0.26,0.29,-0.27,211.84,54.40,-13.44,28.39
313827,-0.23,0.32,-0.41,208.46,50.35,-9.46,28.53
313837,-0.22,0.34,-0.58,201.67,52.31,-7.12,28.53
313847,-0.21,0.35,-0.68,190.88,55.26,-4.58,28.44
313857,-0.20,0.36,-0.69,182.02,58.79,-1.70,28.48
313867,-0.19,0.36,-0.67,172.82,59.29,1.68,28.48
313877,-0.17,0.36,-0.61,165.76,58.35,4.32,28.53
313887,-0.14,0.34,-0.60,164.50,58.96,5.13,28.53
313897,-0.08,0.34,-0.63,163.65,65.70,4.31,28.53
313907,-0.04,0.34,-0.66,164.44,81.58,-0.69,28.48
313917,-0.07,0.35,-0.67,164.96,100.64,-3.17,28.48
313927,-0.12,0.39,-0.65,167.37,112.31,-1.72,28.44
313937,-0.18,0.42,-0.64,167.03,111.24,4.56,28.34
313947,-0.23,0.46,-0.62,162.08,99.36,15.26,28.58
313957,-0.22,0.47,-0.61,159.45,81.82,26.43,28.48
313967,-0.16,0.47,-0.63,158.21,67.04,33.60,28.53
313977,-0.04,0.42,-0.66,154.77,55.17,32.79,28.53
313987,0.06,0.40,-0.69,145.96,46.75,27.21,28.44
313997,0.10,0.41,-0.67,135.27,34.24,17.37,28.48
314007,0.08,0.41,-0.63,136.47,16.41,5.36,28.48
314017,0.04,0.43,-0.71,140.57,10.15,-3.73,28.44
314027,-0.04,0.43,-0.77,144.08,12.11,-9.60,28.53
314037,-0.09,0.43,-0.87,149.41,19.21,-12.52,28.53
314047,-0.11,0.47,-0.95,146.31,27.79,-14.44,28.48
314057,-0.12,0.48,-0.98,136.38,34.24,-16.56,28.48
314067,-0.14,0.49,-0.98,122.29,33.56,-17.71,28.44
314077,-0.16,0.54,-0.91,105.66,21.56,-17.73,28.44
314087,-0.17,0.53,-0.84,98.38,5.19,-20.00,28.44
314097,-0.19,0.51,-0.76,95.12,-11.82,-20.97,28.48
314107,-0.19,0.51,-0.73,96.59,-28.34,-23.70,28.48
314117,-0.22,0.48,-0.73,103.52,-32.50,-25.87,28.53
314127,-0.25,0.52,-0.75,108.35,-26.21,-26.17,28.44
314137,-0.28,0.56,-0.79,112.47,-13.60,-21.91,28.48
314147,-0.30,0.57,-0.81,110.92,-6.58,-17.83,28.58
314157,-0.29,0.54,-0.83,107.75,-14.25,-17.59,28.44
314167,-0.28,0.52,-0.87,101.27,-21.69,-17.69,28.53
314177,-0.28,0.52,-0.84,99.33,-27.80,-21.24,28.53
314187,-0.31,0.52,-0.89,103.75,-31.92,-26.06,28.39
314197,-0.36,0.52,-0.95,105.47,-41.92,-31.30,28.48
314207,-0.43,0.55,-1.05,106.01,-48.05,-34.76,28.44
314217,-0.52,0.55,-1.13,103.63,-48.60,-34.09,28.44
314227,-0.59,0.55,-1.20,101.60,-48.96,-30.47,28.44
314237,-0.63,0.55,-1.29,99.15,-49.17,-24.52,28.39
314247,-0.64,0.56,-1.37,93.15,-48.95,-16.32,28.48
314257,-0.65,0.57,-1.42,85.71,-46.68,-5.37,28.44
314267,-0.60,0.57,-1.41,76.05,-36.50,5.60,28.44
314277,-0.55,0.56,-1.34,65.16,-26.49,14.10,28.53
314287,-0.49,0.54,-1.29,53.82,-20.52,18.41,28.39
314297,-0.45,0.51,-1.27,48.98,-27.43,15.58,28.48
314307,-0.44,0.52,-1.41,40.82,-29.19,13.61,28.53
314317,-0.47,0.56,-1.56,23.01,-28.11,15.71,28.44
