Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
425567,0.05,-0.02,0.93,1.30,-0.89,-4.31,28.34
425577,0.04,-0.01,0.93,1.38,-0.42,-5.09,28.39
425587,0.02,-0.01,0.94,1.06,0.67,-5.24,28.29
425597,0.02,-0.01,0.97,1.39,-1.18,-4.25,28.29
425607,0.03,-0.01,0.95,1.98,-3.38,-3.44,28.34
425617,0.04,-0.01,0.93,2.40,-2.87,-3.34,28.44
425627,0.04,-0.01,0.94,2.76,-2.40,-4.06,28.39
425637,0.04,-0.01,0.92,2.11,-2.63,-4.45,28.29
425647,0.02,-0.00,0.93,0.70,-3.66,-4.51,28.34
425657,0.02,-0.01,0.91,-0.84,-4.58,-4.65,28.34
425667,0.03,-0.01,0.92,-1.82,-4.01,-4.58,28.34
425677,0.04,-0.01,0.93,-2.92,-2.31,-4.64,28.39
425687,0.03,-0.01,0.93,-4.32,-1.89,-4.39,28.29
425697,0.05,-0.01,0.95,-5.48,-1.66,-4.50,28.34
425707,0.06,-0.01,0.94,-7.48,1.12,-4.96,28.34
425717,0.04,-0.02,0.97,-4.98,-1.12,-5.88,28.39
425727,0.06,-0.02,0.94,-6.23,0.96,-6.21,28.29
425737,0.05,-0.00,0.94,-10.26,-3.18,-7.31,28.39
425747,0.04,-0.01,0.97,-12.33,-8.34,-8.53,28.25
425757,0.03,-0.01,1.02,-13.95,-10.78,-8.55,28.34
425767,0.04,-0.01,1.02,-10.95,-7.76,-9.03,28.29
425777,0.05,0.00,1.03,-9.49,-0.38,-9.21,28.39
425787,0.05,0.02,1.07,-9.21,8.16,-9.14,28.34
425797,0.05,0.04,1.11,-11.48,12.44,-8.97,28.34
425807,0.06,0.04,1.17,-13.92,12.05,-10.51,28.34
425817,0.06,0.04,1.28,-13.60,12.48,-13.28,28.39
425827,0.05,0.04,1.40,-10.49,15.02,-15.13,28.20
425837,0.01,0.04,1.49,-5.89,13.42,-17.73,28.34
425847,-0.02,0.05,1.57,0.34,16.13,-17.47,28.44
425857,-0.06,0.05,1.65,8.32,19.56,-14.35,28.25
425867,-0.06,0.05,1.77,21.84,18.68,-9.83,28.29
425877,-0.00,0.02,1.83,40.92,11.74,-10.44,28.39
425887,0.06,0.00,1.78,58.73,6.61,-15.52,28.34
425897,0.06,-0.01,1.74,72.14,2.09,-21.00,28.44
425907,0.03,-0.02,1.78,82.37,-2.75,-23.08,28.39
425917,-0.01,-0.03,1.80,94.62,-10.61,-22.06,28.29
425927,0.02,-0.03,1.78,108.60,-8.60,-20.34,28.39
425937,0.04,-0.04,1.69,120.70,-5.89,-19.56,28.34
425947,0.06,-0.03,1.58,127.38,-2.34,-18.31,28.34
