Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
47297,0.11,-0.51,0.81,-41.42,-0.29,7.53,30.41
47307,0.11,-0.52,0.80,-43.51,1.86,7.22,30.51
47317,0.10,-0.53,0.79,-46.47,2.64,7.65,30.51
47327,0.10,-0.53,0.78,-49.76,3.10,7.85,30.46
47337,0.09,-0.54,0.80,-53.50,0.67,7.37,30.37
47347,0.08,-0.56,0.82,-54.73,-2.24,6.70,30.46
47357,0.08,-0.56,0.81,-55.63,-4.52,7.91,30.55
47367,0.07,-0.56,0.81,-56.75,-4.17,9.28,30.46
47377,0.06,-0.56,0.81,-59.21,-4.69,10.37,30.37
47387,0.07,-0.58,0.82,-62.17,-5.83,11.16,30.41
47397,0.07,-0.59,0.85,-66.32,-9.86,10.92,30.51
47407,0.07,-0.60,0.86,-70.60,-14.46,10.43,30.51
47417,0.05,-0.57,0.85,-75.69,-18.76,12.31,30.51
47427,0.04,-0.56,0.86,-84.12,-23.88,14.06,30.51
47437,-0.02,-0.56,0.89,-97.28,-36.11,14.92,30.51
47447,-0.08,-0.61,0.96,-113.11,-48.41,18.05,30.51
47457,-0.12,-0.69,1.06,-117.95,-62.05,22.79,30.46
47467,-0.19,-0.77,1.21,-112.17,-71.51,30.31,30.46
47477,-0.21,-0.81,1.28,-98.02,-75.83,43.94,30.37
47487,-0.18,-0.80,1.30,-81.25,-76.92,57.40,30.46
47497,-0.05,-0.79,1.27,-61.68,-74.12,66.08,30.46
47507,0.13,-0.78,1.20,-44.29,-58.81,68.64,30.46
47517,0.28,-0.77,1.12,-39.73,-39.34,64.46,30.37
47527,0.39,-0.79,1.13,-42.75,-17.37,57.31,30.51
47537,0.40,-0.86,1.26,-49.05,-1.74,48.11,30.41
47547,0.38,-0.92,1.44,-50.76,-2.40,36.21,30.51
47557,0.37,-0.97,1.56,-44.11,-9.27,25.79,30.51
47567,0.39,-1.02,1.65,-29.68,-14.95,18.26,30.32
47577,0.44,-1.05,1.70,-11.97,-22.66,10.75,30.41
47587,0.48,-1.08,1.68,4.72,-27.04,2.41,30.46
47597,0.54,-1.08,1.64,18.37,-25.10,-6.66,30.46
47607,0.56,-1.05,1.58,29.40,-16.76,-16.81,30.46
47617,0.54,-1.03,1.54,37.80,-6.63,-24.29,30.55
47627,0.47,-1.01,1.52,44.75,0.63,-30.03,30.46
47637,0.40,-0.99,1.50,49.71,1.05,-35.48,30.37
47647,0.33,-0.97,1.48,53.71,-2.38,-38.08,30.37
47657,0.29,-0.96,1.49,56.31,-8.95,-38.89,30.41
47667,0.28,-1.00,1.50,61.47,-11.73,-40.73,30.41
47677,0.26,-1.02,1.52,66.47,-16.00,-42.18,30.41
47687,0.26,-1.04,1.52,74.56,-20.46,-44.58,30.41
47697,0.26,-1.06,1.50,83.62,-23.53,-46.35,30.51
47707,0.25,-1.08,1.48,91.15,-23.92,-47.40,30.51
47717,0.24,-1.11,1.48,99.68,-20.67,-47.01,30.37
47727,0.25,-1.11,1.43,106.84,-15.69,-46.99,30.37
47737,0.24,-1.09,1.38,112.18,-11.68,-48.98,30.46
47747,0.22,-1.10,1.37,115.30,-10.92,-52.32,30.46
47757,0.19,-1.10,1.35,118.64,-10.93,-54.82,30.46
47767,0.17,-1.09,1.35,124.41,-9.07,-55.66,30.46
47777,0.12,-1.07,1.34,130.92,-7.76,-55.36,30.46
47787,0.10,-1.05,1.32,137.42,-8.49,-53.30,30.37
47797,0.08,-0.99,1.27,139.76,-7.95,-51.04,30.41
47807,0.08,-0.95,1.25,137.37,-8.49,-48.46,30.51
47817,0.09,-0.91,1.20,136.96,-4.14,-43.44,30.41
47827,0.09,-0.89,1.19,133.98,3.95,-37.19,30.32
47837,0.10,-0.90,1.20,133.42,13.71,-30.40,30.41
47847,0.09,-0.93,1.25,133.71,16.90,-26.31,30.46
47857,0.10,-0.93,1.24,135.44,15.57,-25.85,30.46
47867,0.08,-0.93,1.23,137.56,4.26,-26.78,30.46
47877,0.09,-0.91,1.19,142.46,-12.32,-29.01,30.55
47887,0.10,-0.88,1.10,148.89,-25.94,-32.55,30.46
47897,0.15,-0.84,1.01,154.52,-35.80,-35.77,30.37
47907,0.19,-0.80,0.87,157.44,-36.75,-37.10,30.46
47917,0.22,-0.76,0.77,153.01,-30.49,-38.56,30.46
47927,0.27,-0.71,0.70,144.67,-16.24,-41.45,30.41
47937,0.27,-0.69,0.66,134.15,2.47,-46.55,30.41
47947,0.21,-0.64,0.67,128.99,16.03,-48.93,30.32
47957,0.14,-0.61,0.71,125.05,28.49,-47.27,30.41
47967,0.09,-0.58,0.75,123.63,31.48,-45.97,30.41
47977,0.03,-0.56,0.82,123.71,31.10,-44.06,30.37
47987,-0.04,-0.53,0.89,122.66,23.10,-41.48,30.41
47997,-0.09,-0.49,0.89,122.49,15.42,-35.34,30.37
48007,-0.09,-0.46,0.91,126.93,8.79,-27.97,30.37
48017,-0.07,-0.45,0.86,132.90,12.41,-19.18,30.46
48027,-0.03,-0.42,0.80,135.45,16.11,-10.00,30.37
48037,0.01,-0.40,0.75,134.34,13.74,-1.98,30.37
48047,0.05,-0.39,0.71,126.93,10.21,2.06,30.37
48057,0.08,-0.36,0.65,116.12,5.47,4.23,30.32
48067,0.09,-0.33,0.58,102.09,-1.07,6.05,30.32
48077,0.13,-0.31,0.58,92.70,-0.03,6.26,30.41
48087,0.16,-0.29,0.61,93.65,14.75,8.06,30.41
48097,0.11,-0.27,0.71,105.86,30.02,9.76,30.41
48107,0.05,-0.23,0.75,123.33,40.34,6.55,30.37
48117,0.04,-0.18,0.69,136.52,48.29,-2.53,30.32
48127,-0.03,-0.10,0.67,137.86,45.24,-11.74,30.37
48137,-0.08,0.01,0.59,128.11,29.63,-14.61,30.46
48147,-0.11,0.10,0.57,117.40,20.20,-11.80,30.46
48157,-0.10,0.16,0.55,107.60,19.77,-4.50,30.46
48167,-0.10,0.17,0.56,103.21,16.92,5.36,30.46
48177,-0.07,0.17,0.58,103.73,19.47,14.46,30.37
48187,-0.04,0.17,0.65,103.73,16.90,17.92,30.41
48197,-0.00,0.18,0.66,103.15,12.96,17.69,30.41
48207,0.02,0.16,0.69,100.40,6.95,16.29,30.32
48217,0.03,0.16,0.74,101.21,-0.61,13.51,30.32
48227,0.03,0.17,0.74,101.86,-6.50,9.88,30.41
48237,0.02,0.22,0.71,103.98,-13.31,8.40,30.37
48247,0.00,0.29,0.68,103.50,-18.99,8.70,30.37
48257,-0.04,0.32,0.68,99.47,-19.97,14.63,30.37
48267,-0.06,0.36,0.70,96.18,-25.59,23.66,30.37
48277,-0.05,0.37,0.67,93.66,-41.45,33.18,30.46
48287,0.02,0.41,0.55,93.21,-56.44,43.28,30.46
48297,0.17,0.43,0.41,96.96,-68.50,53.33,30.46
48307,0.37,0.41,0.27,96.18,-70.21,57.39,30.32
48317,0.51,0.41,0.17,85.59,-64.72,54.75,30.32
48327,0.57,0.36,0.19,72.09,-58.11,46.90,30.41
48337,0.57,0.29,0.32,62.43,-48.44,35.25,30.41
48347,0.58,0.20,0.47,60.02,-41.86,23.66,30.32
48357,0.47,0.22,0.55,62.32,-49.27,14.53,30.41
48367,0.45,0.22,0.61,73.01,-52.44,7.66,30.46
48377,0.43,0.27,0.61,87.50,-51.36,4.02,30.37
48387,0.45,0.36,0.47,95.18,-46.61,3.01,30.27
48397,0.50,0.43,0.35,95.13,-39.40,1.62,30.27
48407,0.56,0.47,0.25,89.91,-29.42,-1.19,30.37
48417,0.56,0.49,0.21,79.83,-11.71,-5.98,30.27
48427,0.55,0.50,0.24,73.05,6.75,-9.01,30.41
48437,0.51,0.46,0.31,75.40,20.63,-12.02,30.32
48447,0.45,0.43,0.38,77.07,21.15,-19.47,30.41
48457,0.45,0.43,0.36,81.10,23.13,-25.88,30.32
48467,0.44,0.50,0.32,87.18,34.56,-29.50,30.32
48477,0.43,0.57,0.34,93.21,52.44,-32.27,30.41
48487,0.41,0.65,0.30,99.47,72.37,-37.16,30.27
48497,0.34,0.66,0.34,95.34,80.40,-47.08,30.37
48507,0.22,0.63,0.41,87.85,77.60,-58.55,30.37
48517,0.12,0.64,0.48,81.88,70.76,-66.06,30.37
48527,-0.00,0.67,0.56,78.55,59.57,-67.69,30.37
48537,-0.08,0.75,0.60,82.44,44.14,-61.85,30.37
48547,-0.09,0.82,0.58,91.42,30.35,-54.84,30.32
48557,-0.09,0.92,0.48,98.67,22.53,-50.73,30.32
48567,-0.08,0.96,0.38,100.03,18.55,-46.93,30.51
48577,-0.15,1.00,0.33,88.44,-0.58,-44.35,30.22
48587,-0.17,0.96,0.37,72.87,-9.37,-40.27,30.37
48597,-0.19,0.86,0.51,62.67,-28.32,-33.66,30.41
48607,-0.11,0.84,0.53,66.40,-36.24,-27.24,30.27
48617,-0.01,0.83,0.51,78.18,-34.72,-22.79,30.37
48627,0.06,0.84,0.44,88.96,-30.14,-19.73,30.46
48637,0.08,0.90,0.33,92.99,-22.90,-18.24,30.37
48647,0.09,0.91,0.26,93.11,-15.36,-15.47,30.37
48657,0.05,0.92,0.25,88.70,-12.87,-13.08,30.46
48667,0.02,0.93,0.23,80.72,-16.70,-10.31,30.32
48677,0.01,0.90,0.23,73.62,-25.45,-7.54,30.32
48687,0.04,0.85,0.26,68.02,-37.80,-4.55,30.41
48697,0.09,0.82,0.30,70.49,-48.43,-1.37,30.41
48707,0.18,0.79,0.30,75.85,-54.73,3.54,30.41
48717,0.30,0.82,0.21,83.60,-48.17,6.99,30.27
48727,0.39,0.86,0.11,92.15,-36.27,6.12,30.37
48737,0.41,0.87,0.04,93.53,-23.69,1.54,30.37
48747,0.42,0.90,-0.00,87.33,-10.32,-3.51,30.37
48757,0.38,0.89,0.05,77.77,-1.83,-10.81,30.37
48767,0.29,0.90,0.10,72.58,2.14,-16.63,30.37
48777,0.22,0.93,0.09,70.75,1.10,-17.77,30.37
48787,0.15,0.95,0.09,69.73,-3.60,-17.74,30.37
48797,0.10,0.94,0.08,68.15,-10.41,-15.37,30.41
48807,0.09,0.93,0.07,64.24,-19.31,-12.29,30.41
48817,0.12,0.90,0.06,59.42,-23.86,-8.32,30.32
48827,0.17,0.86,0.07,54.69,-27.37,-7.98,30.41
48837,0.26,0.83,0.10,51.37,-30.66,-11.28,30.32
48847,0.33,0.82,0.06,52.99,-28.43,-17.28,30.37
48857,0.38,0.85,-0.02,57.76,-16.41,-22.47,30.37
48867,0.35,0.86,-0.02,62.92,-1.86,-25.86,30.46
48877,0.25,0.86,0.01,67.62,7.63,-27.25,30.37
48887,0.16,0.87,-0.05,69.85,12.50,-25.02,30.27
48897,0.06,0.87,-0.03,69.39,5.60,-20.20,30.27
48907,0.01,0.85,-0.01,67.04,-10.73,-13.76,30.46
48917,0.03,0.85,-0.03,66.50,-26.11,-8.08,30.37
48927,0.07,0.84,-0.08,66.98,-38.56,-3.66,30.32
48937,0.12,0.85,-0.12,65.28,-44.70,-3.63,30.32
48947,0.24,0.84,-0.17,64.46,-41.82,-7.79,30.32
48957,0.30,0.81,-0.24,59.05,-38.69,-19.27,30.32
48967,0.30,0.79,-0.25,54.85,-25.66,-31.07,30.32
48977,0.23,0.73,-0.21,57.24,-21.69,-39.77,30.37
